#id  F6  F7  F8  F9  F10  F11  F12  F13  F14  F15  F16  F17  F18  F19  F20  F21  F22  F23  F24  F25  F26  E6  E7  E8  E9  E10  E11  E12  E13  E14  E15  E16  E17  E18  E19  E20  E21  E22  E23  E24  E25  E26  zspec
24439  12.892  14.7843  14.8868  16.5227  21.5  22.0698  21.7171  23.5569  25.5622  44.9365  28.4027  53.0102  34.6354  34.0566  33.8595  36.9352  37.7711  43.6356  63.1073  50.9567  89.0024  1.28216  1.3002  1.26072  1.34006  1.62703  1.56471  1.55857  1.64202  1.75127  2.94687  1.9397  3.40151  2.34655  2.32582  2.43  2.5986  2.63691  3.02738  4.26866  3.71787  6.02025  -1.0
27630  0.21928  0.131935  0.305773  0.269774  0.250243  0.202619  0.373283  0.566289  0.423058  0.618248  0.704887  0.611902  0.767362  0.840467  0.942152  0.870724  0.978044  0.794551  1.04665  0.975436  0.555698  0.0859709  0.0731706  0.0732035  0.0690959  0.0646368  0.0613335  0.0644812  0.0668332  0.0640765  0.0772613  0.0826547  0.0785279  0.0871478  0.0917088  0.113238  0.109475  0.118295  0.125864  0.152503  0.153035  0.156808  -1.0
27963  0.28262  0.300303  0.295447  0.298155  0.410279  0.384343  0.555288  0.500357  0.505359  0.444263  0.552996  0.7306  0.657356  0.530493  0.742061  0.745078  0.845283  0.946237  1.61674  -99.0  -99.0  0.098591  0.0773391  0.0765055  0.0712502  0.0664173  0.0656405  0.0698154  0.0673093  0.0674336  0.0692176  0.0747507  0.0809104  0.0823627  0.0832861  0.101435  0.111879  0.169876  0.257046  1.91105  -99.0  -99.0  -1.0
27976  -99.0  0.162211  0.139971  0.123857  0.224927  0.268758  0.245833  0.192416  0.251651  0.0996234  -99.0  0.190372  0.316054  0.172297  0.147802  0.29309  0.25068  0.158577  0.203292  -99.0  -99.0  -99.0  0.0795524  0.0736454  0.107782  0.0657416  0.0627662  0.0641384  0.0640945  0.062405  0.0775325  -99.0  0.0704617  0.0741207  0.0836575  0.0919835  0.105935  0.10544  0.159071  0.165475  -99.0  -99.0  -1.0
28029  1.60222  1.62166  1.82423  2.16331  2.3236  2.52395  2.4884  2.95611  2.84263  3.42231  3.48532  3.72771  3.79106  3.83532  4.23448  4.49821  4.4578  4.85782  5.09238  4.70717  5.02343  0.283378  0.211812  0.206976  0.214444  0.212673  0.214843  0.214248  0.233014  0.230859  0.264188  0.265268  0.282907  0.290184  0.306897  0.332861  0.360918  0.367355  0.395046  0.42739  0.434413  0.479962  -1.0
28235  -99.0  -99.0  0.373559  0.314832  0.346578  0.415069  0.427329  0.334781  0.566707  0.381558  0.269152  0.512577  0.498749  0.461871  0.375632  0.562601  0.635503  0.598191  0.33306  -99.0  0.382756  -99.0  -99.0  0.0971785  0.0717832  0.0751455  0.0771071  0.0711724  0.0651364  0.0761119  0.0722903  0.12335  0.0881532  0.0829592  0.0940255  0.0925382  0.111661  0.11578  0.153147  0.179578  -99.0  0.277519  -1.0
28271  4.21543  4.44304  4.84976  5.48783  6.12521  6.36442  6.78516  7.16539  7.52735  8.03602  8.33223  8.51531  8.82024  9.32823  9.66939  9.89467  9.87557  10.3791  10.9637  11.3826  11.2731  0.28056  0.288956  0.310142  0.346775  0.385056  0.398712  0.423596  0.446556  0.469114  0.504305  0.519275  0.530685  0.550646  0.583372  0.606808  0.623094  0.625108  0.659236  0.69994  0.731621  0.731927  -1.0
28392  0.308802  0.38569  0.447343  0.420882  0.456751  0.521292  0.567701  0.673102  0.78206  0.686565  0.604618  0.754258  0.733497  0.89586  0.891828  0.887401  0.956137  0.887401  0.796749  0.836144  0.952006  0.0458994  0.0463984  0.0501239  0.0435033  0.043293  0.0467504  0.0478306  0.0510837  0.0590132  0.0543417  0.0508096  0.058635  0.0618791  0.0689621  0.071944  0.0754408  0.0809728  0.0857501  0.0853813  0.0937791  0.104913  -1.0
28405  0.455911  0.289575  0.528591  0.536143  0.549995  0.508909  0.515419  0.582266  0.69419  0.675027  0.699328  0.655663  0.704696  0.803895  0.784223  1.01055  1.03191  0.949384  1.12057  1.00971  1.16713  0.10692  0.0922142  0.0919978  0.0865597  0.0802568  0.0820523  0.081479  0.0812361  0.0902941  0.0857494  0.0838251  0.0961746  0.0935734  0.106571  0.113074  0.134626  0.141952  0.139671  0.157799  0.170033  0.221886  -1.0
28475  0.105575  0.489375  0.160856  0.0136458  0.43375  0.189706  0.0307157  0.010266  0.0329672  0.0279923  0.0391562  -99.0  0.386436  0.0278996  0.0155426  0.311057  1.02527  0.266514  0.0564625  0.0726307  -99.0  0.0400848  0.0527613  0.0431205  0.036632  0.0586789  0.029804  0.0423634  0.0254321  0.0265195  0.0282587  0.027183  -99.0  0.0425022  0.0296464  0.032056  0.0709224  0.0801487  0.0463561  0.0274149  0.0545302  -99.0  -1.0
28561  -99.0  0.282462  0.204532  0.253257  0.186175  0.295558  0.408544  0.402087  0.481682  0.367486  0.430051  0.589279  0.494357  0.443446  0.405772  0.614496  0.766796  0.97033  1.00397  -99.0  -99.0  -99.0  0.172078  0.0860955  0.0790538  0.0763675  0.0773363  0.0802863  0.0559671  0.0601426  0.0657939  0.0844662  0.139605  0.0870593  0.0888786  0.102563  0.120826  0.201724  0.490309  2.43625  -99.0  -99.0  -1.0
