#id  F6  F7  F8  F9  F10  F11  F12  F13  F14  F15  F16  F17  F18  F19  F20  F21  F22  F23  F24  F25  F26  E6  E7  E8  E9  E10  E11  E12  E13  E14  E15  E16  E17  E18  E19  E20  E21  E22  E23  E24  E25  E26  zspec
6004  844.737  872.653  902.403  949.029  1002.77  1057.31  1109.58  1168.64  1225.07  1292.88  1360.07  1421.15  1511.2  1609.9  1726.95  1821.71  1896.36  1983.35  2071.11  2162.52  2274.89  50.8108  52.4899  54.2793  57.0839  60.3164  63.5967  66.7413  70.2937  73.6875  78.0473  81.9554  85.6361  91.0623  97.0099  104.251  109.971  114.477  119.944  125.251  131.015  138.069  -1.0
6804  8.89122  9.54987  10.0129  10.4781  11.0124  11.1862  11.5335  12.3242  13.0991  13.7152  14.3166  14.9886  15.6689  16.4635  17.447  17.8747  17.8139  18.5951  19.6083  19.7898  20.1446  0.540597  0.579607  0.606624  0.633666  0.66598  0.676489  0.696241  0.743975  0.790755  0.830921  0.865804  0.906442  0.947587  0.999214  1.06459  1.10621  1.16047  1.16291  1.2284  1.24407  1.27294  -1.0
6891  0.840622  0.734513  0.801533  0.860675  0.718323  0.719052  0.770404  0.716407  0.775531  0.803895  0.780835  0.805524  0.608865  0.644645  0.826567  0.838454  0.978044  1.59354  -99.0  -99.0  -99.0  0.083694  0.07297  0.0717959  0.0746638  0.0692559  0.065735  0.0695095  0.066271  0.0682879  0.0710473  0.0706201  0.0726781  0.0697426  0.0753108  0.100872  0.176515  0.283739  2.48849  -99.0  -99.0  -99.0  -1.0
7113  0.764822  0.797845  0.922827  0.94441  0.871447  1.01915  0.95949  0.897344  0.875386  1.03438  1.03791  0.939203  1.02537  0.945626  1.05477  1.16049  0.905651  1.18053  1.00869  0.803457  -99.0  0.123064  0.114518  0.110114  0.107973  0.100861  0.109657  0.10678  0.103663  0.103598  0.113092  0.116071  0.121653  0.125912  0.126695  0.143838  0.156112  0.157426  0.183675  0.206112  0.223232  -99.0  -1.0
7235  0.522447  0.641859  0.507737  0.737901  0.896765  1.02348  1.09014  1.22473  1.15867  1.09567  0.968095  1.06248  0.968367  0.981659  0.813655  0.720708  0.802565  0.298428  0.224409  -99.0  -99.0  0.10925  0.104324  0.10193  0.0945376  0.0976571  0.101567  0.105104  0.108905  0.107685  0.106589  0.10553  0.110166  0.11313  0.117667  0.122971  0.135998  0.151445  0.155495  0.169604  -99.0  -99.0  -1.0
7379  -99.0  -99.0  -99.0  0.144344  0.247947  0.262687  0.123698  0.106965  0.162406  0.0958075  0.165257  0.185694  0.221391  0.405583  0.466144  0.382648  0.416984  0.507131  0.575703  0.376114  -99.0  -99.0  -99.0  -99.0  0.140092  0.0993099  0.0839371  0.0742293  0.121826  0.0762274  0.131182  0.0802213  0.153389  0.0940335  0.104893  0.118632  0.133112  0.151032  0.167441  0.189644  0.356294  -99.0  -1.0
7395  1.64512  1.57733  1.72711  2.1723  3.62444  3.55466  1.82911  1.6959  1.71918  1.78271  1.69746  1.77109  1.9905  1.96101  1.81836  1.74856  1.95416  2.082  3.3438  3.75388  2.23852  0.117887  0.111145  0.119449  0.143635  0.228634  0.224619  0.12134  0.11324  0.115728  0.120004  0.11574  0.120376  0.135288  0.134562  0.130301  0.127957  0.143427  0.154845  0.22981  0.258808  0.181311  -1.0
7498  1.73157  1.66787  1.64847  1.59559  1.64301  1.57066  1.61361  1.64649  1.63456  1.74229  1.55368  1.56359  1.5656  1.51203  1.57211  1.45037  1.46137  1.74165  1.79704  1.33463  1.03448  0.157922  0.144688  0.138531  0.131488  0.131115  0.126876  0.128594  0.130141  0.131328  0.137902  0.129384  0.133265  0.136836  0.14184  0.154644  0.160779  0.174374  0.222189  0.33169  0.474421  0.925155  -1.0
7604  2.37312  3.43716  2.82854  2.53981  3.07212  3.578  3.38158  3.25118  3.81102  3.59353  4.12896  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  1.00796  0.874745  0.555553  0.539379  0.539019  0.547363  0.55146  0.587026  0.613217  0.605922  0.755379  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  -1.0
7755  15.7849  15.3901  15.3306  15.6416  15.9838  16.4044  16.909  17.1475  17.6913  18.5421  19.2824  19.5021  20.3105  21.5358  22.1759  22.4948  22.4534  22.8792  23.425  23.8826  23.9266  0.988877  0.9608  0.953756  0.971406  0.990924  1.01522  1.04645  1.06121  1.09486  1.15557  1.19543  1.20904  1.26136  1.33746  1.38203  1.40434  1.40664  1.43828  1.47768  1.51692  1.52751  -1.0
7804  0.0869764  0.0846918  0.0896682  0.0492856  -99.0  0.0530594  0.0512437  0.0455451  0.0490546  0.0739536  -99.0  0.0402421  0.0535896  -99.0  0.0694577  0.0677956  0.0881532  0.119972  -99.0  0.0854438  0.119641  0.0272157  0.0212319  0.0317381  0.0305549  -99.0  0.0281763  0.0162572  0.0158932  0.0166652  0.0203546  -99.0  0.0316944  0.0360451  -99.0  0.0308212  0.032601  0.0304553  0.058004  -99.0  0.0807373  0.0501929  -1.0
7923  0.431878  0.506336  0.299033  0.323506  0.760608  0.665396  0.553248  0.592273  0.442548  0.468294  0.600566  0.467865  0.57127  0.545005  0.703848  0.694895  0.689923  0.708597  0.602616  0.683091  0.40926  0.136873  0.128531  0.115648  0.109868  0.128085  0.119781  0.107822  0.109383  0.105756  0.109875  0.113784  0.115057  0.126345  0.140477  0.160175  0.176471  0.18165  0.205647  0.222456  0.257429  0.332817  -1.0
8012  0.186552  0.180817  0.14646  0.13842  0.123424  0.17439  0.163893  0.167079  0.111717  0.163999  0.159426  0.131632  0.119685  0.161362  0.152167  0.173332  0.315008  0.254237  0.167633  0.205362  0.340691  0.0419068  0.039362  0.0349997  0.0326275  0.031344  0.0320177  0.031158  0.0315461  0.0310638  0.0325848  0.0337362  0.0341715  0.0356312  0.0394717  0.0744453  0.0502286  0.0693608  0.0655306  0.0690892  0.0760772  0.0909954  -1.0
8016  0.603893  0.74865  0.6434  0.764822  0.790753  0.738177  0.820729  0.859889  0.83453  0.784802  0.889692  0.849261  0.870246  0.840002  0.957019  0.966141  0.943975  0.997793  1.10387  0.993486  1.12814  0.0769755  0.0746184  0.0665032  0.0699192  0.070401  0.0662812  0.0725351  0.0716081  0.0706742  0.0692748  0.0758287  0.0770853  0.0777618  0.0808962  0.0924773  0.0979742  0.103003  0.110826  0.123807  0.126419  0.145146  -1.0
8051  0.951571  0.974896  1.06248  1.05809  0.980125  1.03362  1.06492  1.09285  1.16649  1.15006  1.35344  1.38523  1.61927  1.67819  1.96336  1.82105  1.86277  2.01558  2.04683  2.17331  2.21147  0.0959801  0.0889123  0.0897481  0.0865048  0.0815144  0.0830456  0.0837109  0.0854314  0.0906815  0.089529  0.100512  0.104828  0.11832  0.124083  0.142184  0.138798  0.146832  0.16019  0.168007  0.187592  0.20097  -1.0
8127  24.5066  23.7814  24.0525  24.6104  24.9252  25.5317  27.5093  30.6365  34.4732  29.4225  28.0984  29.8263  32.3057  29.7549  29.4714  29.7085  30.1469  30.7864  31.1057  31.2235  31.722  1.51131  1.4666  1.4807  1.51505  1.53443  1.57176  1.69351  1.88269  2.12221  1.82406  1.73282  1.83938  1.99229  1.83821  1.82389  1.8418  1.87224  1.91865  1.94192  1.95606  1.99762  -1.0
8163  4.18602  4.47795  4.49655  4.03758  4.032  4.54907  4.58606  5.49644  5.39611  5.27133  6.14725  5.73906  5.74382  5.95335  6.59293  6.73848  7.47826  7.03008  7.14823  6.88778  6.94385  0.376773  0.365613  0.358344  0.326589  0.323511  0.3487  0.34556  0.392674  0.385506  0.382887  0.435164  0.41873  0.427809  0.446646  0.492483  0.517256  0.587034  0.564828  0.603813  0.619952  0.658925  -1.0
8169  0.0557595  0.0694577  0.0741859  0.0652289  0.0548783  0.0561046  0.0763624  0.0425284  0.0743225  -99.0  -99.0  0.0887561  0.0921721  0.0731615  0.103143  0.0906319  0.0943544  -99.0  0.0910168  -99.0  0.162524  0.0210316  0.0200296  0.019017  0.0182082  0.0173626  0.0174643  0.0172369  0.0169369  0.0168813  -99.0  -99.0  0.020815  0.0219964  0.0273094  0.0254768  0.045206  0.0526869  -99.0  0.0618417  -99.0  0.0773947  -1.0
8258  1.18894  1.08263  1.19432  1.18348  1.18982  1.21026  1.19103  1.20216  1.13491  1.19146  1.31425  1.26591  1.3517  1.57645  1.6631  1.78879  -99.0  -99.0  -99.0  -99.0  -99.0  0.0975904  0.0872182  0.0901216  0.0895607  0.0878445  0.0872514  0.0866405  0.0869281  0.0831745  0.0875777  0.0956045  0.0940118  0.109776  0.128713  0.137413  0.213831  -99.0  -99.0  -99.0  -99.0  -99.0  -1.0
