# z  dl_mpc  dl_cm
0.005  2.232456e+01  6.889360e+25
0.010  4.481803e+01  1.383085e+26
0.015  6.747947e+01  2.082416e+26
0.020  9.030794e+01  2.786903e+26
0.025  1.133025e+02  3.496515e+26
0.030  1.364622e+02  4.211224e+26
0.035  1.597861e+02  4.931000e+26
0.040  1.832734e+02  5.655816e+26
0.045  2.069229e+02  6.385642e+26
0.050  2.307340e+02  7.120450e+26
0.055  2.547055e+02  7.860211e+26
0.060  2.788366e+02  8.604897e+26
0.065  3.031263e+02  9.354479e+26
0.070  3.275738e+02  1.010893e+27
0.075  3.521781e+02  1.086822e+27
0.080  3.769383e+02  1.163232e+27
0.085  4.018535e+02  1.240120e+27
0.090  4.269228e+02  1.317484e+27
0.095  4.521452e+02  1.395320e+27
0.100  4.775199e+02  1.473627e+27
0.105  5.030460e+02  1.552400e+27
0.110  5.287225e+02  1.631638e+27
0.115  5.545486e+02  1.711337e+27
0.120  5.805234e+02  1.791495e+27
0.125  6.066459e+02  1.872109e+27
0.130  6.329153e+02  1.953177e+27
0.135  6.593307e+02  2.034694e+27
0.140  6.858912e+02  2.116660e+27
0.145  7.125960e+02  2.199071e+27
0.150  7.394441e+02  2.281924e+27
0.155  7.664347e+02  2.365217e+27
0.160  7.935669e+02  2.448948e+27
0.165  8.208399e+02  2.533112e+27
0.170  8.482528e+02  2.617708e+27
0.175  8.758047e+02  2.702733e+27
0.180  9.034948e+02  2.788185e+27
0.185  9.313222e+02  2.874060e+27
0.190  9.592861e+02  2.960357e+27
0.195  9.873856e+02  3.047072e+27
0.200  1.015620e+03  3.134203e+27
0.205  1.043988e+03  3.221748e+27
0.210  1.072490e+03  3.309703e+27
0.215  1.101123e+03  3.398066e+27
0.220  1.129888e+03  3.486836e+27
0.225  1.158784e+03  3.576008e+27
0.230  1.187810e+03  3.665581e+27
0.235  1.216965e+03  3.755552e+27
0.240  1.246247e+03  3.845919e+27
0.245  1.275658e+03  3.936679e+27
0.250  1.305194e+03  4.027830e+27
0.255  1.334857e+03  4.119369e+27
0.260  1.364645e+03  4.211294e+27
0.265  1.394557e+03  4.303602e+27
0.270  1.424592e+03  4.396291e+27
0.275  1.454750e+03  4.489359e+27
0.280  1.485030e+03  4.582802e+27
0.285  1.515431e+03  4.676620e+27
0.290  1.545952e+03  4.770808e+27
0.295  1.576593e+03  4.865366e+27
0.300  1.607353e+03  4.960291e+27
0.305  1.638231e+03  5.055579e+27
0.310  1.669226e+03  5.151230e+27
0.315  1.700337e+03  5.247241e+27
0.320  1.731565e+03  5.343609e+27
0.325  1.762907e+03  5.440332e+27
0.330  1.794364e+03  5.537408e+27
0.335  1.825935e+03  5.634835e+27
0.340  1.857618e+03  5.732610e+27
0.345  1.889414e+03  5.830731e+27
0.350  1.921321e+03  5.929197e+27
0.355  1.953339e+03  6.028004e+27
0.360  1.985467e+03  6.127150e+27
0.365  2.017704e+03  6.226635e+27
0.370  2.050050e+03  6.326454e+27
0.375  2.082504e+03  6.426607e+27
0.380  2.115065e+03  6.527091e+27
0.385  2.147733e+03  6.627904e+27
0.390  2.180506e+03  6.729043e+27
0.395  2.213385e+03  6.830507e+27
0.400  2.246369e+03  6.932294e+27
0.405  2.279456e+03  7.034401e+27
0.410  2.312647e+03  7.136827e+27
0.415  2.345940e+03  7.239570e+27
0.420  2.379335e+03  7.342627e+27
0.425  2.412831e+03  7.445996e+27
0.430  2.446428e+03  7.549676e+27
0.435  2.480125e+03  7.653665e+27
