# all galaxies in: d4000=1.1 to 1.2
# ID      Field      zspec    zphot    zg     zspz    NetSig    D4000   res_zphot    res_zgrism    res_zspz    iABmag
37495     GOODS-N    0.934    0.88    0.37    0.82    118.26    1.19    -0.028       -0.292       -0.059      23.73
37181     GOODS-N    0.766    0.74    0.62    0.70    75.12     1.18    -0.015       -0.083       -0.037      23.73
42430     GOODS-N    1.005    0.97    0.96    0.96    118.87    1.17    -0.017       -0.022       -0.022      23.45
55923     GOODS-N    1.223    1.20    1.15    1.19    328.03    1.19    -0.010       -0.033       -0.015      22.76
91947     GOODS-N    0.849    0.95    0.53    0.85    120.13    1.18    +0.055       -0.172       +0.001      23.95
71198     GOODS-N    0.849    1.03    1.38    1.04    110.54    1.13    +0.098       +0.287       +0.103      23.77
42014     GOODS-N    0.845    0.91    0.78    0.80    186.01    1.14    +0.035       -0.035       -0.024      22.88
39842     GOODS-N    0.845    0.95    0.51    0.83    200.38    1.10    +0.057       -0.182       -0.008      22.93
54327     GOODS-N    0.874    0.83    0.60    0.81    112.75    1.10    -0.023       -0.146       -0.034      23.34
79903     GOODS-N    0.682    0.71    0.40    0.70    283.14    1.14    +0.017       -0.168       +0.011      22.27
48229     GOODS-N    0.679    0.56    0.42    0.65    93.88     1.19    -0.071       -0.154       -0.017      23.67
39487     GOODS-N    1.019    0.96    0.38    0.97    134.13    1.17    -0.029       -0.316       -0.024      23.10
15005     GOODS-S    0.687    0.69    1.49    0.69    197.59    1.18    +0.002       +0.476       +0.002      21.70
17495     GOODS-S    0.661    0.85    1.42    0.87    74.49     1.11    +0.114       +0.457       +0.126      24.06
16596     GOODS-S    0.656    0.64    0.38    0.66    139.68    1.12    -0.010       -0.167       +0.002      23.45
26891     GOODS-S    1.099    1.28    0.36    1.27    312.58    1.14    +0.086       -0.352       +0.081      22.40
54823     GOODS-S    0.978    0.95    0.90    0.96    196.85    1.12    -0.014       -0.039       -0.009      22.80
60481     GOODS-S    1.096    1.00    1.32    0.95    41.12     1.17    -0.046       +0.107       -0.070      24.52
65145     GOODS-S    0.670    1.47    0.33    1.49    155.37    1.11    +0.479       -0.203       +0.491      23.15
48917     GOODS-S    0.734    0.54    0.62    0.62    35.70     1.12    -0.112       -0.066       -0.066      24.74
57446     GOODS-S    0.989    0.73    0.43    0.71    466.03    1.15    -0.130       -0.281       -0.140      21.59
17024     GOODS-S    0.661    0.67    0.41    0.67    278.36    1.18    +0.005       -0.151       +0.005      22.19
114267    GOODS-S    0.959    0.59    0.64    0.57    26.60     1.19    -0.188       -0.163       -0.198      25.07
70232     GOODS-S    0.665    0.68    0.37    0.67    726.89    1.16    +0.009       -0.177       +0.003      20.98
33294     GOODS-S    1.035    0.99    0.96    1.01    176.43    1.15    -0.022       -0.037       -0.012      23.49
52774     GOODS-S    0.629    0.63    0.32    0.61    505.41    1.18    +0.001       -0.190       -0.012      21.61
69850     GOODS-N    0.818    0.73    0.46    0.71    100.30    1.14    -0.048       -0.197       -0.059      23.21
94097     GOODS-N    0.761    0.80    0.78    0.77    101.45    1.16    +0.022       +0.011       +0.005      23.79
85491     GOODS-N    0.850    0.95    0.51    0.84    212.08    1.13    +0.054       -0.184       -0.005      22.73
78300     GOODS-N    0.849    0.83    0.49    0.81    250.04    1.18    -0.010       -0.194       -0.021      22.77
44286     GOODS-N    1.013    0.98    0.94    0.97    151.54    1.17    -0.017       -0.036       -0.022      23.24
44746     GOODS-N    0.680    0.73    0.46    0.68    193.01    1.11    +0.029       -0.131       -0.000      23.11
105095    GOODS-N    0.943    0.92    0.30    0.89    150.85    1.18    -0.012       -0.331       -0.027      23.15
71893     GOODS-N    0.839    0.85    0.47    0.81    75.06     1.18    +0.006       -0.201       -0.016      23.75
107010    GOODS-N    0.942    0.93    0.33    0.90    270.77    1.13    -0.006       -0.315       -0.022      22.42
46765     GOODS-N    1.020    0.96    0.99    0.99    92.69     1.14    -0.030       -0.015       -0.015      23.87
101785    GOODS-N    1.018    0.99    0.99    0.98    275.89    1.18    -0.014       -0.014       -0.019      22.55
92570     GOODS-N    0.744    0.97    0.42    0.96    335.65    1.15    +0.130       -0.186       +0.124      22.42
