# All galaxies in bin:   1.1 <= D4000 < 1.3
# ID        Field      zspec    zphot    zg     zspz    NetSig    D4000   res_zphot    res_zspz    iABmag
37495     GOODS-N    0.934    0.90    0.48    0.94    118.26    1.19    -0.018       +0.003      23.73
60092     GOODS-N    0.680    0.68    0.30    0.64    243.99    1.26    +0.000       -0.024      22.37
94177     GOODS-N    1.014    0.98    0.39    0.97    99.68     1.20    -0.017       -0.022      23.93
47355     GOODS-N    0.779    0.77    0.35    0.76    361.90    1.27    -0.005       -0.011      21.56
79351     GOODS-N    1.221    1.12    1.14    1.14    96.38     1.22    -0.045       -0.036      23.82
37181     GOODS-N    0.766    0.70    0.30    0.70    75.12     1.18    -0.037       -0.037      23.73
58856     GOODS-N    0.635    0.58    0.34    0.60    287.12    1.20    -0.034       -0.021      22.41
80348     GOODS-N    0.632    0.57    0.30    0.60    189.66    1.28    -0.038       -0.020      23.20
94812     GOODS-N    0.682    0.64    0.30    0.65    526.09    1.25    -0.025       -0.019      21.66
83237     GOODS-N    0.904    0.84    0.33    0.83    382.63    1.27    -0.034       -0.039      22.19
42430     GOODS-N    1.005    0.97    0.38    0.97    118.87    1.17    -0.017       -0.017      23.45
84259     GOODS-N    0.784    0.80    0.49    0.79    663.46    1.29    +0.009       +0.004      21.40
55923     GOODS-N    1.223    1.23    1.15    1.23    328.03    1.19    +0.003       +0.003      22.76
72730     GOODS-N    1.224    1.03    1.16    1.03    83.29     1.24    -0.087       -0.087      23.85
53362     GOODS-N    1.141    1.01    0.30    1.15    150.60    1.24    -0.061       +0.004      23.34
36708     GOODS-N    0.764    0.78    0.30    0.74    356.96    1.22    +0.009       -0.013      21.62
35853     GOODS-N    1.011    0.94    0.40    0.93    129.19    1.26    -0.035       -0.040      23.23
59024     GOODS-N    0.845    0.92    0.51    0.86    179.28    1.27    +0.041       +0.008      22.85
52440     GOODS-N    1.224    1.49    1.12    1.49    213.30    1.26    +0.120       +0.120      22.64
91947     GOODS-N    0.849    0.93    0.30    0.79    120.13    1.18    +0.044       -0.032      23.95
28029     GOODS-N    0.748    0.88    0.42    0.91    111.46    1.26    +0.076       +0.093      22.32
36944     GOODS-N    0.874    0.89    0.30    0.86    280.71    1.20    +0.009       -0.007      22.49
71198     GOODS-N    0.849    1.01    0.39    0.75    110.54    1.13    +0.087       -0.054      23.77
42014     GOODS-N    0.845    0.89    0.78    0.80    186.01    1.14    +0.024       -0.024      22.88
76405     GOODS-N    0.697    0.92    0.42    0.92    119.74    1.22    +0.131       +0.131      23.11
89993     GOODS-N    0.870    0.83    0.40    0.81    248.84    1.25    -0.021       -0.032      22.37
79928     GOODS-N    0.847    0.82    0.31    0.74    213.68    1.20    -0.015       -0.058      22.64
76917     GOODS-N    0.848    0.82    0.50    0.78    150.28    1.28    -0.015       -0.037      23.02
50422     GOODS-N    0.751    0.73    0.69    0.74    230.07    1.22    -0.012       -0.006      22.69
39842     GOODS-N    0.845    0.94    0.50    0.83    200.38    1.10    +0.051       -0.008      22.93
54327     GOODS-N    0.874    0.82    0.60    0.90    112.75    1.10    -0.029       +0.014      23.34
75659     GOODS-N    0.845    0.89    0.30    0.83    199.17    1.25    +0.024       -0.008      22.82
87433     GOODS-N    0.747    0.68    0.39    0.68    293.13    1.27    -0.038       -0.038      22.17
