# All galaxies in bin:    1.1 <= D4000 < 1.4
# ID        Field      zspec    zphot    zg     zspz    NetSig    D4000   res_zphot    res_zspz    iABmag
72646     GOODS-N    1.018    1.23    0.93    1.20    68.78     1.31    +0.105       +0.090      23.78
37495     GOODS-N    0.934    0.90    0.48    0.94    118.26    1.19    -0.018       +0.003      23.73
60092     GOODS-N    0.680    0.68    0.30    0.64    243.99    1.26    +0.000       -0.024      22.37
94177     GOODS-N    1.014    0.98    0.39    0.97    99.68     1.20    -0.017       -0.022      23.93
63227     GOODS-N    0.846    0.84    0.35    0.84    417.67    1.31    -0.003       -0.003      21.72
47355     GOODS-N    0.779    0.77    0.35    0.76    361.90    1.27    -0.005       -0.011      21.56
88020     GOODS-N    0.852    0.83    0.46    0.74    128.18    1.32    -0.012       -0.060      23.38
79351     GOODS-N    1.221    1.12    1.14    1.14    96.38     1.22    -0.045       -0.036      23.82
37181     GOODS-N    0.766    0.70    0.30    0.70    75.12     1.18    -0.037       -0.037      23.73
58856     GOODS-N    0.635    0.58    0.34    0.60    287.12    1.20    -0.034       -0.021      22.41
80348     GOODS-N    0.632    0.57    0.30    0.60    189.66    1.28    -0.038       -0.020      23.20
70156     GOODS-N    0.966    0.91    0.95    0.88    161.50    1.34    -0.028       -0.044      23.03
94812     GOODS-N    0.682    0.64    0.30    0.65    526.09    1.25    -0.025       -0.019      21.66
83237     GOODS-N    0.904    0.84    0.33    0.83    382.63    1.27    -0.034       -0.039      22.19
42430     GOODS-N    1.005    0.97    0.38    0.97    118.87    1.17    -0.017       -0.017      23.45
50670     GOODS-N    0.608    0.55    0.76    0.59    302.61    1.34    -0.036       -0.011      22.23
28271     GOODS-N    0.636    0.85    0.30    0.69    479.15    1.33    +0.131       +0.033      21.51
70857     GOODS-N    0.680    0.68    0.50    0.69    547.56    1.39    -0.000       +0.006      21.33
73058     GOODS-N    0.761    0.73    0.51    0.73    259.31    1.37    -0.018       -0.018      22.52
84259     GOODS-N    0.784    0.80    0.49    0.79    663.46    1.29    +0.009       +0.004      21.40
55923     GOODS-N    1.223    1.23    1.15    1.23    328.03    1.19    +0.003       +0.003      22.76
77555     GOODS-N    0.683    0.76    0.49    0.78    352.75    1.38    +0.046       +0.058      21.92
72730     GOODS-N    1.224    1.03    1.16    1.03    83.29     1.24    -0.087       -0.087      23.85
53362     GOODS-N    1.141    1.01    0.30    1.15    150.60    1.24    -0.061       +0.004      23.34
58703     GOODS-N    0.845    0.84    0.49    0.83    494.69    1.31    -0.002       -0.008      21.53
36708     GOODS-N    0.764    0.78    0.30    0.74    356.96    1.22    +0.009       -0.013      21.62
35853     GOODS-N    1.011    0.94    0.40    0.93    129.19    1.26    -0.035       -0.040      23.23
59024     GOODS-N    0.845    0.92    0.51    0.86    179.28    1.27    +0.041       +0.008      22.85
52440     GOODS-N    1.224    1.49    1.12    1.49    213.30    1.26    +0.120       +0.120      22.64
54405     GOODS-N    0.846    0.82    0.49    0.82    575.11    1.35    -0.014       -0.014      21.32
91148     GOODS-N    0.849    0.87    0.59    1.01    134.89    1.39    +0.011       +0.087      23.38
91947     GOODS-N    0.849    0.93    0.30    0.79    120.13    1.18    +0.044       -0.032      23.95
28029     GOODS-N    0.748    0.88    0.42    0.91    111.46    1.26    +0.076       +0.093      22.32
36989     GOODS-N    1.006    1.20    0.96    1.24    82.90     1.31    +0.097       +0.117      24.01
39728     GOODS-N    0.765    0.76    0.51    0.77    124.88    1.36    -0.003       +0.003      23.43
36944     GOODS-N    0.874    0.89    0.30    0.86    280.71    1.20    +0.009       -0.007      22.49
59375     GOODS-N    1.016    0.98    0.97    0.97    211.11    1.34    -0.018       -0.023      22.83
36639     GOODS-N    0.937    0.91    0.90    0.90    160.27    1.37    -0.014       -0.019      22.82
94262     GOODS-N    0.851    0.88    0.84    0.84    165.17    1.30    +0.016       -0.006      23.58
81749     GOODS-N    0.858    0.30    0.99    1.18    514.03    1.36    -0.300       +0.174      21.39
71198     GOODS-N    0.849    1.01    0.39    0.75    110.54    1.13    +0.087       -0.054      23.77
88858     GOODS-N    0.854    0.93    0.44    0.92    133.03    1.39    +0.041       +0.036      23.28
92535     GOODS-N    0.836    0.83    0.83    0.83    234.15    1.36    -0.003       -0.003      22.85
42014     GOODS-N    0.845    0.89    0.78    0.80    186.01    1.14    +0.024       -0.024      22.88
76405     GOODS-N    0.697    0.92    0.42    0.92    119.74    1.22    +0.131       +0.131      23.11
89993     GOODS-N    0.870    0.83    0.40    0.81    248.84    1.25    -0.021       -0.032      22.37
62376     GOODS-N    0.904    0.78    0.89    0.89    116.69    1.35    -0.065       -0.007      23.41
92378     GOODS-N    0.944    0.99    0.50    1.02    288.62    1.39    +0.024       +0.039      22.06
79928     GOODS-N    0.847    0.82    0.31    0.74    213.68    1.20    -0.015       -0.058      22.64
76917     GOODS-N    0.848    0.82    0.50    0.78    150.28    1.28    -0.015       -0.037      23.02
50422     GOODS-N    0.751    0.73    0.69    0.74    230.07    1.22    -0.012       -0.006      22.69
39842     GOODS-N    0.845    0.94    0.50    0.83    200.38    1.10    +0.051       -0.008      22.93
54327     GOODS-N    0.874    0.82    0.60    0.90    112.75    1.10    -0.029       +0.014      23.34
36842     GOODS-N    0.937    0.92    0.39    0.90    155.64    1.31    -0.009       -0.019      23.26
75659     GOODS-N    0.845    0.89    0.30    0.83    199.17    1.25    +0.024       -0.008      22.82
87433     GOODS-N    0.747    0.68    0.39    0.68    293.13    1.27    -0.038       -0.038      22.17
79903     GOODS-N    0.682    0.71    0.39    0.67    283.14    1.14    +0.017       -0.007      22.27
48229     GOODS-N    0.679    0.56    0.32    0.58    93.88     1.19    -0.071       -0.059      23.67
74794     GOODS-N    0.679    0.58    0.33    0.57    123.09    1.23    -0.059       -0.065      23.41
77715     GOODS-N    0.851    1.00    0.46    1.01    310.37    1.22    +0.080       +0.086      21.99
36418     GOODS-N    0.940    0.95    0.79    1.09    148.40    1.40    +0.005       +0.077      23.11
