# All galaxies in bin:   1.4 <= D4000 < 1.6
ID        Field      zspec    zphot    zspz     NetSig    D4000   res_zphot    res_zspz    iABmag
89790     GOODS-N    0.852     0.920    0.820    131.01    1.44    +0.037       -0.017      23.59
52998     GOODS-N    0.9617    0.970    0.970    220.56    1.50    +0.004       +0.004      22.57
86173     GOODS-N    0.843     0.880    0.870    199.97    1.54    +0.020       +0.015      22.85
47065     GOODS-N    0.8477    0.840    0.840    718.63    1.41    -0.004       -0.004      20.56
45451     GOODS-N    0.8413    0.940    0.940    257.71    1.42    +0.054       +0.054      22.39
75653     GOODS-N    0.849     0.880    0.850    166.10    1.47    +0.017       +0.001      23.28
47115     GOODS-N    1.0153    1.280    1.100    163.08    1.48    +0.131       +0.042      23.68
87000     GOODS-N    0.8526    0.830    0.830    284.67    1.43    -0.012       -0.012      22.25
50214     GOODS-N    1.016     1.010    1.080    476.25    1.53    -0.003       +0.032      22.80
83106     GOODS-N    0.854     0.820    0.800    267.69    1.42    -0.018       -0.029      22.18
32497     GOODS-N    0.935     0.970    0.960    315.51    1.53    +0.018       +0.013      22.20
48189     GOODS-N    1.0166    0.970    0.990    326.23    1.60    -0.023       -0.013      22.39
74641     GOODS-N    0.85      0.940    0.930    176.49    1.41    +0.049       +0.043      22.97
43618     GOODS-N    0.7685    0.730    0.730    795.94    1.60    -0.022       -0.022      20.90
65404     GOODS-N    0.961     1.200    1.190    647.93    1.44    +0.122       +0.117      21.48
83499     GOODS-N    0.8707    0.870    0.870    603.06    1.54    -0.000       -0.000      21.28
45496     GOODS-N    0.9596    0.960    0.950    179.82    1.44    +0.000       -0.005      22.96
82267     GOODS-N    0.9419    0.940    0.940    175.92    1.46    -0.001       -0.001      22.83
48650     GOODS-N    0.9057    0.930    0.930    293.92    1.49    +0.013       +0.013      22.57
62719     GOODS-N    0.9605    0.950    0.940    157.73    1.42    -0.005       -0.010      23.23
38212     GOODS-N    0.954     0.930    0.940    126.20    1.48    -0.012       -0.007      23.18
39801     GOODS-N    0.938     0.940    0.940    333.14    1.41    +0.001       +0.001      21.78
97070     GOODS-N    0.9414    0.900    0.890    127.94    1.41    -0.021       -0.026      23.59
81513     GOODS-N    0.8495    0.840    0.830    94.80     1.44    -0.005       -0.011      24.02
55935     GOODS-N    1.231     1.120    1.110    80.20     1.48    -0.050       -0.054      24.19
84001     GOODS-N    0.9403    0.830    0.940    81.43     1.41    -0.057       -0.000      23.42
103139    GOODS-N    0.9418    0.920    0.920    222.05    1.45    -0.011       -0.011      22.87
47561     GOODS-N    0.852     0.910    0.910    339.30    1.44    +0.031       +0.031      21.95
86439     GOODS-N    0.941     0.850    0.910    79.98     1.41    -0.047       -0.016      23.91
48397     GOODS-N    1.2257    1.170    1.160    117.41    1.49    -0.025       -0.030      23.49
93907     GOODS-N    1.019     0.990    0.970    297.39    1.41    -0.014       -0.024      23.17
112002    GOODS-N    0.8569    0.920    1.020    166.12    1.45    +0.034       +0.088      23.66
105048    GOODS-N    0.8558    0.830    0.850    235.86    1.58    -0.014       -0.003      22.88
86854     GOODS-N    0.94      0.950    0.960    398.34    1.50    +0.005       +0.010      21.85
85422     GOODS-N    0.9358    0.930    0.930    437.05    1.45    -0.003       -0.003      21.53
117828    GOODS-N    1.145     1.170    1.130    371.34    1.51    +0.012       -0.007      22.00
116636    GOODS-N    1.2245    1.040    1.110    98.01     1.47    -0.083       -0.051      23.84
119764    GOODS-N    1.2249    1.300    1.220    82.39     1.56    +0.034       -0.002      24.20
94231     GOODS-N    1.013     0.980    0.990    358.40    1.43    -0.016       -0.011      21.94
93364     GOODS-N    0.975     0.960    0.950    761.60    1.42    -0.008       -0.013      21.63
124386    GOODS-N    0.8411    0.860    0.860    222.50    1.49    +0.010       +0.010      22.80
123538    GOODS-N    0.9376    0.930    0.930    385.52    1.59    -0.004       -0.004      21.93
120498    GOODS-N    1.147     1.140    1.220    111.17    1.54    -0.003       +0.034      24.09
97147     GOODS-N    0.7092    0.710    0.690    462.18    1.53    +0.000       -0.011      21.49
122722    GOODS-S    0.73      0.710    0.730    751.82    1.47    -0.012       +0.000      21.27
112617    GOODS-S    1.023     1.010    1.020    84.58     1.50    -0.006       -0.001      23.37
117725    GOODS-S    0.735     0.710    0.720    701.90    1.47    -0.014       -0.009      20.86
127997    GOODS-S    1.0593    0.580    0.620    20.38     1.49    -0.233       -0.213      25.08
111741    GOODS-S    0.998     1.000    1.000    330.77    1.47    +0.001       +0.001      21.61
118434    GOODS-S    1.108     1.090    1.100    59.45     1.46    -0.009       -0.004      24.38
106861    GOODS-S    0.735     0.680    0.680    242.81    1.41    -0.032       -0.032      21.77
108892    GOODS-S    0.958     1.000    0.990    144.69    1.50    +0.021       +0.016      22.61
121837    GOODS-S    1.021     1.330    0.860    68.31     1.42    +0.153       -0.080      24.56
92755     GOODS-S    1.033     1.220    1.220    58.16     1.49    +0.092       +0.092      23.35
112789    GOODS-S    0.668     0.660    0.630    956.00    1.52    -0.005       -0.023      20.53
107136    GOODS-S    0.891     0.980    0.990    163.54    1.47    +0.047       +0.052      23.19
120898    GOODS-S    1.183     1.020    1.030    88.90     1.46    -0.075       -0.070      24.10
93370     GOODS-S    0.668     0.630    0.640    264.66    1.57    -0.023       -0.017      22.66
88279     GOODS-S    0.737     0.870    0.870    203.36    1.52    +0.077       +0.077      22.35
98333     GOODS-S    1.223     1.200    1.200    177.44    1.42    -0.010       -0.010      22.68
