# All galaxies in bin:   1.4 <= D4000 < 1.6
ID        Field      zspec    zphot    zspz     NetSig    D4000   res_zphot    res_zspz    iABmag
32497     GOODS-N    0.935    0.97     0.96     315.51    1.53    +0.018       +0.013      22.2
38212     GOODS-N    0.954    0.93     0.94     126.2     1.48    -0.012       -0.007      23.18
39801     GOODS-N    0.938    0.94     0.94     333.14    1.41    +0.001       +0.001      21.78
43618     GOODS-N    0.7685   0.73     0.73     795.94    1.6     -0.022       -0.022      20.9
45451     GOODS-N    0.8413   0.94     0.94     257.71    1.42    +0.054       +0.054      22.39
45496     GOODS-N    0.9596   0.96     0.95     179.82    1.44    +0.0         -0.005      22.96
47065     GOODS-N    0.8477   0.84     0.84     718.63    1.41    -0.004       -0.004      20.56
47115     GOODS-N    1.0153   1.28     1.1      163.08    1.48    +0.131       +0.042      23.68
47561     GOODS-N    0.852    0.91     0.91     339.3     1.44    +0.031       +0.031      21.95
48189     GOODS-N    1.0166   0.97     0.99     326.23    1.6     -0.023       -0.013      22.39
48397     GOODS-N    1.2257   1.17     1.16     117.41    1.49    -0.025       -0.03       23.49
48650     GOODS-N    0.9057   0.93     0.93     293.92    1.49    +0.013       +0.013      22.57
50214     GOODS-N    1.016    1.01     1.08     476.25    1.53    -0.003       +0.032      22.8
52998     GOODS-N    0.9617   0.97     0.97     220.56    1.5     +0.004       +0.004      22.57
55935     GOODS-N    1.231    1.12     1.11     80.2      1.48    -0.05        -0.054      24.19
62719     GOODS-N    0.9605   0.95     0.94     157.73    1.42    -0.005       -0.01       23.23
65404     GOODS-N    0.961    1.2      1.19     647.93    1.44    +0.122       +0.117      21.48
74641     GOODS-N    0.85     0.94     0.93     176.49    1.41    +0.049       +0.043      22.97
75653     GOODS-N    0.849    0.88     0.85     166.1     1.47    +0.017       +0.001      23.28
81513     GOODS-N    0.8495   0.84     0.83     94.8      1.44    -0.005       -0.011      24.02
82267     GOODS-N    0.9419   0.94     0.94     175.92    1.46    -0.001       -0.001      22.83
83106     GOODS-N    0.854    0.82     0.8      267.69    1.42    -0.018       -0.029      22.18
83499     GOODS-N    0.8707   0.87     0.87     603.06    1.54    -0.0         -0.0        21.28
84001     GOODS-N    0.9403   0.83     0.94     81.43     1.41    -0.057       -0.0        23.42
85422     GOODS-N    0.9358   0.93     0.93     437.05    1.45    -0.003       -0.003      21.53
86173     GOODS-N    0.843    0.88     0.87     199.97    1.54    +0.02        +0.015      22.85
86439     GOODS-N    0.941    0.85     0.91     79.98     1.41    -0.047       -0.016      23.91
86854     GOODS-N    0.94     0.95     0.96     398.34    1.5     +0.005       +0.01       21.85
87000     GOODS-N    0.8526   0.83     0.83     284.67    1.43    -0.012       -0.012      22.25
89790     GOODS-N    0.852    0.92     0.82     131.01    1.44    +0.037       -0.017      23.59
93364     GOODS-N    0.975    0.96     0.95     761.6     1.42    -0.008       -0.013      21.63
93907     GOODS-N    1.019    0.99     0.97     297.39    1.41    -0.014       -0.024      23.17
94231     GOODS-N    1.013    0.98     0.99     358.4     1.43    -0.016       -0.011      21.94
97070     GOODS-N    0.9414   0.9      0.89     127.94    1.41    -0.021       -0.026      23.59
97147     GOODS-N    0.7092   0.71     0.69     462.18    1.53    +0.0         -0.011      21.49
103139    GOODS-N    0.9418   0.92     0.92     222.05    1.45    -0.011       -0.011      22.87
105048    GOODS-N    0.8558   0.83     0.85     235.86    1.58    -0.014       -0.003      22.88
112002    GOODS-N    0.8569   0.92     1.02     166.12    1.45    +0.034       +0.088      23.66
116636    GOODS-N    1.2245   1.04     1.11     98.01     1.47    -0.083       -0.051      23.84
117828    GOODS-N    1.145    1.17     1.13     371.34    1.51    +0.012       -0.007      22.0
119764    GOODS-N    1.2249   1.3      1.22     82.39     1.56    +0.034       -0.002      24.2
120498    GOODS-N    1.147    1.14     1.22     111.17    1.54    -0.003       +0.034      24.09
123538    GOODS-N    0.9376   0.93     0.93     385.52    1.59    -0.004       -0.004      21.93
124386    GOODS-N    0.8411   0.86     0.86     222.5     1.49    +0.01        +0.01       22.8
88279     GOODS-S    0.737    0.87     0.87     203.36    1.52    +0.077       +0.077      22.35
92755     GOODS-S    1.033    1.22     1.22     58.16     1.49    +0.092       +0.092      23.35
93370     GOODS-S    0.668    0.63     0.64     264.66    1.57    -0.023       -0.017      22.66
98333     GOODS-S    1.223    1.2      1.2      177.44    1.42    -0.01        -0.01       22.68
106861    GOODS-S    0.735    0.68     0.68     242.81    1.41    -0.032       -0.032      21.77
107136    GOODS-S    0.891    0.98     0.99     163.54    1.47    +0.047       +0.052      23.19
108892    GOODS-S    0.958    1.0      0.99     144.69    1.5     +0.021       +0.016      22.61
111741    GOODS-S    0.998    1.0      1.0      330.77    1.47    +0.001       +0.001      21.61
112617    GOODS-S    1.023    1.01     1.02     84.58     1.5     -0.006       -0.001      23.37
112789    GOODS-S    0.668    0.66     0.63     956.0     1.52    -0.005       -0.023      20.53
117725    GOODS-S    0.735    0.71     0.72     701.9     1.47    -0.014       -0.009      20.86
118434    GOODS-S    1.108    1.09     1.1      59.45     1.46    -0.009       -0.004      24.38
120898    GOODS-S    1.183    1.02     1.03     88.9      1.46    -0.075       -0.07       24.1
121837    GOODS-S    1.021    1.33     0.86     68.31     1.42    +0.153       -0.08       24.56
122722    GOODS-S    0.73     0.71     0.73     751.82    1.47    -0.012       +0.0        21.27
127997    GOODS-S    1.0593   0.58     0.62     20.38     1.49    -0.233       -0.213      25.08
