# The redshift is from 3dhst
# These are galaxies with masses greater than >10^10.5 M_sol
# figs_id mstar threed_z redshift_type
300550 10.57 1.2738 photo_z
300933 10.67 1.5936 photo_z
301140 11.05 1.2623 photo_z
301544 10.92 1.7079 photo_z
301560 10.87 1.2979 photo_z
301648 10.92 1.7581 photo_z
301817 10.77 1.22 spectro_z
302431 10.62 1.5435 photo_z
302538 10.62 1.4467 spectro_z
302821 10.83 1.2454 photo_z
302860 10.88 1.5498 photo_z
303087 10.81 1.2869 photo_z
303169 10.67 1.3435 spectro_z
303244 10.79 1.6834 photo_z
400177 10.54 1.223 spectro_z
400540 10.76 1.2246 spectro_z
400575 10.98 1.5384 photo_z
400615 10.8 1.7444 photo_z
400644 10.53 1.5995 photo_z
400678 10.68 1.4593 spectro_z
400721 10.52 1.4229 photo_z
400743 10.59 1.654 photo_z
400763 11.53 1.6973 photo_z
400774 10.89 1.5198 spectro_z
401030 10.63 1.249 spectro_z
401201 11.13 1.2907 spectro_z
401716 10.58 1.4671 photo_z
401802 10.54 1.522 spectro_z
403833 10.66 1.2653 photo_z
100005 10.88 1.612 spectro_z
100008 11.09 1.6296 photo_z
100099 10.64 1.5399 photo_z
100205 10.57 1.7002 photo_z
100451 10.5 1.7198 photo_z
100500 10.57 1.221 spectro_z
100659 11.15 1.223 spectro_z
101070 10.5 1.22 spectro_z
101072 10.56 1.6726 photo_z
101213 10.64 1.307 spectro_z
101428 10.52 1.39 spectro_z
101756 10.68 1.3207 photo_z
102378 10.96 1.3556 photo_z
102402 10.59 1.5731 photo_z
102412 10.86 1.317 spectro_z
102800 10.51 1.5716 photo_z
102821 11.14 1.553 spectro_z
102954 10.51 1.427 spectro_z
