# Galaxies with zgrism less than 0.5
# ID      Field      zspec    zphot    zg     zspz    NetSig    D4000   res_zphot    res_zgrism    res_zspz    iABmag
37495     GOODS-N    0.934    0.90    0.48    0.94    118.26    1.19    -0.018       -0.235       +0.003      23.73
60092     GOODS-N    0.680    0.68    0.30    0.64    243.99    1.26    +0.000       -0.226       -0.024      22.37
64828     GOODS-N    0.959    0.30    0.32    1.31    1046.36    1.10    -0.336       -0.326       +0.179      21.35
94177     GOODS-N    1.014    0.98    0.39    0.97    99.68     1.20    -0.017       -0.310       -0.022      23.93
63227     GOODS-N    0.846    0.84    0.35    0.84    417.67    1.31    -0.003       -0.269       -0.003      21.72
47355     GOODS-N    0.779    0.77    0.35    0.76    361.90    1.27    -0.005       -0.241       -0.011      21.56
88020     GOODS-N    0.852    0.83    0.46    0.74    128.18    1.32    -0.012       -0.212       -0.060      23.38
37181     GOODS-N    0.766    0.70    0.30    0.70    75.12     1.18    -0.037       -0.264       -0.037      23.73
58856     GOODS-N    0.635    0.58    0.34    0.60    287.12    1.20    -0.034       -0.180       -0.021      22.41
80348     GOODS-N    0.632    0.57    0.30    0.60    189.66    1.28    -0.038       -0.204       -0.020      23.20
94812     GOODS-N    0.682    0.64    0.30    0.65    526.09    1.25    -0.025       -0.227       -0.019      21.66
83237     GOODS-N    0.904    0.84    0.33    0.83    382.63    1.27    -0.034       -0.301       -0.039      22.19
42430     GOODS-N    1.005    0.97    0.38    0.97    118.87    1.17    -0.017       -0.312       -0.017      23.45
28271     GOODS-N    0.636    0.85    0.30    0.69    479.15    1.33    +0.131       -0.205       +0.033      21.51
84259     GOODS-N    0.784    0.80    0.49    0.79    663.46    1.29    +0.009       -0.165       +0.004      21.40
47115     GOODS-N    1.015    1.06    0.41    1.09    163.08    1.48    +0.022       -0.300       +0.037      23.68
75413     GOODS-N    0.864    0.94    0.30    0.85    161.15    1.05    +0.041       -0.303       -0.008      23.34
86135     GOODS-N    0.784    1.49    0.37    1.38    52.89     0.83    +0.396       -0.232       +0.334      24.36
77555     GOODS-N    0.683    0.76    0.49    0.78    352.75    1.38    +0.046       -0.115       +0.058      21.92
53362     GOODS-N    1.141    1.01    0.30    1.15    150.60    1.24    -0.061       -0.393       +0.004      23.34
58703     GOODS-N    0.845    0.84    0.49    0.83    494.69    1.31    -0.002       -0.192       -0.008      21.53
52829     GOODS-N    1.143    1.06    0.38    1.09    127.80    0.85    -0.039       -0.356       -0.025      23.63
36708     GOODS-N    0.764    0.78    0.30    0.74    356.96    1.22    +0.009       -0.263       -0.013      21.62
35853     GOODS-N    1.011    0.94    0.40    0.93    129.19    1.26    -0.035       -0.304       -0.040      23.23
54405     GOODS-N    0.846    0.82    0.49    0.82    575.11    1.35    -0.014       -0.193       -0.014      21.32
91947     GOODS-N    0.849    0.93    0.30    0.79    120.13    1.18    +0.044       -0.297       -0.032      23.95
28029     GOODS-N    0.748    0.88    0.42    0.91    111.46    1.26    +0.076       -0.188       +0.093      22.32
36944     GOODS-N    0.874    0.89    0.30    0.86    280.71    1.20    +0.009       -0.306       -0.007      22.49
71198     GOODS-N    0.849    1.01    0.39    0.75    110.54    1.13    +0.087       -0.248       -0.054      23.77
88858     GOODS-N    0.854    0.93    0.44    0.92    133.03    1.39    +0.041       -0.223       +0.036      23.28
76405     GOODS-N    0.697    0.92    0.42    0.92    119.74    1.22    +0.131       -0.163       +0.131      23.11
89993     GOODS-N    0.870    0.83    0.40    0.81    248.84    1.25    -0.021       -0.251       -0.032      22.37
79928     GOODS-N    0.847    0.82    0.31    0.74    213.68    1.20    -0.015       -0.291       -0.058      22.64
36842     GOODS-N    0.937    0.92    0.39    0.90    155.64    1.31    -0.009       -0.282       -0.019      23.26
75659     GOODS-N    0.845    0.89    0.30    0.83    199.17    1.25    +0.024       -0.295       -0.008      22.82
87433     GOODS-N    0.747    0.68    0.39    0.68    293.13    1.27    -0.038       -0.204       -0.038      22.17
79903     GOODS-N    0.682    0.71    0.39    0.67    283.14    1.14    +0.017       -0.174       -0.007      22.27
48229     GOODS-N    0.679    0.56    0.32    0.58    93.88     1.19    -0.071       -0.214       -0.059      23.67
74794     GOODS-N    0.679    0.58    0.33    0.57    123.09    1.23    -0.059       -0.208       -0.065      23.41
77715     GOODS-N    0.851    1.00    0.46    1.01    310.37    1.22    +0.080       -0.211       +0.086      21.99
68612     GOODS-N    0.610    0.73    0.33    0.69    124.64    1.39    +0.075       -0.174       +0.050      23.62
62388     GOODS-N    0.964    0.89    0.49    0.86    82.35     1.28    -0.038       -0.241       -0.053      23.76
56190     GOODS-N    0.681    0.57    0.30    0.70    102.98    1.32    -0.066       -0.227       +0.011      23.94
52896     GOODS-N    0.961    0.94    0.37    0.91    133.80    1.30    -0.011       -0.301       -0.026      23.37
38445     GOODS-N    0.649    0.73    0.38    0.73    191.30    1.27    +0.049       -0.163       +0.049      22.50
49261     GOODS-N    0.961    0.89    0.47    0.93    170.27    1.33    -0.036       -0.250       -0.016      22.55
54992     GOODS-N    0.682    0.50    0.30    0.48    109.48    1.06    -0.108       -0.227       -0.120      23.56
51003     GOODS-N    0.954    0.94    0.33    0.91    242.66    1.21    -0.007       -0.319       -0.022      22.46
66753     GOODS-N    0.752    0.85    0.47    0.83    395.31    1.31    +0.056       -0.161       +0.045      21.87
