# The 3DHST ID is specific to its north or south catalog. Currently using 3DHST v4.1 catalog.
# figs_id threed_north_idv41 figs_ra figs_dec threed_ra threed_dec
300001 21896 189.111694 62.249966 189.111694 62.249962
300002 22058 189.091949 62.249908 189.091949 62.249912
300003 21829 189.183716 62.249851 189.183716 62.249851
300004 21880 189.085373 62.249500 189.085358 62.249512
300005 21938 189.245407 62.249531 189.245407 62.249523
300006 21918 189.253769 62.249500 189.253769 62.249500
300007 21783 189.254379 62.249390 189.254379 62.249390
300008 21731 189.217178 62.249260 189.217148 62.249245
300009 21772 189.217896 62.249084 189.217911 62.249100
300010 21717 189.174698 62.249107 189.174744 62.249073
300012 21722 189.148071 62.249241 189.148056 62.249241
300013 21757 189.173431 62.249256 189.173431 62.249268
300015 21664 189.122116 62.249176 189.122101 62.249180
300016 21726 189.139618 62.249111 189.139618 62.249111
300018 21799 189.113831 62.249039 189.113846 62.249043
300019 21687 189.116379 62.249100 189.116379 62.249100
300020 21658 189.093613 62.249104 189.093597 62.249107
300021 21720 189.206146 62.249050 189.206131 62.249046
300022 21654 189.144897 62.249111 189.144882 62.249119
300023 21703 189.156586 62.249035 189.156555 62.249035
300024 21648 189.165604 62.249058 189.165604 62.249058
300025 21734 189.255020 62.249008 189.255020 62.248981
300027 21641 189.091492 62.248924 189.091492 62.248917
300028 21633 189.139526 62.248962 189.139511 62.248955
300029 35811 189.136581 62.331543 189.136581 62.331547
300030 35790 189.158813 62.332211 189.158890 62.332256
300031 35841 189.216034 62.332241 189.216019 62.332275
300032 35896 189.236313 62.332279 189.236374 62.332294
300036 35776 189.240005 62.331509 189.240021 62.331497
300038 35813 189.155426 62.331482 189.155396 62.331478
300039 35728 189.256088 62.331425 189.256088 62.331425
300041 35785 189.218323 62.331451 189.218277 62.331459
300042 35809 189.170319 62.331432 189.170258 62.331448
300043 35794 189.246368 62.331440 189.246353 62.331429
300045 35803 189.244873 62.331425 189.244843 62.331425
300049 35791 189.232666 62.331394 189.232651 62.331402
300050 35787 189.259003 62.331364 189.259018 62.331348
300051 35780 189.219055 62.331341 189.219040 62.331337
300056 35699 189.204300 62.331108 189.204285 62.331120
300057 35757 189.169724 62.331211 189.169739 62.331211
300060 35666 189.217346 62.331097 189.217346 62.331108
300061 35782 189.221741 62.331223 189.221756 62.331226
300063 35759 189.185623 62.331104 189.185577 62.331104
300067 35765 189.212357 62.331100 189.212357 62.331100
300068 35734 189.190430 62.331055 189.190430 62.331058
300069 35726 189.134399 62.330925 189.134369 62.330914
300070 35744 189.189850 62.331009 189.189850 62.331005
300071 35740 189.236862 62.330952 189.236847 62.330952
300072 35743 189.189453 62.330929 189.189453 62.330933
300073 35710 189.139587 62.330811 189.139587 62.330814
300075 35737 189.223221 62.330814 189.223251 62.330814
300076 35518 189.237122 62.330551 189.237106 62.330551
300077 35738 189.153214 62.330780 189.153213 62.330791
300078 35724 189.167786 62.330746 189.167770 62.330730
300080 35712 189.140472 62.330688 189.140457 62.330692
300082 35684 189.171265 62.330612 189.171280 62.330608
300083 35568 189.210022 62.330479 189.210037 62.330475
300084 35715 189.248962 62.330616 189.248962 62.330616
300085 35671 189.135284 62.330456 189.135269 62.330463
300086 35708 189.177673 62.330528 189.177673 62.330532
300087 35698 189.181396 62.330486 189.181381 62.330482
300088 35691 189.249405 62.330421 189.249405 62.330421
300089 35679 189.242615 62.330376 189.242630 62.330387
300090 35539 189.188324 62.330166 189.188309 62.330166
300091 35681 189.190536 62.330246 189.190506 62.330246
300092 35636 189.243546 62.330208 189.243515 62.330196
300093 35591 189.196808 62.330070 189.196808 62.330074
300095 35587 189.203979 62.330090 189.203995 62.330097
300096 35658 189.177963 62.330101 189.177933 62.330116
300097 35669 189.232025 62.330128 189.232025 62.330132
300098 35660 189.137192 62.330036 189.137177 62.330032
300099 35090 189.210693 62.329487 189.210709 62.329483
300101 35612 189.247864 62.329994 189.247849 62.330002
300102 35596 189.230362 62.329941 189.230377 62.329941
300103 35656 189.184372 62.329983 189.184372 62.329987
300105 35545 189.234894 62.329842 189.234894 62.329842
300107 34904 189.166763 62.328247 189.166763 62.328251
300108 33709 189.167511 62.328072 189.167511 62.328075
300109 35548 189.221588 62.329849 189.221634 62.329826
300110 35627 189.223724 62.329861 189.223740 62.329861
300112 35469 189.220612 62.329662 189.220596 62.329662
300113 35628 189.256210 62.329750 189.256210 62.329746
300114 35285 189.151657 62.329216 189.151627 62.329227
300115 35621 189.258163 62.329697 189.258163 62.329693
300119 35613 189.243423 62.329655 189.243423 62.329651
300125 35599 189.174362 62.329502 189.174362 62.329502
300128 35527 189.193069 62.329422 189.193069 62.329422
300131 35581 189.127563 62.329365 189.127548 62.329372
300132 35585 189.221085 62.329411 189.221085 62.329414
300133 35588 189.141098 62.329338 189.141067 62.329346
300134 35593 189.142960 62.329372 189.142914 62.329376
300135 35595 189.218872 62.329395 189.218887 62.329399
300137 35547 189.227707 62.329319 189.227737 62.329311
300139 35575 189.213211 62.329334 189.213150 62.329330
300141 35440 189.214188 62.329182 189.214172 62.329166
300144 35583 189.200745 62.329330 189.200745 62.329330
300146 35563 189.252640 62.329254 189.252640 62.329254
300148 35501 189.219498 62.329178 189.219513 62.329178
300149 35507 189.156876 62.329113 189.156906 62.329136
300153 35289 189.199127 62.328754 189.199127 62.328754
300156 35510 189.229019 62.328979 189.229034 62.328979
300158 35468 189.245453 62.328896 189.245453 62.328899
300159 35513 189.178757 62.328918 189.178757 62.328918
300160 35491 189.129242 62.328838 189.129242 62.328838
300162 35504 189.230850 62.328880 189.230865 62.328880
300163 35520 189.147110 62.328800 189.147079 62.328800
300164 35508 189.121719 62.328751 189.121704 62.328724
300167 35487 189.161774 62.328667 189.161774 62.328663
300168 35489 189.217789 62.328701 189.217804 62.328701
300170 35483 189.193192 62.328655 189.193192 62.328659
300172 35484 189.200912 62.328594 189.200912 62.328602
300173 35448 189.243973 62.328526 189.243958 62.328526
300174 35466 189.256744 62.328552 189.256744 62.328571
300175 35042 189.216324 62.328087 189.216339 62.328087
300176 35479 189.232697 62.328533 189.232712 62.328529
300178 35477 189.244476 62.328503 189.244461 62.328499
300188 35459 189.243164 62.328320 189.243149 62.328320
300189 35451 189.204346 62.328255 189.204315 62.328239
300190 35445 189.149048 62.328144 189.149048 62.328152
300191 35400 189.202118 62.328098 189.202118 62.328102
300195 35428 189.129395 62.328003 189.129364 62.328014
300196 34995 189.189880 62.327572 189.189850 62.327579
300197 35395 189.193314 62.327991 189.193314 62.327991
300198 35410 189.253479 62.328018 189.253479 62.328011
300199 35418 189.120590 62.327950 189.120544 62.327946
300200 35421 189.120331 62.327930 189.120361 62.327946
300201 35362 189.203537 62.327969 189.203552 62.327950
300202 35420 189.139053 62.327946 189.139038 62.327950
300204 35292 189.144379 62.327847 189.144394 62.327866
300205 35414 189.250214 62.327946 189.250183 62.327946
300210 35256 189.211884 62.327686 189.211884 62.327690
300211 35399 189.173981 62.327805 189.173981 62.327808
300212 35391 189.248093 62.327793 189.248108 62.327778
300214 35378 189.158005 62.327709 189.158005 62.327709
300216 35330 189.253036 62.327621 189.253021 62.327618
300217 35364 189.237808 62.327652 189.237808 62.327648
300218 35344 189.249496 62.327599 189.249496 62.327606
300219 35355 189.211182 62.327599 189.211212 62.327599
300221 35388 189.245270 62.327644 189.245255 62.327641
300222 35326 189.245987 62.327549 189.245987 62.327545
300223 35384 189.208847 62.327599 189.208817 62.327602
300226 35359 189.132660 62.327438 189.132629 62.327446
300228 35357 189.196167 62.327423 189.196182 62.327423
300232 35349 189.201157 62.327312 189.201172 62.327312
300233 35353 189.243362 62.327332 189.243393 62.327312
300236 35352 189.151657 62.327267 189.151642 62.327274
300237 35257 189.175568 62.327122 189.175568 62.327122
300238 35322 189.222397 62.327244 189.222427 62.327248
300239 35311 189.223175 62.327206 189.223175 62.327209
300240 35241 189.235306 62.327133 189.235321 62.327133
300241 35323 189.247574 62.327164 189.247559 62.327160
300242 35307 189.200455 62.327156 189.200470 62.327156
300243 35317 189.156235 62.327110 189.156204 62.327110
300244 35300 189.238388 62.327137 189.238373 62.327129
300245 35327 189.115250 62.327057 189.115234 62.327065
