# wav flam_norm
7.560000e+00 5.208019e-18
8.775000e+00 9.837588e-17
9.990000e+00 7.084032e-16
1.120500e+01 2.553869e-15
1.242000e+01 5.256129e-15
1.363500e+01 6.750961e-15
1.485000e+01 5.940343e-15
1.606500e+01 3.872112e-15
1.728000e+01 2.005481e-15
1.849500e+01 9.941766e-16
1.971000e+01 4.229398e-16
2.092500e+01 1.738841e-16
2.214000e+01 6.819022e-17
2.335500e+01 2.644205e-17
2.457000e+01 2.578660e-17
2.578500e+01 1.155794e-16
2.700000e+01 6.331219e-16
2.821500e+01 3.077367e-15
2.943000e+01 1.256353e-14
3.064500e+01 3.862953e-14
3.186000e+01 1.259287e-13
3.307500e+01 3.890769e-13
3.429000e+01 1.110456e-12
3.550500e+01 2.942718e-12
3.672000e+01 7.297206e-12
3.793500e+01 1.695841e-11
3.915000e+01 3.745350e-11
4.036500e+01 7.994693e-11
4.158000e+01 1.008845e-09
4.279500e+01 2.179214e-08
4.401000e+01 4.087758e-08
4.522500e+01 3.681979e-08
4.644000e+01 4.805825e-08
4.765500e+01 5.632262e-08
4.887000e+01 1.005951e-07
5.008500e+01 1.354034e-07
5.130000e+01 1.814616e-07
5.251500e+01 2.099461e-07
5.373000e+01 1.694287e-07
5.494500e+01 2.250631e-07
5.616000e+01 4.120530e-07
5.737500e+01 4.826976e-07
5.859000e+01 8.570799e-07
5.980500e+01 2.671560e-06
6.102000e+01 3.445706e-06
6.223500e+01 3.813793e-06
6.345000e+01 4.223332e-06
6.466500e+01 4.688128e-06
6.588000e+01 5.140428e-06
6.709500e+01 5.648550e-06
6.831000e+01 5.995398e-06
6.952500e+01 6.820322e-06
7.074000e+01 7.471274e-06
7.195500e+01 8.166121e-06
7.317000e+01 8.919175e-06
7.438500e+01 9.744996e-06
7.560000e+01 1.044072e-05
7.681500e+01 1.160692e-05
7.803000e+01 1.240834e-05
7.924500e+01 1.311473e-05
8.046000e+01 1.446667e-05
8.167500e+01 1.754923e-05
8.289000e+01 1.927417e-05
8.410500e+01 1.881673e-05
8.532000e+01 2.134198e-05
8.653500e+01 2.588509e-05
8.775000e+01 3.266890e-05
8.896500e+01 3.407685e-05
9.018000e+01 3.624122e-05
9.139500e+01 4.274857e-05
9.261000e+01 5.500708e-05
9.382500e+01 7.025466e-05
9.504000e+01 8.448743e-05
9.625500e+01 1.007193e-04
9.747000e+01 1.013001e-04
9.868500e+01 9.982739e-05
9.990000e+01 1.162846e-04
1.011150e+02 1.176653e-04
1.023300e+02 1.347615e-04
1.035450e+02 1.176692e-04
1.047600e+02 9.731147e-05
1.059750e+02 1.233645e-04
1.071900e+02 1.537600e-04
1.084050e+02 1.534246e-04
1.096200e+02 1.701111e-04
1.108350e+02 1.771480e-04
1.120500e+02 1.825460e-04
1.132650e+02 1.879816e-04
1.144800e+02 1.945916e-04
1.156950e+02 2.069433e-04
1.169100e+02 2.166340e-04
1.181250e+02 2.237617e-04
1.193400e+02 2.320417e-04
1.205550e+02 2.421815e-04
1.217700e+02 2.895839e-04
1.229850e+02 3.156701e-04
1.242000e+02 3.320302e-04
1.254150e+02 3.425869e-04
1.266300e+02 3.629358e-04
1.278450e+02 3.776425e-04
1.290600e+02 3.899367e-04
1.302750e+02 4.041641e-04
1.314900e+02 4.829499e-04
1.327050e+02 2.832643e-03
1.339200e+02 5.836590e-03
1.351350e+02 6.255616e-03
1.363500e+02 6.220677e-03
1.375650e+02 6.674514e-03
1.387800e+02 6.706046e-03
1.399950e+02 6.302509e-03
1.412100e+02 6.469007e-03
1.424250e+02 6.637320e-03
1.436400e+02 6.314845e-03
1.448550e+02 5.859551e-03
1.460700e+02 6.906994e-03
1.472850e+02 7.505902e-03
1.485000e+02 7.443724e-03
1.497150e+02 7.763507e-03
1.509300e+02 7.823480e-03
1.521450e+02 7.935349e-03
1.533600e+02 7.866573e-03
1.545750e+02 7.951207e-03
1.557900e+02 7.971034e-03
1.570050e+02 8.010978e-03
1.582200e+02 7.743001e-03
1.594350e+02 7.542118e-03
1.606500e+02 8.386926e-03
1.618650e+02 9.868897e-03
1.630800e+02 1.023988e-02
1.642950e+02 1.021239e-02
1.655100e+02 1.007359e-02
1.667250e+02 1.004617e-02
1.679400e+02 1.067002e-02
1.691550e+02 1.072151e-02
1.703700e+02 1.076883e-02
1.715850e+02 1.106224e-02
1.728000e+02 1.114814e-02
1.740150e+02 1.120908e-02
1.752300e+02 1.088138e-02
1.764450e+02 1.076581e-02
1.776600e+02 1.122388e-02
1.788750e+02 1.152258e-02
1.800900e+02 1.073251e-02
1.813050e+02 1.104448e-02
1.825200e+02 1.193308e-02
1.837350e+02 1.227017e-02
1.849500e+02 1.234337e-02
1.861650e+02 1.240432e-02
1.873800e+02 1.240716e-02
1.885950e+02 1.240979e-02
1.898100e+02 1.262500e-02
1.910250e+02 1.403014e-02
1.922400e+02 1.760250e-02
1.934550e+02 1.812743e-02
1.946700e+02 1.818555e-02
1.958850e+02 1.966428e-02
1.971000e+02 2.662649e-02
1.983150e+02 2.803824e-02
1.995300e+02 2.803056e-02
2.007450e+02 2.809204e-02
2.019600e+02 2.593256e-02
2.031750e+02 2.547427e-02
2.043900e+02 2.825685e-02
2.056050e+02 2.857985e-02
2.068200e+02 2.876984e-02
2.080350e+02 2.888123e-02
2.092500e+02 2.898912e-02
2.104650e+02 2.907083e-02
2.116800e+02 2.917441e-02
2.128950e+02 2.935485e-02
2.141100e+02 2.952384e-02
2.153250e+02 2.966798e-02
2.165400e+02 2.983584e-02
2.177550e+02 2.985898e-02
2.189700e+02 3.012338e-02
2.201850e+02 3.026859e-02
2.214000e+02 3.026867e-02
2.226150e+02 3.020379e-02
2.238300e+02 3.066520e-02
2.250450e+02 3.083640e-02
2.262600e+02 3.093803e-02
2.274750e+02 3.103614e-02
2.286900e+02 3.111862e-02
2.299050e+02 3.119568e-02
2.311200e+02 3.115286e-02
2.323350e+02 3.014975e-02
2.335500e+02 2.684990e-02
2.347650e+02 3.017410e-02
2.359800e+02 3.159963e-02
2.371950e+02 3.189558e-02
2.384100e+02 3.208192e-02
2.396250e+02 3.218651e-02
2.408400e+02 3.228746e-02
2.420550e+02 3.237416e-02
2.432700e+02 3.246267e-02
2.444850e+02 3.259136e-02
2.457000e+02 3.269898e-02
2.469150e+02 3.276968e-02
2.481300e+02 3.183281e-02
2.493450e+02 3.256043e-02
2.505600e+02 3.314091e-02
2.517750e+02 3.325306e-02
2.529900e+02 3.338751e-02
2.542050e+02 3.349749e-02
2.554200e+02 3.358097e-02
2.566350e+02 3.367468e-02
2.578500e+02 3.372524e-02
2.590650e+02 3.387822e-02
2.602800e+02 3.415511e-02
2.614950e+02 3.427331e-02
2.627100e+02 3.440970e-02
2.639250e+02 3.444431e-02
2.651400e+02 3.455233e-02
2.663550e+02 3.463865e-02
2.675700e+02 3.473620e-02
2.687850e+02 3.465527e-02
2.700000e+02 3.489366e-02
2.712150e+02 3.504872e-02
2.724300e+02 3.514413e-02
2.736450e+02 3.525452e-02
2.748600e+02 3.535579e-02
2.760750e+02 3.541269e-02
2.772900e+02 3.549873e-02
2.785050e+02 3.560596e-02
2.797200e+02 3.572078e-02
2.809350e+02 3.571747e-02
2.821500e+02 3.386395e-02
2.833650e+02 3.500984e-02
2.845800e+02 3.600534e-02
2.857950e+02 3.606045e-02
2.870100e+02 3.597665e-02
2.882250e+02 3.625540e-02
2.894400e+02 3.640091e-02
2.906550e+02 3.647662e-02
2.918700e+02 3.665721e-02
2.930850e+02 3.667212e-02
2.943000e+02 3.679665e-02
2.955150e+02 3.689576e-02
2.967300e+02 3.712170e-02
2.979450e+02 3.722307e-02
2.991600e+02 3.729076e-02
3.003750e+02 3.670789e-02
3.015900e+02 3.719831e-02
3.028050e+02 3.763045e-02
3.040200e+02 3.765198e-02
3.052350e+02 3.779473e-02
3.064500e+02 3.781868e-02
3.076650e+02 3.897856e-02
3.088800e+02 4.198386e-02
3.100950e+02 4.931262e-02
3.113100e+02 6.076557e-02
3.125250e+02 7.110174e-02
3.137400e+02 7.518237e-02
3.149550e+02 8.949926e-02
3.161700e+02 7.813039e-02
3.173850e+02 9.077599e-02
3.186000e+02 9.523180e-02
3.198150e+02 8.407263e-02
3.210300e+02 8.823763e-02
3.222450e+02 1.016368e-01
3.234600e+02 9.883260e-02
3.246750e+02 9.700775e-02
3.258900e+02 9.776892e-02
3.271050e+02 9.287723e-02
3.283200e+02 8.175214e-02
3.295350e+02 9.603914e-02
3.307500e+02 8.694426e-02
3.319650e+02 8.766002e-02
3.331800e+02 8.810959e-02
3.343950e+02 7.680111e-02
3.356100e+02 9.523715e-02
3.368250e+02 9.720195e-02
3.380400e+02 9.412085e-02
3.392550e+02 9.458489e-02
3.404700e+02 9.699827e-02
3.416850e+02 9.646430e-02
3.429000e+02 9.874212e-02
3.441150e+02 9.856771e-02
3.453300e+02 8.157197e-02
3.465450e+02 8.034833e-02
3.477600e+02 9.803734e-02
3.489750e+02 9.659287e-02
3.501900e+02 9.225111e-02
3.514050e+02 9.445809e-02
3.526200e+02 9.888803e-02
3.538350e+02 9.263323e-02
3.550500e+02 9.419164e-02
3.562650e+02 9.661568e-02
3.574800e+02 9.745591e-02
3.586950e+02 9.635523e-02
3.599100e+02 9.081920e-02
3.611250e+02 9.369659e-02
3.623400e+02 9.386033e-02
3.635550e+02 9.240595e-02
3.647700e+02 9.066841e-02
3.659850e+02 9.757564e-02
3.672000e+02 1.015149e-01
3.684150e+02 9.902636e-02
3.696300e+02 9.806454e-02
3.708450e+02 1.034425e-01
3.720600e+02 1.005944e-01
3.732750e+02 9.739549e-02
3.744900e+02 9.693412e-02
3.757050e+02 9.213953e-02
3.769200e+02 9.640158e-02
3.781350e+02 9.934148e-02
3.793500e+02 9.757581e-02
3.805650e+02 9.576145e-02
3.817800e+02 9.954190e-02
3.829950e+02 9.704935e-02
3.842100e+02 9.862709e-02
3.854250e+02 9.783629e-02
3.866400e+02 9.951364e-02
3.878550e+02 9.661059e-02
3.890700e+02 1.052086e-01
3.902850e+02 9.136480e-02
3.915000e+02 8.969248e-02
3.927150e+02 8.553480e-02
3.939300e+02 8.803255e-02
3.951450e+02 9.096517e-02
3.963600e+02 8.777118e-02
3.975750e+02 8.776373e-02
3.987900e+02 8.749706e-02
4.000050e+02 9.245019e-02
4.012200e+02 9.053176e-02
4.024350e+02 1.068756e-01
4.036500e+02 1.093287e-01
4.048650e+02 9.146147e-02
4.060800e+02 9.384554e-02
4.072950e+02 9.443624e-02
4.085100e+02 1.036391e-01
4.097250e+02 8.209138e-02
4.109400e+02 8.917422e-02
4.121550e+02 9.730642e-02
4.133700e+02 9.904390e-02
4.145850e+02 8.885956e-02
4.158000e+02 9.222602e-02
4.170150e+02 1.005098e-01
4.182300e+02 1.119905e-01
4.194450e+02 1.071509e-01
4.206600e+02 9.763612e-02
4.218750e+02 9.335920e-02
4.230900e+02 1.066384e-01
4.243050e+02 1.129748e-01
4.255200e+02 1.012485e-01
4.267350e+02 1.003663e-01
4.279500e+02 1.040957e-01
4.291650e+02 1.090234e-01
4.303800e+02 1.033432e-01
4.315950e+02 1.067413e-01
4.328100e+02 1.129814e-01
4.340250e+02 1.175227e-01
4.352400e+02 1.234030e-01
4.364550e+02 1.155388e-01
4.376700e+02 1.280546e-01
4.388850e+02 1.244448e-01
4.401000e+02 1.244004e-01
4.413150e+02 1.249445e-01
4.425300e+02 1.279260e-01
4.437450e+02 1.226385e-01
4.449600e+02 1.279876e-01
4.461750e+02 1.159956e-01
4.473900e+02 1.078749e-01
4.486050e+02 1.051551e-01
4.498200e+02 1.266797e-01
4.510350e+02 1.257764e-01
4.522500e+02 1.060187e-01
4.534650e+02 1.046172e-01
4.546800e+02 1.119099e-01
4.558950e+02 1.072850e-01
4.571100e+02 1.135982e-01
4.583250e+02 1.267834e-01
4.595400e+02 1.294563e-01
4.607550e+02 1.235862e-01
4.619700e+02 1.110296e-01
4.631850e+02 9.987099e-02
4.644000e+02 1.057056e-01
4.656150e+02 9.795892e-02
4.668300e+02 1.004845e-01
4.680450e+02 1.079937e-01
4.692600e+02 8.625452e-02
4.704750e+02 8.890085e-02
4.716900e+02 9.723806e-02
4.729050e+02 9.631804e-02
4.741200e+02 1.082354e-01
4.753350e+02 1.162316e-01
4.765500e+02 1.115481e-01
4.777650e+02 1.113664e-01
4.789800e+02 1.025112e-01
4.801950e+02 1.050938e-01
4.814100e+02 1.248711e-01
4.826250e+02 1.237347e-01
4.838400e+02 1.212940e-01
4.850550e+02 1.137119e-01
4.862700e+02 1.204149e-01
4.874850e+02 1.237524e-01
4.887000e+02 1.092932e-01
4.899150e+02 1.253246e-01
4.911300e+02 1.261387e-01
4.923450e+02 1.318335e-01
4.935600e+02 1.200346e-01
4.947750e+02 1.386876e-01
4.959900e+02 1.171016e-01
4.972050e+02 1.245095e-01
4.984200e+02 1.329571e-01
4.996350e+02 1.594254e-01
5.008500e+02 1.410789e-01
5.020650e+02 1.407651e-01
5.032800e+02 1.398822e-01
5.044950e+02 9.499488e-02
5.057100e+02 1.123170e-01
5.069250e+02 1.398764e-01
5.081400e+02 1.090826e-01
5.093550e+02 1.212683e-01
5.105700e+02 1.110272e-01
5.117850e+02 1.260194e-01
5.130000e+02 1.250128e-01
5.142150e+02 1.013310e-01
5.154300e+02 1.215583e-01
5.166450e+02 1.348273e-01
5.178600e+02 1.288403e-01
5.190750e+02 9.176931e-02
5.202900e+02 7.838877e-02
5.215050e+02 7.389717e-02
5.227200e+02 8.896857e-02
5.239350e+02 8.865766e-02
5.251500e+02 8.785531e-02
5.263650e+02 1.298805e-01
5.275800e+02 1.001588e-01
5.287950e+02 1.009014e-01
5.300100e+02 9.715803e-02
5.312250e+02 1.201165e-01
5.324400e+02 9.937663e-02
5.336550e+02 1.051141e-01
5.348700e+02 1.256063e-01
5.360850e+02 1.464762e-01
5.373000e+02 1.618235e-01
5.385150e+02 1.425773e-01
5.397300e+02 1.301910e-01
5.409450e+02 1.109764e-01
5.421600e+02 1.263124e-01
5.433750e+02 1.366920e-01
5.445900e+02 1.580126e-01
5.458050e+02 1.758232e-01
5.470200e+02 1.580648e-01
5.482350e+02 1.561983e-01
5.494500e+02 1.390838e-01
5.506650e+02 1.398054e-01
5.518800e+02 1.733521e-01
5.530950e+02 1.460102e-01
5.543100e+02 1.727149e-01
5.555250e+02 1.683066e-01
5.567400e+02 1.746944e-01
5.579550e+02 1.932026e-01
5.591700e+02 2.087636e-01
5.603850e+02 1.768059e-01
5.616000e+02 1.294934e-01
5.628150e+02 1.155421e-01
5.640300e+02 1.641406e-01
5.652450e+02 1.662414e-01
5.664600e+02 1.401632e-01
5.676750e+02 1.550615e-01
5.688900e+02 1.374199e-01
5.701050e+02 1.664188e-01
5.713200e+02 1.680095e-01
5.725350e+02 1.553493e-01
5.737500e+02 1.490875e-01
5.749650e+02 1.272316e-01
5.761800e+02 1.152028e-01
5.773950e+02 1.311642e-01
5.786100e+02 1.463196e-01
5.798250e+02 1.515986e-01
5.810400e+02 1.620994e-01
5.822550e+02 1.755885e-01
5.834700e+02 1.577048e-01
5.846850e+02 1.712170e-01
5.859000e+02 1.528739e-01
5.871150e+02 1.488702e-01
5.883300e+02 1.981091e-01
5.895450e+02 1.801576e-01
5.907600e+02 1.849877e-01
5.919750e+02 1.662471e-01
5.931900e+02 1.614122e-01
5.944050e+02 1.816413e-01
5.956200e+02 2.030698e-01
5.968350e+02 2.056843e-01
