# wav flam_norm
1.680000e+01 5.196569e-16
1.950000e+01 9.815825e-15
2.220000e+01 7.068280e-14
2.490000e+01 2.548167e-13
2.760000e+01 5.244310e-13
3.030000e+01 6.735373e-13
3.300000e+01 5.925076e-13
3.570000e+01 3.858576e-13
3.840000e+01 1.993176e-13
4.110000e+01 9.833096e-14
4.380000e+01 4.147696e-14
4.650000e+01 1.686244e-14
4.920000e+01 6.539185e-15
5.190000e+01 2.519416e-15
5.460000e+01 2.522055e-15
5.730000e+01 1.147674e-14
6.000000e+01 6.293748e-14
6.270000e+01 3.059324e-13
6.540000e+01 1.248990e-12
6.810000e+01 3.840313e-12
7.080000e+01 1.251907e-11
7.350000e+01 3.867968e-11
7.620000e+01 1.103948e-10
7.890000e+01 2.925474e-10
8.160000e+01 7.254449e-10
8.430000e+01 1.685905e-09
8.700000e+01 3.723408e-09
8.970000e+01 7.947864e-09
9.240000e+01 1.002931e-07
9.510000e+01 2.166437e-06
9.780000e+01 4.063791e-06
1.005000e+02 3.660391e-06
1.032000e+02 4.777649e-06
1.059000e+02 5.599242e-06
1.086000e+02 1.000053e-05
1.113000e+02 1.346096e-05
1.140000e+02 1.803978e-05
1.167000e+02 2.087155e-05
1.194000e+02 1.684358e-05
1.221000e+02 2.237442e-05
1.248000e+02 4.096379e-05
1.275000e+02 4.798686e-05
1.302000e+02 8.520565e-05
1.329000e+02 2.655901e-04
1.356000e+02 3.425510e-04
1.383000e+02 3.791440e-04
1.410000e+02 4.198577e-04
1.437000e+02 4.660645e-04
1.464000e+02 5.110287e-04
1.491000e+02 5.615415e-04
1.518000e+02 5.960203e-04
1.545000e+02 6.780246e-04
1.572000e+02 7.427308e-04
1.599000e+02 8.117964e-04
1.626000e+02 8.866426e-04
1.653000e+02 9.687136e-04
1.680000e+02 1.037838e-03
1.707000e+02 1.153716e-03
1.734000e+02 1.233314e-03
1.761000e+02 1.303417e-03
1.788000e+02 1.437661e-03
1.815000e+02 1.743901e-03
1.842000e+02 1.915080e-03
1.869000e+02 1.869126e-03
1.896000e+02 2.119707e-03
1.923000e+02 2.570814e-03
1.950000e+02 3.244531e-03
1.977000e+02 3.383335e-03
2.004000e+02 3.597605e-03
2.031000e+02 4.243485e-03
2.058000e+02 5.462547e-03
2.085000e+02 6.979192e-03
2.112000e+02 8.395205e-03
2.139000e+02 1.001008e-02
2.166000e+02 1.006293e-02
2.193000e+02 9.910471e-03
2.220000e+02 1.154414e-02
2.247000e+02 1.167278e-02
2.274000e+02 1.336884e-02
2.301000e+02 1.165105e-02
2.328000e+02 9.605343e-03
2.355000e+02 1.218935e-02
2.382000e+02 1.520544e-02
2.409000e+02 1.514952e-02
2.436000e+02 1.678888e-02
2.463000e+02 1.746162e-02
2.490000e+02 1.796617e-02
2.517000e+02 1.847189e-02
2.544000e+02 1.908960e-02
2.571000e+02 2.025521e-02
2.598000e+02 2.114807e-02
2.625000e+02 2.178916e-02
2.652000e+02 2.247546e-02
2.679000e+02 2.338586e-02
2.706000e+02 2.798832e-02
2.733000e+02 3.039117e-02
2.760000e+02 3.183649e-02
2.787000e+02 3.278435e-02
2.814000e+02 3.459509e-02
2.841000e+02 3.586564e-02
2.868000e+02 3.684220e-02
2.895000e+02 3.802457e-02
2.922000e+02 4.556280e-02
2.949000e+02 2.790224e-01
2.976000e+02 5.775818e-01
3.003000e+02 6.189230e-01
3.030000e+02 6.150357e-01
3.057000e+02 6.596573e-01
3.084000e+02 6.623597e-01
3.111000e+02 6.219058e-01
3.138000e+02 6.378990e-01
3.165000e+02 6.541326e-01
3.192000e+02 6.215819e-01
3.219000e+02 5.757856e-01
3.246000e+02 6.789746e-01
3.273000e+02 7.368982e-01
3.300000e+02 7.296820e-01
3.327000e+02 7.602003e-01
3.354000e+02 7.655022e-01
3.381000e+02 7.757726e-01
3.408000e+02 7.680420e-01
3.435000e+02 7.753613e-01
3.462000e+02 7.764837e-01
3.489000e+02 7.793521e-01
3.516000e+02 7.517493e-01
3.543000e+02 7.312689e-01
3.570000e+02 8.086644e-01
3.597000e+02 9.223317e-01
3.624000e+02 9.492451e-01
3.651000e+02 9.479987e-01
3.678000e+02 9.356063e-01
3.705000e+02 9.315462e-01
3.732000e+02 9.818728e-01
3.759000e+02 9.850942e-01
3.786000e+02 9.880475e-01
3.813000e+02 1.013575e+00
3.840000e+02 1.019430e+00
3.867000e+02 1.022900e+00
3.894000e+02 9.921884e-01
3.921000e+02 9.793299e-01
3.948000e+02 1.010042e+00
3.975000e+02 1.025563e+00
4.002000e+02 9.554723e-01
4.029000e+02 9.772327e-01
4.056000e+02 1.052906e+00
4.083000e+02 1.079461e+00
4.110000e+02 1.083258e+00
4.137000e+02 1.086446e+00
4.164000e+02 1.084666e+00
4.191000e+02 1.082900e+00
4.218000e+02 1.097734e+00
4.245000e+02 1.178218e+00
4.272000e+02 1.348536e+00
4.299000e+02 1.372028e+00
