| lambda_Angs|Flambda/F(5500A)|
|       float|           float|
      800.000  -0.00185978
      806.314  -0.00172153
      812.564  -0.00158868
      818.977  -0.00145635
      825.325  -0.00132921
      831.839  -0.00120259
      838.287  -0.00108096
      844.903 -0.000959844
      851.452 -0.000843529
      858.172 -0.000727733
      864.946 -0.000614547
      871.650 -0.000505878
      878.530 -0.000397728
      885.339 -0.000293916
      892.327 -0.000190622
      899.243 -9.14947e-05
      906.341  7.11447e-06
      913.366  0.000101724
      920.575  0.000195817
      927.841  0.000306029
      935.032  0.000496506
      942.412  0.000997876
      949.717   0.00236302
      957.213   0.00374037
      964.632   0.00458402
      972.246   0.00160246
      979.782   0.00401098
      987.515   0.00634509
      995.309   0.00672603
      1003.02   0.00966096
      1010.94    0.0102557
      1018.78   0.00640916
      1026.82   0.00234816
      1034.78   0.00555557
      1042.94    0.0137391
      1051.03    0.0182333
      1059.32    0.0177982
      1067.68    0.0164376
      1075.96    0.0193785
      1084.45    0.0138955
      1092.86    0.0200258
      1101.48    0.0288601
      1110.02    0.0340695
      1118.78    0.0361333
      1127.45    0.0399976
      1136.35    0.0467490
      1145.32    0.0441541
      1154.20    0.0522093
      1163.31    0.0582226
      1172.32    0.0505463
      1181.58    0.0519561
      1190.74    0.0275663
      1200.13    0.0129678
      1209.44   0.00805035
      1218.98   0.00907156
      1228.60    0.0342335
      1238.13    0.0760605
      1247.90    0.0929802
      1257.57    0.0744460
      1267.50    0.0801323
      1277.32     0.131197
      1287.40     0.135856
      1297.38     0.106811
      1307.62     0.109311
      1317.94     0.145693
      1328.16     0.139369
      1338.64     0.139791
      1349.02     0.170372
      1359.66     0.155190
      1370.20     0.155633
      1381.02     0.173798
      1391.72     0.178524
      1402.71     0.180859
      1413.78     0.167492
      1424.73     0.185056
      1435.98     0.181913
      1447.11     0.212247
      1458.53     0.193405
      1469.84     0.180463
      1481.44     0.192162
      1492.92     0.210412
      1504.70     0.205521
      1516.58     0.197428
