# wav trans
7600.000000 0.000000
7624.500000 0.000000
7649.000000 0.000000
7673.500000 0.000000
7698.000000 0.000000
7722.500000 0.000000
7747.000000 0.000000
7771.500000 0.000000
7796.000000 0.000000
7820.500000 0.000000
7845.000000 0.000000
7869.500000 0.000000
7894.000000 0.000000
7918.500000 0.000000
7943.000000 0.000000
7967.500000 0.000000
7992.000000 0.000000
8016.500000 0.076383
8041.000000 0.082202
8065.500000 0.088072
8090.000000 0.094001
8114.500000 0.100490
8139.000000 0.107544
8163.500000 0.114668
8188.000000 0.122052
8212.500000 0.128642
8237.000000 0.133462
8261.500000 0.138183
8286.000000 0.142964
8310.500000 0.148181
8335.000000 0.154216
8359.500000 0.160329
8384.000000 0.165677
8408.500000 0.170773
8433.000000 0.175154
8457.500000 0.179551
8482.000000 0.183964
8506.500000 0.188129
8531.000000 0.190809
8555.500000 0.193170
8580.000000 0.195337
8604.500000 0.197534
8629.000000 0.200139
8653.500000 0.203476
8678.000000 0.206860
8702.500000 0.210262
8727.000000 0.214364
8751.500000 0.220306
8776.000000 0.226361
8800.500000 0.232516
8825.000000 0.237520
8849.500000 0.243351
8874.000000 0.249492
8898.500000 0.255745
8923.000000 0.260876
8947.500000 0.266192
8972.000000 0.271673
8996.500000 0.277131
9021.000000 0.278307
9045.500000 0.278621
9070.000000 0.279191
9094.500000 0.279785
9119.000000 0.283366
9143.500000 0.288515
9168.000000 0.293739
9192.500000 0.298953
9217.000000 0.302676
9241.500000 0.305829
9266.000000 0.309438
9290.500000 0.313068
9315.000000 0.314712
9339.500000 0.314508
9364.000000 0.314404
9388.500000 0.314305
9413.000000 0.315910
9437.500000 0.320150
9462.000000 0.324713
9486.500000 0.329299
9511.000000 0.333098
9535.500000 0.335391
9560.000000 0.337684
9584.500000 0.340133
9609.000000 0.342598
9633.500000 0.345235
9658.000000 0.348155
9682.500000 0.351067
9707.000000 0.353719
9731.500000 0.354844
9756.000000 0.355822
9780.500000 0.356730
9805.000000 0.357679
9829.500000 0.356574
9854.000000 0.356052
9878.500000 0.355438
9903.000000 0.354705
9927.500000 0.358237
9952.000000 0.361436
9976.500000 0.364915
10001.000000 0.368071
10025.500000 0.369927
10050.000000 0.371276
10074.500000 0.372911
10099.000000 0.374519
10123.500000 0.376414
10148.000000 0.378725
10172.500000 0.381017
10197.000000 0.382960
10221.500000 0.384293
10246.000000 0.385308
10270.500000 0.386300
10295.000000 0.386936
10319.500000 0.388949
10344.000000 0.391448
10368.500000 0.393940
10393.000000 0.396423
10417.500000 0.396646
10442.000000 0.395326
10466.500000 0.393641
10491.000000 0.392272
10515.500000 0.393161
10540.000000 0.396367
10564.500000 0.399569
10589.000000 0.402770
10613.500000 0.403676
10638.000000 0.401586
10662.500000 0.399492
10687.000000 0.397634
10711.500000 0.397154
10736.000000 0.399394
10760.500000 0.401641
10785.000000 0.403897
10809.500000 0.405436
10834.000000 0.404973
10858.500000 0.404518
10883.000000 0.404423
10907.500000 0.403278
10932.000000 0.398988
10956.500000 0.394706
10981.000000 0.390768
11005.500000 0.387333
11030.000000 0.392155
11054.500000 0.396985
11079.000000 0.402166
11103.500000 0.406860
11128.000000 0.403486
11152.500000 0.400449
11177.000000 0.397060
11201.500000 0.393719
11226.000000 0.393325
11250.500000 0.392824
11275.000000 0.392491
11299.500000 0.392156
11324.000000 0.383243
11348.500000 0.373185
11373.000000 0.362779
11397.500000 0.352655
11422.000000 0.313729
11446.500000 0.266367
11471.000000 0.218791
11495.500000 0.171110
11520.000000 0.138179
11544.500000 0.111937
11569.000000 0.085632
11593.500000 0.059240
11618.000000 0.042297
11642.500000 0.031525
11667.000000 0.020695
11691.500000 0.009853
11716.000000 0.004180
11740.500000 0.003267
11765.000000 0.002349
11789.500000 0.001430
11814.000000 0.000853
11838.500000 0.000715
11863.000000 0.000577
11887.500000 0.000438
11912.000000 0.000341
11936.500000 0.000318
11961.000000 0.000296
11985.500000 0.000273
12010.000000 0.000254
12034.500000 0.000245
12059.000000 0.000236
12083.500000 0.000227
12108.000000 0.000215
12132.500000 0.000192
12157.000000 0.000169
12181.500000 0.000146
12206.000000 0.000125
12230.500000 0.000119
12255.000000 0.000112
12279.500000 0.000106
12304.000000 0.000100
12328.500000 0.000104
12353.000000 0.000109
12377.500000 0.000114
12402.000000 0.000118
12426.500000 0.000123
12451.000000 0.000129
12475.500000 0.000134
12500.000000 0.000139
12524.500000 0.000138
12549.000000 0.000136
12573.500000 0.000135
12598.000000 0.000133
12622.500000 0.000125
12647.000000 0.000115
12671.500000 0.000106
12696.000000 0.000096
12720.500000 0.000091
12745.000000 0.000087
12769.500000 0.000083
12794.000000 0.000079
12818.500000 0.000073
12843.000000 0.000066
12867.500000 0.000060
12892.000000 0.000053
12916.500000 0.000045
12941.000000 0.000034
12965.500000 0.000024
12990.000000 0.000014
