# Any galaxy with abs(resid)>0.01 is here
# pearsid field ra dec zgrism zspec zphot netsig chi2 zqual zsource d4000
73058 GOODS-N 189.124581 62.244721 0.721 0.761 0.7603 259.309878062 1.32446010805 4 Wirth_2004 1.44089315558
87000 GOODS-N 189.137595 62.271215 0.833 0.853 0.9033 284.669023609 1.14458499253 Z Barger_K 1.4557085748
36708 GOODS-N 189.141708 62.181841 0.614 0.764 0.7736 356.955774006 1.76528847878 Z Barger_UV 1.36326085106
35853 GOODS-N 189.142124 62.179438 0.931 1.011 0.9491 129.186936623 0.894865908044 Z Barger_K 1.32131123865
37495 GOODS-N 189.150181 62.183402 0.814 0.934 0.9366 118.261102546 0.982538262442 Z Barger_K 1.28883260186
60092 GOODS-N 189.1512 62.222202 0.635 0.68 0.7089 243.988573326 1.78182162924 4 Wirth_2015 1.23790665101
52998 GOODS-N 189.151611 62.210383 0.992 0.962 0.8819 220.562891053 1.33828919614 Z Barger_ACS 1.49037287395
79351 GOODS-N 189.157435 62.256407 1.136 1.221 1.1564 96.3814764766 0.774636717085 Z Barger_UV 1.32469957785
58856 GOODS-N 189.160277 62.220296 0.6 0.635 0.5791 287.118259422 1.70498816353 Z Barger_K 1.27992473562
80348 GOODS-N 189.161035 62.257246 0.602 0.632 0.6212 189.658709178 1.62801470231 Z Barger_ACS 1.24490101577
70156 GOODS-N 189.16145 62.239445 0.866 0.966 0.959 161.500628568 1.01186857242 Z Barger_ACS 1.30909628647
42430 GOODS-N 189.161688 62.189869 0.89 1.005 0.9756 118.869393321 1.12997086591 Z Barger_ACS 1.38956661737
50670 GOODS-N 189.162428 62.205493 0.663 0.608 0.5629 302.607091142 1.30135694484 Z Barger_K 1.36098501058
91947 GOODS-N 189.168573 62.278265 0.679 0.849 0.8416 120.131620789 1.25191768898 Z Barger_ACS 1.53010682496
28029 GOODS-N 189.168829 62.167595 0.608 0.748 0.7535 111.462899652 0.562685541697 Z Barger_K 1.42865022028
36944 GOODS-N 189.170378 62.181871 0.764 0.874 0.8353 280.708223886 1.72629968945 Z Barger_UV 1.40478035284
36639 GOODS-N 189.172688 62.180919 0.782 0.937 0.8841 160.266704614 1.22113118791 Z Barger_ACS 1.57037974389
88858 GOODS-N 189.176557 62.272816 0.654 0.854 0.822 133.030422891 0.929597841228 Z Barger_K 1.35048221667
42014 GOODS-N 189.177334 62.189407 0.785 0.845 0.8731 186.00801746 1.6853681776 Z Barger_UV 1.27883758134
76405 GOODS-N 189.178046 62.250802 0.602 0.697 0.7126 119.737691895 0.833912325739 Z Barger_K 1.51298326134
89993 GOODS-N 189.17937 62.275523 0.67 0.87 0.9156 248.83956768 1.77886509206 Z Barger_K 1.28570768511
45026 GOODS-N 189.179994 62.196666 1.032 1.007 0.9729 228.584318579 1.34671584543 3 Wirth_2004 1.59914801741
79928 GOODS-N 189.18135 62.258988 0.687 0.847 0.8835 213.680961426 0.949696800839 Z Barger_K 1.49742661035
50422 GOODS-N 189.18179 62.205071 0.681 0.751 0.7455 230.068905713 1.69014877759 Z Barger_K 1.43852786231
54327 GOODS-N 189.184139 62.211217 0.769 0.874 0.9206 112.74705406 1.15074225244 Z Barger_K 1.57335390109
87433 GOODS-N 189.187144 62.271319 0.627 0.747 0.7734 293.131962392 1.30059390698 Z Barger_K 1.38734132566
48229 GOODS-N 189.19153 62.200388 0.744 0.679 0.663 93.8816725467 0.998855134107 Z Barger_K 1.28028473353
68612 GOODS-N 189.196558 62.237297 0.69 0.61 0.5691 124.644420109 1.26512918351 Z Barger_K 1.21729508661
62388 GOODS-N 189.197674 62.225022 0.789 0.964 0.935 82.3518832098 0.765588991682 Z Barger_ACS 1.43208670338
46914 GOODS-N 189.197738 62.197467 0.842 0.912 0.9234 81.885403988 0.81758169738 Z Barger_ACS 1.42106753817
35156 GOODS-N 189.199465 62.179304 1.163 1.223 1.2015 189.957355223 1.63168696217 Z Barger_24m 1.42690381438
51003 GOODS-N 189.204441 62.205905 0.899 0.954 0.9422 242.662430142 1.57387403824 Z Barger_ACS 1.29525260066
66753 GOODS-N 189.206239 62.23522 0.692 0.752 0.7213 395.3101094 1.66950841979 Z Barger_UV 1.39821448748
69850 GOODS-N 189.209772 62.238518 0.643 0.818 0.8832 100.299148335 0.522519909578 Z Barger_UV 1.40705509228
94851 GOODS-N 189.214895 62.28394 0.84 0.955 0.9167 82.3895787423 0.772007691397 Z Barger_ACS 1.43099247574
94097 GOODS-N 189.220391 62.281966 0.711 0.761 0.7483 101.445699831 0.858825305822 Z Barger_UV 1.25362860799
54598 GOODS-N 189.224556 62.21502 0.617 0.642 0.6631 694.017876004 1.50275704257 4 Wirth_2015 1.38424701427
52460 GOODS-N 189.231522 62.212656 0.811 0.791 0.8129 315.625966159 1.88700028278 Z Barger_UV 1.34319442323
50799 GOODS-N 189.236018 62.205595 0.979 0.954 0.9324 219.238509636 1.42398929822 Z Barger_ACS 1.58976935409
44286 GOODS-N 189.239528 62.193104 0.928 1.013 0.9841 151.5370956 1.36173166588 Z Barger_K 1.08244983648
74987 GOODS-N 189.24078 62.2486 0.884 0.849 0.8299 293.535187661 1.7432727823 Z Barger_K 1.35881093772
105095 GOODS-N 189.245545 62.302763 0.843 0.943 0.9196 150.853242287 1.00334748551 Z Barger_K 1.34874935711
47561 GOODS-N 189.245803 62.202469 1.002 0.852 0.9152 339.297266056 1.77926693121 Z Barger_K 1.36222341679
85920 GOODS-N 189.250233 62.268303 0.974 1.014 0.9718 274.631313384 1.4204466851 Z Barger_K 1.38013339586
86439 GOODS-N 189.25179 62.26803 0.916 0.941 0.9289 79.9779166781 0.736794208447 Z Barger_ACS 1.36217381992
71893 GOODS-N 189.254997 62.241894 0.639 0.839 0.9699 75.0592340615 0.445113490915 Z Barger_UV 1.35215013042
77103 GOODS-N 189.258085 62.252898 0.908 0.938 0.939 265.207837763 1.98253353708 Z Barger_UV 1.30706508885
102886 GOODS-N 189.267768 62.300502 0.744 0.639 0.6167 125.108543126 0.802603810827 Z Barger_ACS 1.31843438195
89655 GOODS-N 189.271113 62.274348 1.056 1.121 1.0973 141.727274656 0.696708233894 Z Barger_K 1.26549717884
112339 GOODS-N 189.273057 62.314237 1.041 0.856 1.1575 132.44322302 1.20536693483 Z Barger_ACS 1.43680288695
106613 GOODS-N 189.274167 62.304796 0.665 0.855 0.9258 122.254718303 1.03440059567 Z Barger_UV 1.21719405784
99579 GOODS-N 189.277841 62.293851 1.029 1.144 1.1528 188.400683656 1.29969554926 Z Barger_K 1.21821063985
91474 GOODS-N 189.285094 62.277525 1.152 1.222 1.1767 98.7780092458 0.75786579734 Z Barger_K 1.24446170693
109801 GOODS-N 189.289007 62.309933 0.651 0.851 0.8246 170.702159393 1.37619111724 Z Barger_K 1.30385487924
82986 GOODS-N 189.302899 62.26284 0.801 0.936 0.929 366.56851899 1.99958016263 Z Barger_ACS 1.41544103076
117385 GOODS-N 189.315519 62.321239 1.134 1.224 1.2085 120.027220136 1.21779001134 Z Barger_ACS 1.1657104115
114275 GOODS-N 189.317003 62.316902 0.927 1.027 0.9529 169.76821213 1.14326467795 Z Barger_ACS 1.42905654106
103094 GOODS-N 189.321552 62.301278 0.782 0.972 0.9138 184.725564913 1.81704534048 Z Barger_UV 1.24115503619
112486 GOODS-N 189.323643 62.314013 0.685 0.835 0.8059 123.662941131 1.01275423521 Z Barger_K 1.38407594009
98420 GOODS-N 189.330009 62.291136 1.115 1.2 1.1294 109.520035263 0.825076640085 Z Barger_K 1.2264770761
81269 GOODS-N 189.332766 62.258972 0.642 0.842 0.895 175.664478112 1.54302455727 Z Barger_ACS 1.20674279454
118642 GOODS-N 189.335281 62.325305 0.636 0.836 0.8929 212.956058269 1.91866417829 Z Barger_K 1.22394127678
89845 GOODS-N 189.335839 62.274894 0.64 0.84 0.9207 312.404718841 1.67772349508 Z Barger_ACS 1.30019188516
113696 GOODS-N 189.337136 62.317026 0.727 0.747 0.7345 117.122241978 1.01362373344 Z Barger_K 1.31519104595
121302 GOODS-N 189.337234 62.33222 0.603 0.778 0.7781 311.425903098 1.59098901996 Z Barger_ACS 1.26844361376
93239 GOODS-N 189.343607 62.280933 0.781 0.841 0.8363 171.30953422 0.77127590348 Z Barger_24m 1.47729044498
127420 GOODS-N 189.357042 62.349206 1.008 1.083 1.0553 328.547095717 1.95416778114 Z Barger_ACS 1.19643531631
98997 GOODS-N 189.363747 62.29308 0.951 1.011 0.9892 143.342105369 0.816102029693 Z Barger_K 1.49396595938
121232 GOODS-N 189.364826 62.332437 0.77 0.855 0.8394 122.168685893 0.732290879715 Z Barger_K 1.39296967696
122616 GOODS-N 189.381705 62.335724 1.068 1.153 1.1551 96.9256362548 1.00938574278 Z Barger_K 1.31156279438
122560 GOODS-N 189.397021 62.335577 1.043 1.083 1.0544 389.605639527 1.83096854055 Z Barger_24m 1.24302511221
117715 GOODS-N 189.400004 62.322069 1.161 1.026 0.991 100.710100768 0.746555162717 Z Barger_K 1.30495268423
111030 GOODS-S 53.042569 -27.73302 0.938 1.058 1.069 47.1785479036 1.11778357871 A VLT_2008 1.4237193329
132104 GOODS-S 53.061049 -27.688081 0.618 0.818 0.828 188.17453272 1.46652457852 B VVDS 1.28064688173
110801 GOODS-S 53.06203 -27.732863 1.034 1.109 1.098 54.5789171788 0.61261176623 A VLT_2008 1.35870008595
124152 GOODS-S 53.063392 -27.706962 0.726 0.846 0.745 120.178750565 0.682557106575 C VVDS 1.43892979515
134389 GOODS-S 53.085453 -27.683033 0.825 0.895 0.861 170.135260334 1.11324608021 A VIMOS_10_M 1.39582338376
132474 GOODS-S 53.086501 -27.687486 0.613 0.683 0.691 174.307011549 1.13249182985 B VVDS 1.34481405579
118459 GOODS-S 53.095252 -27.71727 0.641 0.671 0.67 104.725491615 0.864547602201 B VVDS 1.16584293003
93102 GOODS-S 53.100469 -27.767594 1.085 1.225 1.205 98.5966418444 0.483481312393 A VLT_2008 1.37402088235
108336 GOODS-S 53.104614 -27.740445 1.105 1.22 1.226 62.1103854751 0.765589861937 A VLT_2008 1.04752578971
99490 GOODS-S 53.106589 -27.758035 0.722 0.667 0.627 62.9705815584 0.66041456658 A VLT_2008 1.37612726636
93984 GOODS-S 53.106928 -27.765439 0.952 1.032 0.989 189.919831775 1.00206703531 3 Morris_201 1.13332003748
125248 GOODS-S 53.10975 -27.702675 1.111 0.936 0.913 35.5636380167 0.455316327878 4 Morris_201 1.52740682118
98698 GOODS-S 53.111936 -27.757828 0.936 0.831 0.858 291.56064704 1.88643818084 A K20 1.36876729316
113361 GOODS-S 53.113234 -27.726632 0.628 0.668 0.623 235.837785737 1.58859235853 A VIMOS_10_M 1.35956661122
72524 GOODS-S 53.13033 -27.805615 1.073 1.173 1.114 111.309285293 0.640503633076 A VLT_2008 1.428327755
102547 GOODS-S 53.131855 -27.751345 1.063 1.098 1.074 89.8667463135 0.807492396469 A VLT_2008 1.31578609435
27994 GOODS-S 53.133533 -27.890769 0.873 0.988 0.946 77.0404710747 1.1030377008 A VLT_2008 1.42629962502
100572 GOODS-S 53.137158 -27.754179 0.7 0.765 0.72 181.72300931 1.32772511711 A K20 1.25191669555
14386 GOODS-S 53.139745 -27.920454 0.638 0.658 0.619 177.045440839 0.88005517123 B VVDS 1.34327518675
60481 GOODS-S 53.14627 -27.831469 1.011 1.096 1.081 41.123926098 0.968616355413 A VLT_2008 1.20993343386
48311 GOODS-S 53.14662 -27.850945 0.946 0.981 0.944 41.4574032197 0.608222222277 B VLT_2008 1.4407097365
23215 GOODS-S 53.147745 -27.900513 1.129 1.089 1.068 75.851661726 0.796722867595 A VLT_2008 1.44505315819
34128 GOODS-S 53.158957 -27.877881 0.619 0.734 0.69 228.19403068 1.44242659299 B VVDS 1.26317286453
43997 GOODS-S 53.161866 -27.858128 0.679 0.754 0.617 132.383769252 0.598811605013 B VVDS 1.56882956473
78415 GOODS-S 53.169475 -27.791939 0.837 0.667 0.658 700.453917424 1.90565647272 A COMBO-17 1.46542265482
36110 GOODS-S 53.172427 -27.873753 0.671 0.611 0.562 161.950650506 0.885067310442 B VVDS 1.20503601434
100157 GOODS-S 53.183547 -27.756741 1.191 1.221 1.189 71.5195997531 0.844068232101 A VLT_2008 1.43006169381
51522 GOODS-S 53.184301 -27.844309 1.012 1.122 1.096 56.3811706908 0.549969393019 B VLT_2008 1.23446852863
17704 GOODS-S 53.184784 -27.913397 0.692 0.732 0.654 151.799678567 0.708759093777 B VVDS 1.56539327247
38417 GOODS-S 53.186973 -27.869061 0.652 0.782 0.754 103.035679794 0.687545620494 C VLT_2008 1.3747118252
81470 GOODS-S 53.197586 -27.786397 1.203 1.098 1.138 61.1416275845 0.797398977422 A VLT_2008 1.40265435006
47101 GOODS-S 53.20631 -27.851605 0.633 0.783 0.794 303.791409238 1.61997810364 A VIMOS_10_M 1.28957428953
58222 GOODS-S 53.208757 -27.834432 0.663 0.713 0.719 146.046127881 0.739956470455 A VIMOS_10_M 1.43551339639
23595 GOODS-S 53.210659 -27.899203 0.866 0.976 0.938 94.6093013746 0.643278178893 A VLT_2008 1.40085125092
