# The 3DHST ID is specific to its north or south catalog. Currently using 3DHST v4.1 catalog.
# figs_id threed_south_idv41 figs_ra figs_dec threed_ra threed_dec
100001 15773 53.136104 -27.829046 53.136106 -27.829025
100002 16635 53.161739 -27.832308 53.161753 -27.832289
100003 16587 53.152473 -27.834324 53.152477 -27.834320
100004 16507 53.131561 -27.834612 53.131565 -27.834611
100005 16603 53.150188 -27.834524 53.150189 -27.834529
100006 16880 53.181679 -27.834394 53.181685 -27.834395
100007 16821 53.208751 -27.834431 53.208757 -27.834429
100008 16769 53.127128 -27.834560 53.127129 -27.834558
100009 16464 53.132938 -27.834606 53.132915 -27.834614
100010 16680 53.143577 -27.834711 53.143582 -27.834711
100011 16765 53.173626 -27.834682 53.173628 -27.834680
100012 16748 53.140930 -27.834764 53.140930 -27.834764
100013 16740 53.187290 -27.834810 53.187295 -27.834818
100014 16634 53.170421 -27.834812 53.170423 -27.834814
100015 16706 53.170536 -27.835020 53.170536 -27.835022
100016 16325 53.152084 -27.835048 53.152153 -27.835105
100017 16677 53.148571 -27.834926 53.148565 -27.834929
100018 16622 53.164398 -27.834904 53.164360 -27.834942
100019 16727 53.144039 -27.835094 53.144038 -27.835111
100020 16642 53.189152 -27.835094 53.189137 -27.835130
100021 16540 53.185024 -27.835048 53.185021 -27.835052
100022 16585 53.205143 -27.835075 53.205143 -27.835071
100023 16533 53.114700 -27.835083 53.114707 -27.835079
100024 16544 53.151302 -27.835129 53.151319 -27.835152
100025 16631 53.155853 -27.834833 53.155864 -27.834858
100026 16704 53.151619 -27.834692 53.151622 -27.834691
100027 16762 53.116062 -27.834678 53.116058 -27.834688
100028 16614 53.133720 -27.834755 53.133720 -27.834753
100029 16852 53.173279 -27.834177 53.173280 -27.834175
100030 16802 53.151829 -27.834459 53.151829 -27.834458
100032 16710 53.195572 -27.834566 53.195570 -27.834564
100033 16620 53.155540 -27.834652 53.155539 -27.834648
100035 16823 53.186992 -27.834265 53.186998 -27.834259
100036 16683 53.132412 -27.834606 53.132415 -27.834603
100037 16788 53.114494 -27.834383 53.114492 -27.834379
100038 16894 53.169861 -27.834085 53.169843 -27.834053
100042 16916 53.157917 -27.834295 53.157915 -27.834285
100044 16994 53.157333 -27.833687 53.157331 -27.833682
100045 16712 53.171680 -27.834547 53.171676 -27.834550
100051 16645 53.146240 -27.834541 53.146237 -27.834540
100060 16666 53.148426 -27.834534 53.148429 -27.834535
100063 16747 53.166569 -27.834526 53.166565 -27.834531
100064 16653 53.203872 -27.834507 53.203875 -27.834506
100065 16923 53.199886 -27.834068 53.199892 -27.834069
100066 16664 53.120254 -27.834482 53.120251 -27.834476
100067 16681 53.162052 -27.834465 53.162063 -27.834467
100068 16859 53.142418 -27.834156 53.142423 -27.834155
100071 16855 53.168907 -27.834257 53.168907 -27.834256
100072 16688 53.205169 -27.834394 53.205170 -27.834385
100074 16692 53.209366 -27.834369 53.209365 -27.834371
100077 16711 53.143337 -27.834297 53.143338 -27.834298
100081 16872 53.123840 -27.834087 53.123841 -27.834091
100082 17007 53.147781 -27.833570 53.147780 -27.833569
100084 16809 53.140381 -27.834331 53.140380 -27.834290
100085 16797 53.205665 -27.834278 53.205650 -27.834304
100090 16945 53.194496 -27.833908 53.194494 -27.833911
100092 16840 53.143265 -27.834121 53.143270 -27.834129
100097 16836 53.182941 -27.834234 53.182936 -27.834246
100098 16731 53.181236 -27.834245 53.181239 -27.834241
100099 16960 53.157234 -27.833448 53.157238 -27.833438
100100 16832 53.145668 -27.833641 53.145661 -27.833640
100101 16961 53.187984 -27.833972 53.187991 -27.833972
100104 16767 53.161281 -27.834202 53.161278 -27.834200
100105 16729 53.190166 -27.834175 53.190170 -27.834173
100108 16782 53.156063 -27.834158 53.156048 -27.834148
100109 16770 53.165165 -27.834167 53.165162 -27.834184
100111 16768 53.170486 -27.834158 53.170528 -27.834168
100112 16850 53.146148 -27.834038 53.146148 -27.834041
100114 16755 53.177742 -27.834093 53.177747 -27.834106
100115 17001 53.159050 -27.832615 53.159062 -27.832603
100116 16947 53.209133 -27.833620 53.209136 -27.833618
100118 16904 53.205356 -27.833813 53.205366 -27.833814
100119 16775 53.120743 -27.833956 53.120748 -27.833956
100120 16829 53.189560 -27.833944 53.189555 -27.833935
100121 16810 53.134514 -27.833931 53.134519 -27.833928
100122 16824 53.209106 -27.833900 53.209108 -27.833899
100123 16889 53.169731 -27.833505 53.169732 -27.833500
100124 16837 53.165611 -27.833845 53.165622 -27.833847
100125 16907 53.165012 -27.833874 53.165017 -27.833860
100126 17051 53.210487 -27.833347 53.210494 -27.833348
100128 16833 53.211143 -27.833788 53.211146 -27.833787
100129 17073 53.170204 -27.833372 53.170202 -27.833370
100131 16869 53.211918 -27.833748 53.211924 -27.833752
100132 16873 53.190002 -27.833759 53.190001 -27.833757
100133 17069 53.132519 -27.832914 53.132521 -27.832912
100135 17029 53.143528 -27.833330 53.143529 -27.833329
100136 17124 53.113212 -27.832731 53.113212 -27.832732
100137 17011 53.210693 -27.833349 53.210693 -27.833345
100138 16897 53.189903 -27.833536 53.189904 -27.833537
100146 17021 53.168018 -27.832506 53.168020 -27.832505
100148 17142 53.180275 -27.833113 53.180273 -27.833111
100149 16902 53.133331 -27.833500 53.133332 -27.833499
100150 17049 53.156296 -27.833286 53.156293 -27.833287
100151 16799 53.115204 -27.832449 53.115205 -27.832451
100154 17119 53.146179 -27.832901 53.146183 -27.832901
100155 17034 53.131096 -27.829248 53.131084 -27.829226
100156 17130 53.145496 -27.833116 53.145512 -27.833126
100157 16958 53.148094 -27.833408 53.148086 -27.833406
