# The 3DHST ID is specific to its north or south catalog. Currently using 3DHST v4.1.5 catalog.
# figs_id threed_south_idv41 figs_ra figs_dec threed_ra threed_dec
200277 2418 53.238190 -27.909786 53.238159 -27.909779
200283 2434 53.252087 -27.909845 53.252068 -27.909840
200288 2450 53.249542 -27.909668 53.249531 -27.909664
200296 2499 53.247120 -27.909290 53.247108 -27.909275
200298 2513 53.231384 -27.908857 53.231365 -27.908838
200300 2469 53.252297 -27.907999 53.252270 -27.907993
200304 2540 53.240425 -27.908871 53.240406 -27.908871
200305 2536 53.237354 -27.908920 53.237328 -27.908916
200306 2541 53.230782 -27.908811 53.230793 -27.908770
200308 2557 53.252293 -27.908716 53.252270 -27.908714
200311 2596 53.247723 -27.908358 53.247700 -27.908356
200312 2584 53.242725 -27.908096 53.242706 -27.908096
200318 2626 53.253048 -27.908020 53.253040 -27.908037
200321 2631 53.245358 -27.907877 53.245342 -27.907871
200329 2661 53.244465 -27.907574 53.244434 -27.907562
200330 2669 53.242149 -27.907631 53.242146 -27.907631
200331 2671 53.243672 -27.907619 53.243687 -27.907595
200332 2674 53.239975 -27.907593 53.239944 -27.907585
200333 2676 53.245503 -27.907572 53.245487 -27.907574
200339 2700 53.239140 -27.907324 53.239117 -27.907324
200340 2705 53.232845 -27.907299 53.232834 -27.907284
200352 2760 53.247845 -27.906654 53.247826 -27.906649
200354 2762 53.245323 -27.906555 53.245312 -27.906561
200356 2771 53.248024 -27.906492 53.248009 -27.906481
200358 2779 53.236778 -27.906521 53.236748 -27.906500
200363 2758 53.246494 -27.905609 53.246475 -27.905611
200366 2787 53.235764 -27.906326 53.235741 -27.906321
200368 2795 53.253216 -27.906353 53.253204 -27.906361
200375 2799 53.234100 -27.906124 53.234066 -27.906136
200378 2829 53.234688 -27.906086 53.234661 -27.906075
200381 2842 53.236500 -27.905964 53.236492 -27.905964
200386 2495 53.227909 -27.900381 53.227860 -27.900333
200387 2837 53.236820 -27.905619 53.236797 -27.905619
200389 2883 53.253853 -27.905628 53.253826 -27.905622
200390 2876 53.242966 -27.905125 53.242947 -27.905115
200392 2887 53.236057 -27.905405 53.236031 -27.905399
200396 9356 53.267105 -27.865118 53.267105 -27.865116
200442 16992 53.271416 -27.833017 53.271420 -27.833017
200444 16696 53.268692 -27.833351 53.268692 -27.833349
200447 16887 53.271355 -27.833391 53.271358 -27.833397
200453 16831 53.268185 -27.833735 53.268192 -27.833738
200455 16863 53.269508 -27.833820 53.269512 -27.833824
200457 16649 53.265553 -27.834070 53.265541 -27.834063
200458 16874 53.272884 -27.834028 53.272888 -27.834034
200459 16793 53.273316 -27.833941 53.273312 -27.833944
200460 16791 53.271626 -27.834009 53.271622 -27.834011
200461 16339 53.271313 -27.834190 53.271317 -27.834194
200462 16757 53.272053 -27.834074 53.272049 -27.834072
200466 16687 53.275108 -27.834454 53.275101 -27.834459
200468 16744 53.267285 -27.834806 53.267296 -27.834808
200469 16678 53.267388 -27.835079 53.267391 -27.835079
200470 16595 53.270729 -27.834707 53.270733 -27.834709
200471 16586 53.271843 -27.834784 53.271851 -27.834787
200475 16583 53.273911 -27.835051 53.273914 -27.835051
200476 16607 53.268776 -27.835049 53.268772 -27.835043
200482 16669 53.266670 -27.835354 53.266678 -27.835341
200485 16536 53.268337 -27.835394 53.268364 -27.835400
200486 16469 53.272427 -27.835402 53.272430 -27.835407
200488 16430 53.273796 -27.835443 53.273800 -27.835451
200489 16444 53.275494 -27.835451 53.275497 -27.835453
200493 16413 53.265202 -27.835644 53.265209 -27.835649
200494 16105 53.279488 -27.836416 53.279465 -27.836430
200497 16406 53.276543 -27.835878 53.276546 -27.835878
200498 16383 53.276920 -27.836006 53.276928 -27.835999
200499 16358 53.278427 -27.836084 53.278408 -27.836086
200500 16418 53.267727 -27.836227 53.267731 -27.836233
200503 16239 53.270462 -27.836365 53.270470 -27.836382
200505 16215 53.265442 -27.836496 53.265450 -27.836498
200508 16332 53.274128 -27.836632 53.274136 -27.836643
200509 16090 53.274586 -27.836863 53.274593 -27.836863
200510 16243 53.275429 -27.836594 53.275436 -27.836594
200513 16205 53.267780 -27.836689 53.267784 -27.836691
200514 16195 53.275890 -27.836897 53.275890 -27.836899
200515 16145 53.268093 -27.836729 53.268093 -27.836733
200518 16137 53.265587 -27.836931 53.265594 -27.836933
200522 16045 53.269997 -27.837095 53.269993 -27.837097
200523 16070 53.273293 -27.837143 53.273296 -27.837145
200525 16149 53.277454 -27.837294 53.277454 -27.837282
200526 16012 53.270851 -27.837275 53.270859 -27.837276
200527 16018 53.265045 -27.837294 53.265049 -27.837297
200529 16005 53.265831 -27.837473 53.265835 -27.837479
200533 16155 53.273029 -27.837694 53.273029 -27.837694
200534 16038 53.276707 -27.837713 53.276711 -27.837717
200535 15952 53.272301 -27.837717 53.272297 -27.837719
200537 15893 53.279369 -27.837717 53.279381 -27.837721
200540 15997 53.268540 -27.837900 53.268547 -27.837906
200542 15843 53.282410 -27.837955 53.282391 -27.837996
200543 15870 53.279850 -27.837915 53.279842 -27.837917
200544 15877 53.278214 -27.838011 53.278221 -27.838018
200545 15832 53.274460 -27.838057 53.274460 -27.838057
200546 15825 53.281593 -27.838139 53.281555 -27.838144
200549 15824 53.272225 -27.838297 53.272224 -27.838306
200550 15940 53.271484 -27.838604 53.271481 -27.838617
200552 15752 53.279846 -27.838446 53.279842 -27.838448
200554 15748 53.272251 -27.838718 53.272255 -27.838720
200555 15717 53.276699 -27.838547 53.276707 -27.838551
200556 15681 53.275200 -27.838640 53.275204 -27.838642
200557 15760 53.278412 -27.838644 53.278412 -27.838650
200559 15670 53.276959 -27.838747 53.276962 -27.838741
200560 15772 53.283142 -27.838915 53.283115 -27.838919
200561 15725 53.266796 -27.838840 53.266800 -27.838833
200562 15645 53.263741 -27.838846 53.263744 -27.838844
200563 15727 53.269756 -27.839220 53.269783 -27.839224
200564 15591 53.280254 -27.839237 53.280254 -27.839237
200565 15661 53.274811 -27.839500 53.274815 -27.839504
200566 15633 53.274231 -27.839466 53.274239 -27.839466
200567 15671 53.277527 -27.839355 53.277550 -27.839361
200568 14724 53.269932 -27.842699 53.269939 -27.842703
200569 14849 53.282730 -27.843050 53.282738 -27.843048
200572 14636 53.291115 -27.843025 53.291092 -27.843033
200573 14689 53.286747 -27.843279 53.286751 -27.843283
200575 14677 53.282433 -27.843513 53.282436 -27.843515
200576 14556 53.271675 -27.843685 53.271683 -27.843685
200577 14345 53.273182 -27.844625 53.273186 -27.844622
200578 14319 53.280708 -27.844578 53.280708 -27.844576
200585 14332 53.283413 -27.844963 53.283421 -27.844973
200586 14496 53.271618 -27.845066 53.271622 -27.845068
200587 14201 53.271866 -27.844976 53.271870 -27.844980
200588 14328 53.259918 -27.845081 53.259918 -27.845081
200590 14194 53.282639 -27.845037 53.282642 -27.845039
200593 14182 53.267552 -27.845257 53.267548 -27.845257
200594 14264 53.276806 -27.845318 53.276810 -27.845314
200596 14419 53.274181 -27.845650 53.274193 -27.845652
200598 14084 53.279884 -27.845566 53.279884 -27.845568
200599 14341 53.279099 -27.845737 53.279102 -27.845739
200601 14252 53.283089 -27.845861 53.283093 -27.845863
200603 13998 53.274239 -27.845930 53.274242 -27.845928
200604 13952 53.282116 -27.846083 53.282124 -27.846085
200608 13835 53.295368 -27.846764 53.295322 -27.846787
200611 13838 53.265690 -27.846807 53.265694 -27.846802
200612 14041 53.274849 -27.846960 53.274845 -27.846966
200614 14150 53.262146 -27.847149 53.262157 -27.847143
200620 13822 53.272915 -27.847765 53.272919 -27.847767
200621 13904 53.273388 -27.847809 53.273392 -27.847811
200622 13684 53.276440 -27.847517 53.276443 -27.847525
200623 13660 53.257164 -27.847532 53.257175 -27.847532
200624 13807 53.292908 -27.847605 53.292904 -27.847610
200625 13624 53.295441 -27.847504 53.295444 -27.847506
200626 14365 53.259346 -27.844444 53.259346 -27.844440
200627 13635 53.292427 -27.848282 53.292423 -27.848286
200628 13488 53.279366 -27.848007 53.279366 -27.848009
200631 13444 53.263107 -27.848751 53.263107 -27.848755
200632 13328 53.300598 -27.848827 53.300560 -27.848833
200633 13627 53.279728 -27.848946 53.279720 -27.848944
200634 13530 53.278668 -27.848877 53.278671 -27.848881
200635 13464 53.293549 -27.848845 53.293549 -27.848848
200636 13402 53.279354 -27.848747 53.279358 -27.848753
200637 13305 53.283436 -27.848759 53.283443 -27.848759
200638 13576 53.262753 -27.849089 53.262760 -27.849091
200639 13411 53.268105 -27.848932 53.268120 -27.848921
200640 13434 53.258465 -27.849283 53.258469 -27.849285
200641 13303 53.265362 -27.848911 53.265366 -27.848907
200642 13414 53.297802 -27.849079 53.297798 -27.849089
200643 13334 53.254242 -27.849075 53.254234 -27.849068
200644 13249 53.256622 -27.849033 53.256626 -27.849037
200648 13395 53.269486 -27.849161 53.269485 -27.849167
200651 13240 53.294640 -27.849133 53.294643 -27.849131
200652 13421 53.282402 -27.849331 53.282402 -27.849335
200653 13199 53.285484 -27.849165 53.285488 -27.849165
200654 13194 53.255341 -27.849253 53.255337 -27.849262
200655 13178 53.274704 -27.849207 53.274712 -27.849203
200656 13473 53.299103 -27.849428 53.299095 -27.849440
200657 13507 53.299030 -27.849846 53.299030 -27.849852
200658 13204 53.275971 -27.849411 53.275974 -27.849413
200660 13227 53.287739 -27.849483 53.287739 -27.849487
200661 13211 53.268139 -27.849550 53.268147 -27.849558
200662 13158 53.271240 -27.849554 53.271225 -27.849548
200663 13100 53.295223 -27.849504 53.295227 -27.849501
200664 13101 53.257164 -27.849550 53.257172 -27.849548
200666 13088 53.255764 -27.849663 53.255764 -27.849659
200667 13151 53.297726 -27.849676 53.297726 -27.849682
200668 13082 53.299645 -27.849682 53.299656 -27.849686
200669 13275 53.282063 -27.849850 53.282078 -27.849852
200670 13206 53.289894 -27.849773 53.289890 -27.849762
200672 13018 53.287148 -27.850225 53.287148 -27.850227
200674 12789 53.267510 -27.850788 53.267509 -27.850782
200675 13177 53.263691 -27.850563 53.263691 -27.850563
200676 13016 53.289402 -27.850401 53.289410 -27.850403
200678 12984 53.275570 -27.850533 53.275543 -27.850483
200679 13189 53.288635 -27.850754 53.288635 -27.850754
200680 12948 53.288681 -27.851250 53.288685 -27.851252
200681 13234 53.291409 -27.850670 53.291412 -27.850676
200682 13056 53.290623 -27.850670 53.290623 -27.850674
200683 12852 53.298538 -27.850529 53.298534 -27.850529
200684 12866 53.273258 -27.850611 53.273262 -27.850615
200685 12937 53.287743 -27.850138 53.287750 -27.850142
200686 12849 53.286156 -27.850580 53.286144 -27.850586
200687 12879 53.280068 -27.850626 53.280071 -27.850628
200688 12979 53.282189 -27.850834 53.282192 -27.850836
200689 12809 53.293995 -27.850798 53.293999 -27.850800
200690 12786 53.259167 -27.850811 53.259174 -27.850813
200691 12872 53.261421 -27.850878 53.261429 -27.850880
200692 12782 53.277733 -27.850832 53.277740 -27.850843
200693 12850 53.259022 -27.850925 53.259029 -27.850924
200694 12770 53.280281 -27.850906 53.280285 -27.850912
200695 12868 53.299488 -27.851002 53.299492 -27.851004
200696 12731 53.299633 -27.850973 53.299625 -27.850985
200699 12705 53.283402 -27.851194 53.283401 -27.851192
200700 12696 53.301823 -27.851273 53.301796 -27.851248
200701 12679 53.296620 -27.851480 53.296623 -27.851475
200702 12627 53.270981 -27.851532 53.270988 -27.851530
200704 12665 53.262509 -27.851562 53.262516 -27.851555
200705 12622 53.280487 -27.851559 53.280491 -27.851562
200706 12664 53.280529 -27.851728 53.280525 -27.851723
200707 12832 53.294640 -27.851706 53.294643 -27.851709
200708 12619 53.283302 -27.851765 53.283314 -27.851765
200709 12987 53.288506 -27.851877 53.288509 -27.851879
200711 12609 53.284859 -27.851824 53.284863 -27.851826
200712 12697 53.268635 -27.852015 53.268642 -27.852011
200713 12672 53.298248 -27.851858 53.298248 -27.851856
200714 12546 53.298546 -27.851900 53.298538 -27.851898
200717 12532 53.295204 -27.851955 53.295200 -27.851961
200718 12501 53.258835 -27.851963 53.258842 -27.851967
200721 12451 53.281376 -27.852297 53.281380 -27.852291
200722 12562 53.294556 -27.852388 53.294559 -27.852386
200723 12415 53.279877 -27.852291 53.279877 -27.852297
200724 12792 53.284317 -27.852654 53.284313 -27.852657
200725 12445 53.271576 -27.852453 53.271580 -27.852455
200726 12457 53.236683 -27.852499 53.236660 -27.852503
200727 12623 53.283268 -27.852749 53.283272 -27.852751
200728 12408 53.280190 -27.852503 53.280190 -27.852505
200729 12364 53.291474 -27.852419 53.291470 -27.852415
200730 12400 53.254997 -27.852505 53.255009 -27.852501
200731 12432 53.300274 -27.852539 53.300240 -27.852535
200735 12382 53.262783 -27.852583 53.262783 -27.852592
200736 12689 53.262329 -27.852764 53.262329 -27.852764
200740 12295 53.296429 -27.852737 53.296425 -27.852737
200742 12473 53.280037 -27.852886 53.280041 -27.852888
200743 12347 53.268292 -27.852901 53.268295 -27.852907
200746 12299 53.253071 -27.853153 53.253101 -27.853140
200747 12237 53.256455 -27.853128 53.256458 -27.853127
200748 12253 53.295586 -27.853127 53.295586 -27.853125
200750 12241 53.274735 -27.853174 53.274735 -27.853176
200751 12298 53.276341 -27.853245 53.276367 -27.853228
200752 12318 53.284989 -27.853317 53.285000 -27.853317
200753 12209 53.259899 -27.853271 53.259907 -27.853273
200755 12184 53.280918 -27.853237 53.280922 -27.853237
200757 12163 53.300156 -27.853273 53.300106 -27.853266
200758 12215 53.296299 -27.853298 53.296307 -27.853310
200761 12195 53.294998 -27.853460 53.294998 -27.853460
200762 12146 53.258438 -27.853563 53.258446 -27.853561
200764 12094 53.264897 -27.853550 53.264900 -27.853552
200766 9961 53.271370 -27.858353 53.271374 -27.858337
200767 12072 53.296719 -27.853830 53.296719 -27.853834
200768 12082 53.254864 -27.853853 53.254875 -27.853853
200769 12125 53.265129 -27.853901 53.265129 -27.853901
200770 12115 53.287006 -27.853907 53.287014 -27.853909
200771 12014 53.290051 -27.853865 53.290066 -27.853868
200773 11975 53.294434 -27.854053 53.294437 -27.854055
200774 12042 53.254402 -27.854147 53.254410 -27.854153
200775 12112 53.255509 -27.854181 53.255512 -27.854183
200776 12124 53.254753 -27.854204 53.254757 -27.854206
200777 11999 53.283703 -27.854183 53.283688 -27.854189
200778 12259 53.278416 -27.854362 53.278416 -27.854362
200779 11959 53.262776 -27.854208 53.262783 -27.854206
200780 11978 53.267899 -27.854250 53.267899 -27.854256
200781 11985 53.284989 -27.854229 53.285000 -27.854227
200782 12116 53.281559 -27.854385 53.281563 -27.854387
200784 11961 53.274346 -27.854286 53.274342 -27.854288
200786 11963 53.249836 -27.854322 53.249825 -27.854338
200790 11942 53.254601 -27.854443 53.254597 -27.854448
200792 11909 53.267891 -27.854435 53.267895 -27.854443
200794 11912 53.251175 -27.854458 53.251183 -27.854462
200796 12268 53.275997 -27.854677 53.275993 -27.854668
200797 11873 53.267490 -27.854540 53.267498 -27.854538
200798 11990 53.255638 -27.854612 53.255638 -27.854610
200799 11867 53.261658 -27.854549 53.261665 -27.854553
200803 11895 53.296482 -27.854544 53.296474 -27.854536
200805 11914 53.263115 -27.854708 53.263119 -27.854710
200806 11878 53.289898 -27.854614 53.289906 -27.854626
200808 11822 53.262035 -27.854723 53.262035 -27.854725
200809 11922 53.285549 -27.854712 53.285553 -27.854698
200811 11931 53.273640 -27.854843 53.273643 -27.854845
200812 11823 53.290852 -27.854757 53.290855 -27.854765
200816 11856 53.278847 -27.854866 53.278839 -27.854866
200817 11868 53.281136 -27.854963 53.281136 -27.854969
200818 11826 53.252808 -27.854984 53.252811 -27.854982
200819 11849 53.293434 -27.854939 53.293434 -27.854944
200821 11740 53.254116 -27.855032 53.254120 -27.855032
200822 11802 53.298142 -27.855040 53.298141 -27.855022
200825 11722 53.296414 -27.855068 53.296421 -27.855070
200827 11744 53.289314 -27.855124 53.289310 -27.855129
200828 11698 53.237011 -27.855167 53.236969 -27.855173
200831 11682 53.290188 -27.855190 53.290188 -27.855192
200833 11738 53.293495 -27.855211 53.293495 -27.855213
200834 11731 53.234356 -27.855301 53.234333 -27.855312
200835 12128 53.261322 -27.853710 53.261330 -27.853710
200836 11779 53.263950 -27.855368 53.263962 -27.855368
200837 9960 53.268570 -27.856258 53.268574 -27.856291
200839 10959 53.259884 -27.856182 53.259876 -27.856178
200840 11655 53.294762 -27.855288 53.294765 -27.855286
200841 11661 53.263283 -27.855349 53.263287 -27.855349
200843 11892 53.297703 -27.855408 53.297699 -27.855404
200844 11761 53.251793 -27.855448 53.251801 -27.855448
200845 11782 53.258064 -27.855408 53.258080 -27.855412
200846 11784 53.264691 -27.855431 53.264694 -27.855434
200847 11656 53.281231 -27.855345 53.281227 -27.855350
200851 11657 53.265633 -27.855469 53.265636 -27.855471
200852 12226 53.254963 -27.853712 53.254967 -27.853722
200854 11743 53.250088 -27.855604 53.250095 -27.855598
