# Catalog for all galaxies that matched between 3DHST and PEARS in GOODS-N. 
# pearsid field redshift zphot_source ra dec dn4000 dn4000_err d4000 d4000_err
27963 GOODS-N 1.2035 3DHST 189.157889 62.166434 -1.2202 2.4780 -2.0289 1.9179
28029 GOODS-N 0.7535 3DHST 189.168829 62.167595 1.1291 0.2230 1.4200 0.1305
28271 GOODS-N 0.7226 3DHST 189.162696 62.168415 1.3873 0.0888 1.2128 0.0419
28405 GOODS-N 0.6607 3DHST 189.195884 62.166573 0.9449 0.4505 1.0844 0.2411
28638 GOODS-N 0.9653 3DHST 189.187245 62.169848 1.1852 0.3321 1.5444 0.2170
29565 GOODS-N 0.7562 3DHST 189.165531 62.168693 111.5660 7461.0969 2.3651 5.6558
30256 GOODS-N 0.9906 3DHST 189.185923 62.169739 1.0088 0.2267 1.1111 0.1275
30711 GOODS-N 1.1956 3DHST 189.178398 62.170575 0.9221 1.0738 1.1186 0.6596
30739 GOODS-N 0.8815 3DHST 189.203727 62.170345 1.1164 1.0038 1.1082 0.5615
31343 GOODS-N 0.9076 3DHST 189.159576 62.171493 -0.0519 0.0245 -0.0772 0.0235
31454 GOODS-N 0.6635 3DHST 189.159108 62.171538 1.0172 0.4072 1.2494 0.2376
31670 GOODS-N 0.9423 3DHST 189.205040 62.172098 1.1541 0.3341 1.2648 0.1848
32277 GOODS-N 0.7909 3DHST 189.171639 62.172880 1.5088 0.6367 1.1357 0.2158
32279 GOODS-N 0.8225 3DHST 189.180581 62.172198 1.3206 1.1926 1.3457 0.4748
32497 GOODS-N 0.9536 3DHST 189.166581 62.174797 0.9948 0.0809 1.4948 0.0536
33414 GOODS-N 0.9686 3DHST 189.154065 62.175396 1.4570 0.6102 2.7292 0.5908
33416 GOODS-N 0.9386 3DHST 189.205399 62.174242 1.3798 0.3923 1.2101 0.1795
33853 GOODS-N 0.9066 3DHST 189.153230 62.174653 1.5309 1.2029 2.0095 0.8124
33944 GOODS-N 0.6980 3DHST 189.161050 62.175999 1.2719 0.3249 1.3294 0.1442
35156 GOODS-N 1.2015 3DHST 189.199465 62.179304 1.1763 0.1239 1.3544 0.0811
