# Catalog for all galaxies that matched between CANDELS and PEARS in GOODS-S.
# If a galaxy did not match with CANDELS then a matching in 3DHST was attempted.
# the 'zphot_source' column indicates the source of the photometric redshift.
# pearsid field redshift zphot_source ra dec dn4000 dn4000_err d4000 d4000_err
8051 GOODS-S 1.0882 3DHST 53.156380 -27.931625 0.9813 0.1491 1.1361 0.0932
8929 GOODS-S 0.9000 CANDELS 53.162728 -27.931829 0.9389 0.6153 0.8659 0.2532
8941 GOODS-S 0.9330 CANDELS 53.178323 -27.931511 0.8630 0.4455 1.3197 0.3078
9020 GOODS-S 1.2280 CANDELS 53.177312 -27.931279 1.3719 1.3239 1.4142 0.7453
9343 GOODS-S 0.6760 CANDELS 53.172900 -27.928908 0.9535 0.1341 1.0053 0.0603
9378 GOODS-S 0.6740 CANDELS 53.179339 -27.923595 0.9348 0.0738 1.2165 0.0496
9382 GOODS-S 0.8970 CANDELS 53.144008 -27.928778 1.2757 0.1463 1.5056 0.0883
10075 GOODS-S 0.7660 CANDELS 53.166284 -27.929969 1.2702 0.6705 1.4815 0.3960
10429 GOODS-S 0.6220 CANDELS 53.160986 -27.929124 1.2399 0.5396 1.1576 0.2632
10465 GOODS-S 0.8930 CANDELS 53.148590 -27.929019 1.1173 1.0678 1.2863 0.6292
10504 GOODS-S 1.1853 3DHST 53.152568 -27.928997 -2.2869 73.1841 -3.0288 5.9415
10593 GOODS-S 0.8720 CANDELS 53.148184 -27.928863 1.0186 0.5738 1.0657 0.3788
11099 GOODS-S 0.6640 CANDELS 53.178614 -27.928130 1.4000 1.7794 2.2015 1.4738
11488 GOODS-S 0.7790 CANDELS 53.139012 -27.927040 0.8861 0.3885 1.3248 0.3744
11507 GOODS-S 0.6390 CANDELS 53.182752 -27.925014 1.0735 0.2115 1.2254 0.1194
11532 GOODS-S 0.7532 3DHST 53.129945 -27.927424 1.2385 1.2222 0.8105 0.3396
12062 GOODS-S 1.0390 CANDELS 53.158840 -27.925242 1.0435 0.1040 1.1714 0.0615
12230 GOODS-S 1.1590 CANDELS 53.172619 -27.926144 0.8142 0.5092 0.9308 0.3201
12350 GOODS-S 0.6590 CANDELS 53.151704 -27.925680 0.6757 0.5490 1.0238 0.3383
12378 GOODS-S 0.6380 CANDELS 53.137956 -27.923834 1.3145 0.1023 1.6571 0.0635
12457 GOODS-S 0.6710 CANDELS 53.170518 -27.924233 0.9023 0.2217 1.2200 0.1381
