# pearsid  field  ra  dec  zspec  zspec_source  zspec_qual  netsig  imag
54847 GOODS-N 189.110895 62.214474 0.5565 Barger_UV Z 385.07 20.80
75943 GOODS-N 189.111687 62.249965 0.7938 Barger_ACS Z 110.86 23.05
47085 GOODS-N 189.112308 62.199067 -99.0000 -99.0 - 61.76 23.61
75762 GOODS-N 189.112734 62.252615 0.7938 Barger_ACS Z 643.12 21.11
55923 GOODS-N 189.113842 62.216061 1.2230 Barger_K Z 328.03 22.76
47914 GOODS-N 189.114986 62.199560 -99.0000 -99.0 - 153.11 23.91
79970 GOODS-N 189.115024 62.256683 0.2071 Wirth_2004 3 140.79 23.20
53804 GOODS-N 189.115846 62.211311 -99.0000 -99.0 - 688.91 21.34
70857 GOODS-N 189.116152 62.246957 0.6802 Barger_K Z 547.56 21.33
71114 GOODS-N 189.117562 62.242468 0.2428 Wirth_2004 3 689.22 21.26
51337 GOODS-N 189.117680 62.210452 0.5176 Barger_ACS Z 695.62 21.50
53606 GOODS-N 189.119958 62.210945 0.8795 Barger_K Z 135.88 23.95
44172 GOODS-N 189.121362 62.198107 0.5300 Wirth_2015 4 172.47 22.71
87061 GOODS-N 189.121932 62.271995 0.9582 3D_HST A 366.04 22.40
86216 GOODS-N 189.122031 62.270486 0.8313 3D_HST A 872.58 21.31
83647 GOODS-N 189.122461 62.262432 -99.0000 -99.0 - 114.16 23.81
78423 GOODS-N 189.122663 62.253607 3.6538 MOSDEF 4 236.68 23.80
84364 GOODS-N 189.123046 62.264666 -99.0000 -99.0 - 168.45 23.60
70229 GOODS-N 189.123380 62.239076 -99.0000 -99.0 - 471.75 22.43
47115 GOODS-N 189.123579 62.200005 -99.0000 -99.0 - 163.08 23.68
46922 GOODS-N 189.124185 62.198184 -99.0000 -99.0 - 151.04 23.20
69661 GOODS-N 189.124501 62.239331 0.5195 Barger_24m Z 189.74 22.76
73058 GOODS-N 189.124581 62.244721 0.7610 Wirth_2004 4 259.31 22.52
84394 GOODS-N 189.124955 62.264080 -99.0000 -99.0 - 232.14 23.37
71040 GOODS-N 189.125418 62.241115 1.5247 Barger_ACS Z 120.38 23.26
84208 GOODS-N 189.126637 62.266299 0.2318 Barger_UV Z 275.25 22.64
47466 GOODS-N 189.126689 62.202386 0.4570 Barger_UV Z 862.41 20.94
89824 GOODS-N 189.127325 62.273979 2.4229 3D_HST A 120.52 23.80
81075 GOODS-N 189.127649 62.259384 -99.0000 -99.0 - 327.06 22.32
75413 GOODS-N 189.128494 62.248214 0.8641 Barger_K Z 161.15 23.34
71474 GOODS-N 189.128592 62.242648 0.4384 Barger_UV Z 545.98 21.39
79055 GOODS-N 189.129138 62.257726 -99.0000 -99.0 - 1647.44 20.65
89453 GOODS-N 189.129508 62.273472 0.9319 3D_HST A 97.01 23.69
53264 GOODS-N 189.129879 62.210096 0.4569 Barger_ACS Z 625.39 21.70
49740 GOODS-N 189.131017 62.203153 -99.0000 -99.0 - 102.23 23.70
44504 GOODS-N 189.131156 62.193606 -99.0000 -99.0 - 117.15 23.55
72203 GOODS-N 189.131265 62.242029 -99.0000 -99.0 - 71.40 23.78
84259 GOODS-N 189.131874 62.267803 0.7837 Barger_K Z 663.46 21.40
55626 GOODS-N 189.132074 62.213682 -99.0000 -99.0 - 99.44 23.79
53110 GOODS-N 189.132813 62.211265 0.5281 Wirth_2004 4 554.65 21.68
72938 GOODS-N 189.133416 62.243512 -99.0000 -99.0 - 112.38 23.99
45063 GOODS-N 189.133521 62.194457 1.5267 Barger_K Z 150.29 23.49
77314 GOODS-N 189.133708 62.251715 -99.0000 -99.0 - 113.04 23.87
51648 GOODS-N 189.134688 62.207838 -99.0000 -99.0 - 111.50 23.74
88580 GOODS-N 189.135162 62.274397 0.8589 3D_HST A 340.44 21.93
77555 GOODS-N 189.135301 62.253679 0.6827 Wirth_2004 4 352.75 21.92
34967 GOODS-N 189.135307 62.184825 -99.0000 -99.0 - 267.25 19.88
40269 GOODS-N 189.135622 62.187082 -99.0000 -99.0 - 188.63 22.52
90204 GOODS-N 189.136041 62.274850 1.4880 3D_HST A 123.43 23.83
54091 GOODS-N 189.136172 62.210922 0.4581 Wirth_2004 4 196.83 23.06
53042 GOODS-N 189.136495 62.212208 -99.0000 -99.0 - 587.18 21.42
82177 GOODS-N 189.137595 62.260438 0.6816 Wirth_2004 4 240.33 23.13
87000 GOODS-N 189.137595 62.271215 0.8526 Barger_K Z 284.67 22.25
37133 GOODS-N 189.137837 62.181924 -99.0000 -99.0 - 23.83 23.85
72730 GOODS-N 189.137972 62.243688 -99.0000 -99.0 - 83.29 23.85
76789 GOODS-N 189.138074 62.253799 0.5196 Wirth_2004 4 348.54 22.29
36417 GOODS-N 189.138114 62.192709 0.0790 Barger_UV Z 716.99 20.61
53362 GOODS-N 189.138379 62.209994 -99.0000 -99.0 - 150.60 23.34
68957 GOODS-N 189.138533 62.236441 1.3448 Barger_K Z 131.31 23.64
39438 GOODS-N 189.138653 62.185290 -99.0000 -99.0 - 104.00 23.46
77258 GOODS-N 189.139195 62.251302 2.4298 MOSDEF 4 117.23 23.98
47036 GOODS-N 189.139838 62.198057 -99.0000 -99.0 - 73.70 23.98
56261 GOODS-N 189.139894 62.214515 -99.0000 -99.0 - 249.87 23.40
58703 GOODS-N 189.139962 62.222202 0.8446 Wirth_2004 3 494.69 21.53
81202 GOODS-N 189.140287 62.259177 2.4875 MOSDEF 4 130.78 23.89
47144 GOODS-N 189.140600 62.199025 -99.0000 -99.0 - 288.54 21.93
69994 GOODS-N 189.140646 62.241945 0.5200 Barger_24m Z 700.46 21.09
52829 GOODS-N 189.140780 62.209556 1.1434 Barger_K Z 127.80 23.63
50214 GOODS-N 189.141333 62.204732 1.0160 Barger_ACS Z 476.25 22.80
36708 GOODS-N 189.141708 62.181841 -99.0000 -99.0 - 356.96 21.62
35853 GOODS-N 189.142124 62.179438 -99.0000 -99.0 - 129.19 23.23
65274 GOODS-N 189.142299 62.232738 -99.0000 -99.0 - 3428.99 19.45
56432 GOODS-N 189.142324 62.218281 -99.0000 -99.0 - 76.95 23.68
70253 GOODS-N 189.142568 62.242482 -99.0000 -99.0 - 1071.81 20.55
74490 GOODS-N 189.142807 62.246773 0.5072 Barger_K Z 228.09 22.92
59024 GOODS-N 189.143125 62.220131 -99.0000 -99.0 - 179.28 22.85
44317 GOODS-N 189.143616 62.203651 0.4573 Wirth_2004 4 2428.94 19.05
52440 GOODS-N 189.143881 62.211395 -99.0000 -99.0 - 213.30 22.64
89615 GOODS-N 189.143892 62.274070 0.8450 3D_HST A 99.82 23.73
66333 GOODS-N 189.144468 62.231617 -99.0000 -99.0 - 229.19 23.39
89094 GOODS-N 189.145277 62.274522 0.8487 3D_HST A 260.83 22.40
83106 GOODS-N 189.145509 62.263566 0.8540 Barger_24m Z 267.69 22.18
48176 GOODS-N 189.145689 62.206718 0.5620 Barger_K Z 1859.54 19.70
53404 GOODS-N 189.146297 62.209081 -99.0000 -99.0 - 230.19 23.38
83539 GOODS-N 189.147067 62.263182 0.3363 Barger_UV Z 302.25 22.81
38514 GOODS-N 189.147119 62.186057 -99.0000 -99.0 - 1061.31 20.90
74954 GOODS-N 189.147479 62.247170 0.5567 Barger_K Z 149.75 23.44
72787 GOODS-N 189.147608 62.243757 -99.0000 -99.0 - 120.97 23.79
70471 GOODS-N 189.148277 62.240003 2.0150 Wirth_2015 4 141.31 23.25
78475 GOODS-N 189.149125 62.253905 -99.0000 -99.0 - 165.46 23.34
72646 GOODS-N 189.149535 62.243344 -99.0000 -99.0 - 68.78 23.78
71596 GOODS-N 189.150157 62.242224 -99.0000 -99.0 - 86.91 23.91
37495 GOODS-N 189.150181 62.183402 -99.0000 -99.0 - 118.26 23.73
90726 GOODS-N 189.150625 62.282418 0.2969 3D_HST A 498.07 21.05
60092 GOODS-N 189.151200 62.222202 0.6800 Wirth_2015 4 243.99 22.37
76322 GOODS-N 189.151203 62.250244 0.5599 Barger_K Z 181.22 23.15
51567 GOODS-N 189.151362 62.207867 0.4841 Wirth_2004 4 519.25 21.57
89790 GOODS-N 189.151472 62.273922 -99.0000 -99.0 - 131.01 23.59
52998 GOODS-N 189.151611 62.210383 -99.0000 -99.0 - 220.56 22.57
62118 GOODS-N 189.152115 62.228026 0.5570 Wirth_2015 4 439.80 21.65
64828 GOODS-N 189.152645 62.229665 -99.0000 -99.0 - 1046.36 21.35
40498 GOODS-N 189.152799 62.186514 -99.0000 -99.0 - 147.91 23.23
47008 GOODS-N 189.153145 62.198917 0.5560 Wirth_2015 4 509.06 21.87
85574 GOODS-N 189.153204 62.266166 -99.0000 -99.0 - 73.72 23.97
86173 GOODS-N 189.153241 62.267988 0.8430 Barger_24m Z 199.97 22.85
47065 GOODS-N 189.153336 62.203663 0.8477 Wirth_2004 4 718.63 20.56
94177 GOODS-N 189.153442 62.282258 1.0135 Barger_ACS Z 99.68 23.93
91792 GOODS-N 189.153463 62.278549 -99.0000 -99.0 - 119.38 23.67
63227 GOODS-N 189.153547 62.229405 -99.0000 -99.0 - 417.67 21.72
36211 GOODS-N 189.153582 62.193013 0.0790 Barger_K Z 4693.24 18.00
33414 GOODS-N 189.154065 62.175396 -99.0000 -99.0 - 89.50 23.43
47355 GOODS-N 189.154232 62.199884 -99.0000 -99.0 - 361.90 21.56
88020 GOODS-N 189.154438 62.270859 0.8518 Barger_ACS Z 128.18 23.38
40538 GOODS-N 189.154470 62.186614 -99.0000 -99.0 - 90.76 23.58
52680 GOODS-N 189.155607 62.214564 0.4843 Wirth_2004 3 737.72 21.11
52017 GOODS-N 189.155800 62.208237 -99.0000 -99.0 - 198.27 23.32
38612 GOODS-N 189.156602 62.184957 -99.0000 -99.0 - 71.01 23.39
74900 GOODS-N 189.156752 62.248200 -99.0000 -99.0 - 348.89 22.95
53401 GOODS-N 189.156836 62.211383 0.4588 Barger_UV Z 944.28 21.07
86203 GOODS-N 189.157273 62.268766 0.8411 Barger_ACS Z 271.28 22.32
53478 GOODS-N 189.157346 62.209771 -99.0000 -99.0 - 87.40 23.76
79351 GOODS-N 189.157435 62.256407 1.2210 Barger_UV Z 96.38 23.82
82737 GOODS-N 189.157839 62.261142 -99.0000 -99.0 - 199.63 23.43
85903 GOODS-N 189.158337 62.270899 -99.0000 -99.0 - 665.04 21.35
85297 GOODS-N 189.158928 62.265820 -99.0000 -99.0 - 133.50 23.58
37181 GOODS-N 189.159123 62.181325 -99.0000 -99.0 - 75.12 23.73
84520 GOODS-N 189.159206 62.268062 -99.0000 -99.0 - 444.25 21.75
45451 GOODS-N 189.159565 62.197454 0.8413 Barger_K Z 257.71 22.39
82317 GOODS-N 189.159942 62.261003 -99.0000 -99.0 - 343.63 22.92
50192 GOODS-N 189.160072 62.208699 -99.0000 -99.0 - 232.54 22.73
58856 GOODS-N 189.160277 62.220296 0.6350 Barger_K Z 287.12 22.41
62107 GOODS-N 189.160379 62.227500 -99.0000 -99.0 - 177.73 22.97
75653 GOODS-N 189.160583 62.248679 -99.0000 -99.0 - 166.10 23.28
77678 GOODS-N 189.160736 62.252813 0.4620 Barger_ACS Z 181.55 23.46
85419 GOODS-N 189.160839 62.266298 0.4579 Barger_UV Z 155.16 23.05
80348 GOODS-N 189.161035 62.257246 0.6325 Barger_ACS Z 189.66 23.20
63624 GOODS-N 189.161254 62.227519 0.3577 Barger_UV Z 199.29 22.96
67288 GOODS-N 189.161271 62.233544 -99.0000 -99.0 - 91.67 23.54
38375 GOODS-N 189.161385 62.183120 -99.0000 -99.0 - 91.73 23.72
70156 GOODS-N 189.161450 62.239445 -99.0000 -99.0 - 161.50 23.03
94812 GOODS-N 189.161451 62.285139 -99.0000 -99.0 - 526.09 21.66
83237 GOODS-N 189.161676 62.263124 -99.0000 -99.0 - 382.63 22.19
42430 GOODS-N 189.161688 62.189869 1.0050 Barger_ACS Z 118.87 23.45
77333 GOODS-N 189.161711 62.252923 -99.0000 -99.0 - 142.68 23.68
86357 GOODS-N 189.161729 62.268264 -99.0000 -99.0 - 317.54 22.68
43224 GOODS-N 189.161959 62.191281 -99.0000 -99.0 - 95.66 23.57
85356 GOODS-N 189.162244 62.265993 -99.0000 -99.0 - 163.41 23.12
61291 GOODS-N 189.162352 62.224831 -99.0000 -99.0 - 241.50 23.00
50670 GOODS-N 189.162428 62.205493 0.6082 Wirth_2004 4 302.61 22.23
54218 GOODS-N 189.162482 62.212529 0.4855 Wirth_2004 3 264.80 22.60
28271 GOODS-N 189.162696 62.168415 -99.0000 -99.0 - 479.15 21.51
84180 GOODS-N 189.163754 62.264506 -99.0000 -99.0 - 194.85 23.22
28891 GOODS-N 189.164031 62.168505 2.3520 Wirth_2015 4 126.82 23.59
30353 GOODS-N 189.164572 62.171152 -99.0000 -99.0 - 89.08 23.35
76916 GOODS-N 189.165439 62.257324 0.3770 Barger_K Z 1080.81 20.51
28927 GOODS-N 189.165473 62.169404 0.5083 Barger_ACS Z 540.15 21.65
79185 GOODS-N 189.165655 62.263279 -99.0000 -99.0 - 528.87 21.36
54405 GOODS-N 189.166361 62.213902 -99.0000 -99.0 - 575.11 21.32
32497 GOODS-N 189.166581 62.174797 -99.0000 -99.0 - 315.51 22.20
48189 GOODS-N 189.166745 62.202052 1.0166 Barger_K Z 326.23 22.39
76936 GOODS-N 189.166858 62.251425 -99.0000 -99.0 - 130.05 23.51
84649 GOODS-N 189.167020 62.266145 0.8460 3D_HST A 195.25 23.00
56798 GOODS-N 189.167121 62.218223 -99.0000 -99.0 - 1112.59 20.66
91148 GOODS-N 189.167207 62.276870 -99.0000 -99.0 - 134.89 23.38
45958 GOODS-N 189.167239 62.196253 -99.0000 -99.0 - 98.34 23.76
93602 GOODS-N 189.167298 62.282149 -99.0000 -99.0 - 471.82 22.18
54158 GOODS-N 189.167582 62.211958 -99.0000 -99.0 - 1049.04 21.25
62017 GOODS-N 189.167945 62.225306 -99.0000 -99.0 - 355.35 22.43
91947 GOODS-N 189.168573 62.278265 -99.0000 -99.0 - 120.13 23.95
61540 GOODS-N 189.168667 62.223074 -99.0000 -99.0 - 114.52 23.92
67746 GOODS-N 189.168823 62.234323 1.4856 Barger_ACS Z 99.88 23.97
28029 GOODS-N 189.168829 62.167595 -99.0000 -99.0 - 111.46 22.32
43991 GOODS-N 189.169432 62.193226 -99.0000 -99.0 - 85.84 23.81
90082 GOODS-N 189.169913 62.274503 0.7816 3D_HST A 189.64 23.37
