# libname formtime formtime_err tau tau_err mass_wht_age mass_wht_age_err logmstar
bc03 9.41497334797 0.753113670012 0.0316066448708 0.0534971915865 9.5870108959 0.848610138665 11.42
fsps 9.55 0.400512330659 0.125892541179 0.116608698662 9.57609914924 0.164648796827 11.42
bc03 9.72015929282 0.783299665194 2.5118 0.517677814747 9.47620577998 0.0560658675436 11.17
fsps 9.9 3.25117601954e-14 10.0 0.0 9.54746091001 0.0 11.17
bc03 9.88930170968 0.0 1.5848 0.0 9.77445229855 0.0 11.29
fsps 9.9 3.25117601954e-14 1.58489319246 0.0 9.78835558511 0.0 11.29
bc03 9.41497334797 0.102022349804 0.01 0.00792821163245 9.41026065246 0.0599652468946 11.16
fsps 9.675 0.272552568526 0.1 0.0893581540538 9.66301429673 0.189404887289 11.16
bc03 9.30850017056 0.297920120374 0.316169116139 0.0729030123588 9.25506537546 0.184763736122 11.11
fsps 9.3 0.411844045265 0.1 0.121575170122 9.26215387403 0.21414119187 11.11
bc03 9.62838891697 0.634243775335 1.0 0.211151638618 9.49413291358 0.384572699396 11.05
fsps 9.85 0.815605742378 1.99526231497 0.459737860592 9.72045440374 0.356795330355 11.05
bc03 9.84259085906 0.749063965716 1.99516932615 0.459740784791 9.70583915751 0.316707770734 11.19
fsps 9.8 0.0 1.58489319246 0.0 9.6561345808 0.0 11.19
bc03 9.54406804435 0.0778662108387 0.3981 0.0550768960128 9.48702771194 0.0410248960248 11.21
fsps 9.9 0.54907481663 1.0 0.276497695853 9.83565886671 0.587435535629 11.21
bc03 9.77815125038 0.690905592492 1.5848 0.292091731076 9.61419103255 0.118604462674 11.07
fsps 9.85 2.89761367745e-14 1.58489319246 0.0 9.72283280201 0.0 11.07
bc03 9.8603379989 2.96741632677e-14 2.5118 0.0 9.66629045493 0.0644229918427 11.09
fsps 9.9 0.54907481663 3.98107170553 0.550378576798 9.64924990773 0.328332650982 11.09
bc03 9.88218149395 0.125079148671 2.5118 0.0 9.6961130211 0.111317552136 11.1
fsps 9.9 3.25117601954e-14 2.51188643151 0.0 9.72045440374 2.15027936218e-14 11.1
bc03 9.79588000845 0.0 1.5848 0.0 9.65060551681 0.0 11.24
fsps 9.9 3.25117601954e-14 1.58489319246 0.0 9.78835558511 0.0 11.24
bc03 9.22530928173 0.0807318581182 0.2511 0.242973393707 9.14616895581 0.0111846255918 11.09
fsps 9.1 5.15276674086e-15 0.01 0.0 9.09650501106 0.0 11.09
bc03 9.84509804001 0.0 1.5848 0.0 9.71635130291 0.0966186028043 11.2
fsps 9.85 2.89761367745e-14 1.58489319246 0.0 9.72283280201 0.0 11.2
bc03 9.32221929473 0.0478916003192 0.3981 0.0 9.21702737442 0.0600312421684 11.22
fsps 9.35 9.16305900001e-15 0.398107170553 0.0 9.25246399324 0.0 11.22
bc03 9.77815125038 0.690905592492 1.5848 0.292091731076 9.61419103255 0.118604462674 11.07
fsps 9.85 2.89761367745e-14 1.58489319246 0.0 9.72283280201 0.0 11.07
bc03 9.81291333954 0.238582797468 1.5848 0.0 9.67346773949 0.244883863846 11.4
fsps 9.75 0.809175218947 1.0 0.211178603454 9.65247194315 0.689056783961 11.4
bc03 9.54406804435 0.299406923836 0.6309 0.0872384123914 9.44495347112 0.219271764543 11.47
fsps 9.45 0.0 0.398107170553 0.0 9.37609618471 9.73053384723e-15 11.47
