# libname formtime tau mass_wht_age logmstar 
bc03 9.41497334797 0.0316066448708 9.5870108959 11.42
fsps 9.55 0.125892541179 9.57609914924 11.42
bc03 9.72015929282 2.5118 9.47620577998 11.17
fsps 9.9 10.0 9.54746091001 11.17
bc03 9.88930170968 1.5848 9.77445229855 11.29
fsps 9.9 1.58489319246 9.78835558511 11.29
bc03 9.41497334797 0.01 9.41026065246 11.16
fsps 9.675 0.1 9.66301429673 11.16
bc03 9.30850017056 0.316169116139 9.25506537546 11.11
fsps 9.3 0.1 9.26215387403 11.11
bc03 9.62838891697 1.0 9.49413291358 11.05
fsps 9.85 1.99526231497 9.72045440374 11.05
bc03 9.84259085906 1.99516932615 9.70583915751 11.19
fsps 9.8 1.58489319246 9.6561345808 11.19
bc03 9.54406804435 0.3981 9.48702771194 11.21
fsps 9.9 1.0 9.83565886671 11.21
bc03 9.77815125038 1.5848 9.61419103255 11.07
fsps 9.85 1.58489319246 9.72283280201 11.07
bc03 9.8603379989 2.5118 9.66629045493 11.09
fsps 9.9 3.98107170553 9.64924990773 11.09
bc03 9.88218149395 2.5118 9.6961130211 11.1
fsps 9.9 2.51188643151 9.72045440374 11.1
bc03 9.79588000845 1.5848 9.65060551681 11.24
fsps 9.9 1.58489319246 9.78835558511 11.24
bc03 9.22530928173 0.2511 9.14616895581 11.09
fsps 9.1 0.01 9.09650501106 11.09
bc03 9.84509804001 1.5848 9.71635130291 11.2
fsps 9.85 1.58489319246 9.72283280201 11.2
bc03 9.32221929473 0.3981 9.21702737442 11.22
fsps 9.35 0.398107170553 9.25246399324 11.22
bc03 9.77815125038 1.5848 9.61419103255 11.07
fsps 9.85 1.58489319246 9.72283280201 11.07
bc03 9.81291333954 1.5848 9.67346773949 11.4
fsps 9.75 1.0 9.65247194315 11.4
bc03 9.54406804435 0.6309 9.44495347112 11.47
fsps 9.45 0.398107170553 9.37609618471 11.47
