# The 3DHST ID is specific to its north or south catalog. Currently using 3DHST v4.1.5 catalog.
# pears_id threed_north_idv415 pears_ra pears_dec threed_ra threed_dec
52138 12984 189.104018 62.206558 189.104019 62.206558
51915 12895 189.107413 62.206286 189.107407 62.206287
51284 12748 189.109780 62.205439 189.109802 62.205441
51107 12565 189.109928 62.204785 189.110001 62.204784
51138 12535 189.110687 62.204625 189.110687 62.204624
49923 12224 189.110831 62.203050 189.110840 62.203037
74236 21025 189.110859 62.245530 189.110855 62.245529
54847 14372 189.110895 62.214474 189.110916 62.214474
75943 21896 189.111687 62.249965 189.111694 62.249962
55664 14506 189.112119 62.213317 189.112152 62.213329
47085 11630 189.112308 62.199067 189.112320 62.199062
50951 12591 189.112654 62.204758 189.112625 62.204754
75762 21618 189.112734 62.252615 189.112717 62.252609
56330 14901 189.113151 62.216315 189.113144 62.216301
50165 12355 189.113349 62.203534 189.113358 62.203537
47425 11236 189.113465 62.198176 189.113464 62.198174
55923 14850 189.113842 62.216061 189.113846 62.216057
75958 21799 189.113863 62.249033 189.113846 62.249043
78908 22797 189.114702 62.253995 189.114700 62.254002
47914 11619 189.114986 62.199560 189.114990 62.199570
79970 23463 189.115024 62.256683 189.115021 62.256683
53804 13813 189.115846 62.211311 189.115845 62.211311
45924 11063 189.115866 62.196942 189.115891 62.196957
52625 13168 189.115983 62.207594 189.115967 62.207581
70857 20754 189.116152 62.246957 189.116165 62.246971
58108 15270 189.116173 62.217401 189.116180 62.217403
55542 14565 189.116339 62.213908 189.116318 62.213879
76260 21687 189.116362 62.249100 189.116379 62.249100
76744 21977 189.116396 62.250431 189.116425 62.250423
57532 15133 189.116486 62.216499 189.116486 62.216507
77197 22490 189.116593 62.252174 189.116592 62.252174
76554 22378 189.117165 62.251929 189.117157 62.251930
71114 20355 189.117562 62.242468 189.117554 62.242474
51337 13685 189.117680 62.210452 189.117691 62.210449
73139 20747 189.118496 62.243840 189.118500 62.243851
49243 12713 189.118539 62.205126 189.118500 62.205109
73181 20579 189.118652 62.243411 189.118652 62.243420
