# col1    col2          col3         col4     delta_ra                 delta_dec                col5     col6     col7     correct_dec          id        field     ra             dec           x          y          z_spec   z_peak   faper_F140W   eaper_F140W   faper_F160W   eaper_F160W   f_F606W   e_F606W    f_F814W   e_F814W   f_F125W   e_F125W    f_F140W   e_F140W    f_F160W   e_F160W    tot_cor   kron_radius   a_image   b_image   flux_radius   fwhm_image   flags   f140w_flag   star_flag   use_phot   near_star   nexp_f125w   nexp_f140w   nexp_f160w   lmass   Av    Separation             
  52138   189.1040181   62.2066471   25.01    -1.0699999961616413E-6   -1.8888890451762563E-8   0.031    70.8     70.8     62.20655821111111    12984.0   GOODS-N   189.10401917   62.20655823   13826.3    8323.16    2.222    0.0533   1.2252        0.05164       1.7236        0.037836      0.93218   0.022003   -99.0     -99.0     1.69      0.051672   1.7036    0.070893   2.3662    0.090468   1.1091    4.0           3.132     2.452     3.37          0.0          0       0            0           1          0           3            6            4            9.22    0.0   0.0017974180443687214  
  51915   189.1074134   62.2063745   25.937   6.7800000067563815E-6    -1.7688888860334373E-6   0.067    11.8     11.5     62.20628561111111    12895.0   GOODS-N   189.10740662   62.20628738   13731.64   8306.63    -1.0     1.5706   0.55256       0.053139      0.4363        0.038312      0.62294   0.03334    -99.0     -99.0     1.4398    0.076321   1.1793    0.11197    0.9193    0.12867    1.0707    4.9           3.894     2.46      5.76          0.0          0       0            2           1          0           3            6            4            8.7     0.0   0.013041589168335746   
  51284   189.1097799   62.2055283   24.473   -2.234999999473075E-5    -1.1088888953736387E-6   0.027    46.8     45.8     62.20543941111111    12748.0   GOODS-N   189.10980225   62.20544052   13664.99   8255.72    -1.0     1.8017   2.4652        0.052021      2.5089        0.060828      1.5524    0.033162   -99.0     -99.0     4.7432    0.080435   5.1798    0.10791    5.2043    0.20761    1.0695    3.69          5.791     3.002     5.68          0.0          0       0            0           1          0           2            6            2            9.74    0.3   0.03773048848494119    
  51107   189.109928    62.2048735   25.878   -7.260999998948137E-5    2.211111080896444E-7     0.083    11.1     11.0     62.20478461111111    12565.0   GOODS-N   189.11000061   62.20478439   13659.58   8216.17    -1.0     1.0826   0.3095        0.051505      0.32745       0.045273      0.19601   0.02571    -99.0     -99.0     0.68112   0.053743   0.50699   0.083295   0.52956   0.12468    1.0874    4.93          3.502     1.89      4.18          0.0          0       0            2           1          0           5            6            4            8.57    0.0   0.12189489229938966    
  51138   189.1106868   62.2047134   25.52    -4.599999954280065E-7    3.3111111008565786E-7    0.042    26.2     25.5     62.20462451111111    12535.0   GOODS-N   189.11068726   62.20462418   13640.29   8206.58    -1.0     0.2527   0.53997       0.051778      0.47828       0.04202       0.48498   0.021226   -99.0     -99.0     0.60734   0.038983   0.73005   0.069113   0.63841   0.081766   1.1407    4.4           2.261     1.898     2.72          0.0          0       0            2           1          0           5            6            5            7.1     0.0   0.0014202762873833372  
  49923   189.1108314   62.2031387   25.954   -8.440000016207705E-6    1.255111110509688E-5     0.072    12.9     12.7     62.20304981111111    12224.0   GOODS-N   189.11083984   62.20303726   13636.25   8111.47    -1.0     0.938    0.61838       0.050478      0.59461       0.044586      0.15626   0.019309   -99.0     -99.0     0.77364   0.039196   0.75396   0.060761   0.71574   0.092972   1.1319    3.95          2.563     2.363     2.75          0.0          0       0            2           1          0           4            11           4            8.53    0.0   0.04735358377574867    
  74236   189.1108592   62.2456186   24.299   4.099999983964153E-6     5.41111113250281E-7      0.02     41.5     41.5     62.24552971111111    21025.0   GOODS-N   189.1108551    62.24552917   13631.06   10661.05   0.627    0.6344   1.1734        0.054688      1.3198        0.025325      1.119     0.018397   -99.0     -99.0     1.6071    0.026206   1.6287    0.074941   1.8085    0.056123   1.1225    3.54          3.252     2.603     3.18          0.0          0       0            0           1          0           15           5            15           8.23    0.0   0.007144197769584603   
  54847   189.1108953   62.2145625   20.803   -2.0839999990585056E-5   -1.088888907929686E-7    0.0040   259.0    259.0    62.21447361111111    14372.0   GOODS-N   189.11091614   62.21447372   13632.72   8797.63    0.5565   0.5037   12.374        0.050478      14.016        0.032664      18.12     0.096069   -99.0     -99.0     75.498    0.15868    86.023    0.34645    96.196    0.3344     1.0       3.5           12.646    10.723    13.9          19.77        0       0            0           1          0           8            6            8            10.32   0.0   0.03497562235044656    
  75943   189.111687    62.2500534   23.046   -7.34000002466928E-6     2.6611111110241836E-6    0.012    75.1     70.6     62.24996451111111    21896.0   GOODS-N   189.11169434   62.24996185   13606.97   10926.87   0.7938   0.6955   10.753        0.050478      12.494        0.025394      1.4443    0.024963   -99.0     -99.0     17.636    0.035559   20.252    0.093861   23.231    0.12399    1.0374    3.5           6.746     5.484     5.15          4.56         0       0            0           1          0           12           5            12           10.06   0.7   0.015593279806690181   
  55664   189.1121192   62.2134054   24.344   -3.2900000007884955E-5   -1.2808888889992431E-5   0.025    58.0     25.7     62.21331651111111    14506.0   GOODS-N   189.1121521    62.21332932   13598.2    8728.83    -1.0     1.67     1.885         0.050478      1.8666        0.032087      1.5327    0.030715   -99.0     -99.0     4.1657    0.051688   4.2111    0.11133    4.1169    0.11652    1.0646    3.65          6.357     3.124     6.05          0.0          0       0            0           1          0           8            6            8            9.53    0.1   0.07193715497618017    
  47085   189.1123079   62.1991563   23.608   -1.2050000009367068E-5   5.061111110649108E-6     0.018    45.6     45.6     62.19906741111111    11630.0   GOODS-N   189.11231995   62.19906235   13595.15   7872.82    -1.0     1.3623   4.9988        0.050977      5.9746        0.044056      1.6218    0.043844   -99.0     -99.0     11.096    0.090919   13.889    0.13983    16.389    0.21575    1.0372    3.5           7.02      5.298     7.27          0.0          0       0            0           1          0           4            6            4            10.41   1.1   0.02722722161756863    
  50951   189.112654    62.2048466   25.406   2.8880000002118322E-5    3.831111115459862E-6     0.051    22.9     21.7     62.204757711111114   12591.0   GOODS-N   189.11262512   62.20475388   13586.11   8214.41    -1.0     0.9635   0.62879       0.051403      0.53392       0.037962      0.43772   0.023911   -99.0     -99.0     0.87219   0.042609   0.96491   0.077877   0.80889   0.078859   1.1324    3.5           3.628     2.111     3.77          0.0          0       0            2           1          0           6            6            6            8.32    0.0   0.050405256418271614   
