# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
# pearsid field ra dec old_z new_z new_z_err source dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
28271 GOODS-N 189.162696 62.168415 0.7226 0.5948 0.0161 3DHST 1.5558 0.1142 1.3755 0.0552 718.0067 86.8158
32497 GOODS-N 189.166581 62.174797 0.9536 0.9738 0.0138 3DHST 1.0098 0.0854 1.4616 0.0543 103.0720 86.9881
34427 GOODS-N 189.184999 62.176939 0.8928 0.9830 0.0192 3DHST 1.2294 0.1237 1.3391 0.0741 342.8247 212.4049
35156 GOODS-N 189.199465 62.179304 1.2015 1.2812 0.0597 3DHST 1.2220 0.1574 1.0374 0.0879 247.3748 204.3028
36105 GOODS-N 189.191488 62.183611 0.9072 0.9233 0.0081 3DHST 1.3669 0.1236 1.6840 0.0753 161.4205 125.3147
36418 GOODS-N 189.194182 62.180293 0.8660 0.8414 0.0181 3DHST 1.2859 0.2015 1.4926 0.1055 114.1365 105.5750
36569 GOODS-N 189.202385 62.180277 0.9374 1.4052 0.0000 3DHST 0.8906 nan 1.2557 nan 0.0000 0.0000
36639 GOODS-N 189.172688 62.180919 0.8841 0.8858 0.0110 3DHST 1.1905 0.1697 1.5492 0.0989 87.2502 83.6478
36708 GOODS-N 189.141708 62.181841 0.7736 0.6731 0.0143 3DHST 1.1847 0.1016 1.3319 0.0495 798.6299 347.1280
36842 GOODS-N 189.185144 62.181358 0.9082 0.9773 0.0316 3DHST 1.2015 0.1418 1.3598 0.0780 286.4129 235.8323
36944 GOODS-N 189.170378 62.181871 0.8353 0.8472 0.0159 3DHST 1.1213 0.1042 1.2511 0.0499 481.8976 470.7250
37495 GOODS-N 189.150181 62.183402 0.9366 1.4047 0.0000 3DHST 1.4022 0.3747 1.2424 0.1648 11444.5404 11444.5404
38212 GOODS-N 189.216902 62.183097 0.9278 1.4005 0.0000 3DHST -168980632852930659139129492009629023958185595358009887318880720654035025285527164157952.0000 nan 55301267987495369871645722088539079121814219431388383720519874427451076509696.0000 nan nan nan
39455 GOODS-N 189.160724 62.186535 0.9311 1.4022 0.0000 3DHST -0.0000 nan -0.0000 nan 9705162493732922168886572551703718470401690580517317334704864062562979210136389152092500601121749175533423292807463296918248068555181659017521644839243758819170718687114069333121450540727245165629279216801328379817388362152819032064.0000 9705162493732922168886572551703718470401690580517317334704864062562979210136389152092500601121749175533423292807463296918248068555181659017521644839243758819170718687114069333121450540727245165629279216801328379817388362152819032064.0000
39487 GOODS-N 189.207262 62.185225 0.9627 0.9117 0.0176 3DHST 1.1856 0.1607 1.3789 0.0950 177.3736 155.5096
39728 GOODS-N 189.170018 62.185821 0.7729 0.7268 0.0196 3DHST 1.6362 0.2948 1.4455 0.1215 110.5401 84.3095
39801 GOODS-N 189.221731 62.188003 0.9577 0.9758 0.0117 3DHST 1.1981 0.0926 1.4083 0.0538 215.0119 202.8722
39842 GOODS-N 189.183181 62.185293 0.8770 0.7932 0.0555 3DHST 1.0628 0.1013 1.1951 0.0561 490.4298 414.7228
40991 GOODS-N 189.184961 62.192549 0.9880 1.0045 0.1519 3DHST 1.3999 0.0941 1.7126 0.0576 274.7061 251.3054
40998 GOODS-N 189.158359 62.188108 1.0453 1.2089 0.0605 3DHST 1.3582 0.3152 1.6889 0.2009 147.4971 77.5728
41342 GOODS-N 189.159442 62.187693 0.9228 1.3980 0.0000 3DHST 1.4703 nan 1.3862 nan nan nan
41388 GOODS-N 189.171411 62.190279 0.9889 1.3914 0.0000 3DHST nan nan nan nan 0.0000 0.0000
41630 GOODS-N 189.198719 62.188955 1.1760 1.1333 0.0419 3DHST 1.1849 0.4902 1.2464 0.2521 70.2054 65.5955
41913 GOODS-N 189.172400 62.191558 1.0956 1.0680 0.0140 3DHST 1.2765 0.1227 1.5378 0.0720 191.1300 177.7732
41945 GOODS-N 189.256444 62.191325 0.7773 0.6354 0.0116 3DHST 0.9155 0.0806 1.2711 0.0542 654.7828 224.7852
42014 GOODS-N 189.177334 62.189407 0.8731 0.8128 0.0075 3DHST 0.9391 0.1045 1.2333 0.0673 358.5685 257.0596
42119 GOODS-N 189.209596 62.190913 0.9331 1.4031 0.0000 3DHST nan nan inf inf 14440392933004999744881258462077569430716416.0000 14440392933004999744881258462077569430716416.0000
42430 GOODS-N 189.161688 62.189869 0.9756 1.4042 0.0000 3DHST 0.9736 0.2338 67763648209792842474435719312493373223159502210654188651026148868266209028544650125565728241181583831356122354343653665385757131771861400377739438884833812545536.0000 4641337854297571093465572287433588801141097071228618320146415766816663995284949724880053905092053471116632747554121924255293227001548207589928432696729081479168.0000 10006.8323 10006.8323
43618 GOODS-N 189.182566 62.195238 0.7413 0.7589 0.0057 3DHST 1.7028 0.1064 1.4823 0.0473 196.8623 136.3023
44078 GOODS-N 189.202683 62.194841 0.9827 1.0154 0.0102 3DHST 1.4078 0.1135 1.7362 0.0717 167.6310 120.2144
44286 GOODS-N 189.239528 62.193104 0.9841 0.9201 0.0199 3DHST 1.0325 0.1289 1.1165 0.0711 223.9445 174.1459
44562 GOODS-N 189.192422 62.195027 1.1114 1.0973 0.0169 3DHST 1.1690 0.1044 1.3464 0.0691 174.4542 169.7983
44756 GOODS-N 189.202412 62.194457 0.9905 1.3922 0.0000 3DHST -0.0000 nan -0.0000 nan 0.0000 0.0000
45026 GOODS-N 189.179994 62.196666 0.9729 1.0243 0.0775 3DHST 1.0030 0.1179 1.4651 0.0747 154.5143 131.4635
45451 GOODS-N 189.159565 62.197454 0.8283 0.8311 0.0102 3DHST 1.2303 0.1094 1.4182 0.0688 79.5017 75.5749
45496 GOODS-N 189.205229 62.196807 0.9872 0.9230 0.0185 3DHST 1.2806 0.1614 1.5925 0.1071 108.9556 90.4560
46351 GOODS-N 189.248362 62.198151 1.0005 0.9873 0.0148 3DHST 1.1827 0.1300 1.3623 0.0766 144.4879 144.2266
46765 GOODS-N 189.257967 62.197271 1.0346 1.3942 0.0000 3DHST 0.0000 0.0000 8117968259076847099756898370299358471003696940679651345251892274135883096274706424218891042974447203186016407996918043500435340738653936425317656860376409720874142528033004895405522170999832491364848231905762697717203435402781651792343836131328.0000 nan nan nan
46766 GOODS-N 189.188918 62.198477 1.0236 1.3889 0.0000 3DHST inf nan -inf inf 0.0000 0.0000
47115 GOODS-N 189.123579 62.200005 1.1059 1.3904 0.0000 3DHST -inf nan -256188356986320186823168126995422842481781849514282788984734422257233642352430811927606158968977011307970560.0000 0.0000 nan nan
47126 GOODS-N 189.143115 62.197997 0.9328 1.4030 0.0000 3DHST 57446799256148967883965496033280.0000 0.0000 55544771777756261553442366947328.0000 0.0000 nan nan
47355 GOODS-N 189.154232 62.199884 0.8037 0.7232 0.0073 3DHST 1.1461 0.1027 1.3211 0.0529 304.4046 127.7035
47561 GOODS-N 189.245803 62.202469 0.9152 0.9674 0.0111 3DHST 1.5439 0.1426 1.6035 0.0695 137.7262 95.5627
47814 GOODS-N 189.239500 62.202938 0.6875 0.6763 0.0060 3DHST 1.2901 0.0988 1.6447 0.0556 184.5612 173.9757
48189 GOODS-N 189.166745 62.202052 0.9911 0.9929 0.0072 3DHST 1.3423 0.1077 1.6474 0.0652 107.7967 95.9023
48650 GOODS-N 189.209032 62.204725 0.9258 0.9258 0.0129 3DHST 1.5375 0.1557 1.6743 0.0774 106.9808 106.9808
49779 GOODS-N 189.164335 62.203273 0.9672 1.4006 0.0000 3DHST -268828325859632271686433728066597113721072507476613559837791676973155063821334702451091349541195232452232384460912789614153216494141440.0000 nan -150002192109046296210696245364808517112472579654811478878801607003942145909866151820424561801083377293302074052074202069382671783304793222813172612265848983182249293914050226889400624217943930024141192235530007611404143472034729619480695667819049808283035500544.0000 inf 0.0000 0.0000
50196 GOODS-N 189.242933 62.203942 0.9772 0.9641 0.0075 3DHST 1.2407 0.1736 1.2442 0.0821 96.1992 91.6359
50422 GOODS-N 189.181790 62.205071 0.7455 0.6676 0.0101 3DHST 0.9454 0.1127 1.3406 0.0825 257.8491 99.6907
