# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
# pearsid field ra dec old_z new_z new_z_err source dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
28271 GOODS-N 189.162696 62.168504 0.7226 0.5948 0.0184 3DHST 1.4824 0.1083 1.3789 0.0549 721.0470 74.6827
32497 GOODS-N 189.166581 62.174885 0.9536 0.9607 0.0089 3DHST 0.9871 0.0805 1.4678 0.0523 87.8174 80.6505
34427 GOODS-N 189.184999 62.177028 0.8928 0.8317 0.0145 3DHST 1.1247 0.1179 1.2532 0.0724 228.2064 159.6481
35156 GOODS-N 189.199465 62.179393 1.2015 1.2349 0.0292 3DHST 1.1733 0.1239 1.3193 0.0813 195.6027 183.0423
36105 GOODS-N 189.191488 62.183700 0.9072 0.9365 0.0092 3DHST 1.4354 0.1482 1.7416 0.0911 148.9974 93.7140
36418 GOODS-N 189.194182 62.180382 0.8660 0.8762 0.0195 3DHST 1.2525 0.1897 1.5570 0.1048 102.5439 101.5802
36569 GOODS-N 189.202385 62.180366 0.9374 0.8748 0.0085 3DHST 1.0957 0.1552 1.2893 0.0939 153.7064 93.1004
36639 GOODS-N 189.172688 62.181008 0.8841 0.9245 0.0324 3DHST 1.1763 0.1503 1.3907 0.0797 119.9771 98.3382
36708 GOODS-N 189.141708 62.181930 0.7736 0.7619 0.0102 3DHST 1.1589 0.0907 1.2746 0.0440 550.3638 541.5565
36842 GOODS-N 189.185144 62.181446 0.9082 0.9636 0.0193 3DHST 1.1466 0.1208 1.2936 0.0702 258.6237 194.1234
36944 GOODS-N 189.170378 62.181960 0.8353 0.8353 0.0097 3DHST 1.1074 0.0949 1.2835 0.0485 366.0986 366.0986
37225 GOODS-N 189.208158 62.183079 0.6620 0.5980 0.0106 3DHST 1.3881 0.1530 1.4651 0.0901 179.8893 116.7546
37495 GOODS-N 189.150181 62.183491 0.9366 0.7289 0.0350 3DHST 1.3502 0.2431 1.5691 0.1347 310.9713 111.2701
38212 GOODS-N 189.216902 62.183186 0.9278 1.0013 0.0231 3DHST 1.2762 0.1645 1.3715 0.0879 212.5813 153.5097
