# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
# pearsid field ra dec old_z new_z new_z_err source dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
28271 GOODS-N 189.162696 62.168504 0.7226 0.6047 0.0202 3DHST 1.4964 0.1098 1.3623 0.0538 626.5450 112.6687
32497 GOODS-N 189.166581 62.174885 0.9536 0.9607 0.0051 3DHST 1.0126 0.0823 1.4780 0.0529 65.1102 60.0646
34427 GOODS-N 189.184999 62.177028 0.8928 0.8557 0.0124 3DHST 1.1138 0.1162 1.2601 0.0730 152.0576 131.8617
35156 GOODS-N 189.199465 62.179393 1.2015 1.2015 0.0188 3DHST 1.2183 0.1279 1.3448 0.0816 188.8574 188.8574
36105 GOODS-N 189.191488 62.183700 0.9072 0.9365 0.0087 3DHST 1.4962 0.1561 1.7417 0.0910 131.2308 66.9418
36418 GOODS-N 189.194182 62.180382 0.8660 0.8762 0.0171 3DHST 1.2465 0.1852 1.5758 0.1043 54.7887 53.5674
36569 GOODS-N 189.202385 62.180366 0.9374 0.8748 0.0088 3DHST 1.0844 0.1551 1.2131 0.0910 136.5143 53.0584
36639 GOODS-N 189.172688 62.181008 0.8841 0.8986 0.0206 3DHST 1.2276 0.1584 1.4391 0.0836 80.0639 71.2781
36708 GOODS-N 189.141708 62.181930 0.7736 0.6731 0.0147 3DHST 1.1840 0.1022 1.3747 0.0519 669.2395 234.0858
36842 GOODS-N 189.185144 62.181446 0.9082 0.9502 0.0153 3DHST 1.1879 0.1226 1.3348 0.0713 193.5452 162.9212
36944 GOODS-N 189.170378 62.181960 0.8353 0.8353 0.0084 3DHST 1.1365 0.0991 1.2880 0.0487 402.5554 402.5554
37225 GOODS-N 189.208158 62.183079 0.6620 0.6189 0.0108 3DHST 1.3940 0.1452 1.4648 0.0819 132.1531 99.1689
37495 GOODS-N 189.150181 62.183491 0.9366 0.7187 0.0337 3DHST 1.3975 0.2513 1.4820 0.1254 236.7420 49.7905
38212 GOODS-N 189.216902 62.183186 0.9278 0.9875 0.0209 3DHST 1.3116 0.1682 1.4541 0.0934 155.9969 112.3548
39455 GOODS-N 189.160724 62.186624 0.9311 0.9311 0.0062 3DHST 1.4107 0.3088 1.6147 0.1775 58.9285 58.9285
39487 GOODS-N 189.207262 62.185314 0.9627 0.9369 0.0148 3DHST 1.1895 0.1585 1.3579 0.0931 109.6225 102.2064
39728 GOODS-N 189.170018 62.185910 0.7729 0.7496 0.0186 3DHST 1.4641 0.2132 1.4336 0.0980 62.3117 56.7035
39801 GOODS-N 189.221731 62.188091 0.9577 1.0028 0.0161 3DHST 1.1916 0.0890 1.3424 0.0499 294.7631 237.7141
39842 GOODS-N 189.183181 62.185382 0.8770 0.7932 0.0046 3DHST 1.0806 0.0989 1.1278 0.0518 587.1388 367.3687
40991 GOODS-N 189.184961 62.192638 0.9880 1.0182 0.0060 3DHST 1.3952 0.0925 1.7208 0.0566 281.6193 214.2911
40998 GOODS-N 189.158359 62.188197 1.0453 1.1775 0.0543 3DHST 1.4028 0.3145 1.7447 0.1937 81.5937 33.1033
