# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
# pearsid field ra dec old_z new_z new_z_err source dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
28029 GOODS-N 189.168829 62.167683 0.7535 0.6541 0.0190 3DHST 1.0688 0.2399 1.4565 0.1596 110.4572 75.7621
28271 GOODS-N 189.162696 62.168504 0.7226 0.5948 0.0155 3DHST 1.5595 0.1156 1.4019 0.0567 664.0815 78.0442
28638 GOODS-N 189.187245 62.169937 0.9653 0.9664 0.0850 3DHST 1.3666 0.3894 1.7482 0.2433 62.2685 61.5200
30256 GOODS-N 189.185923 62.169827 0.9906 0.7665 0.0266 3DHST 0.9213 0.1645 1.1230 0.0995 406.6449 148.9537
32497 GOODS-N 189.166581 62.174885 0.9536 0.9607 0.0096 3DHST 1.0357 0.0840 1.4965 0.0534 88.6739 80.4494
33944 GOODS-N 189.161050 62.176088 0.6980 0.5248 0.0658 3DHST 5.4010 8.8498 13.0264 21.1744 354.6622 274.7828
34427 GOODS-N 189.184999 62.177028 0.8928 0.8436 0.0129 3DHST 1.0813 0.1159 1.2235 0.0723 223.7518 188.7982
35156 GOODS-N 189.199465 62.179393 1.2015 1.2199 0.0311 3DHST 1.2303 0.1293 1.3466 0.0829 171.7569 166.9083
35309 GOODS-N 189.197793 62.178840 1.1918 1.3587 0.1250 3DHST 1.1682 0.3333 0.4215 0.1637 162.7997 143.5106
35853 GOODS-N 189.142124 62.179527 0.9491 0.9846 0.0183 3DHST 1.1535 0.1470 1.1709 0.0796 199.7828 182.5978
36105 GOODS-N 189.191488 62.183700 0.9072 0.9365 0.0078 3DHST 1.5421 0.1606 1.8248 0.0951 141.8460 82.3155
36418 GOODS-N 189.194182 62.180382 0.8660 0.8415 0.0181 3DHST 1.2581 0.1978 1.5625 0.1093 109.3569 104.3606
36546 GOODS-N 189.142283 62.180721 0.7430 0.6037 0.0441 3DHST 1.0204 0.3383 1.1528 0.1832 112.2224 81.6615
36569 GOODS-N 189.202385 62.180366 0.9374 0.8748 0.0079 3DHST 1.0346 0.1537 1.2423 0.0933 166.2973 112.2857
36639 GOODS-N 189.172688 62.181008 0.8841 0.9377 0.0274 3DHST 1.1961 0.1522 1.3897 0.0793 126.2788 100.8964
36654 GOODS-N 189.180740 62.181398 0.6136 0.5923 0.0110 3DHST 1.1341 0.2894 1.3903 0.1770 84.1421 77.9836
36708 GOODS-N 189.141708 62.181930 0.7736 0.7503 0.0120 3DHST 1.1426 0.0898 1.2609 0.0444 584.1850 566.0386
36842 GOODS-N 189.185144 62.181446 0.9082 0.9636 0.0208 3DHST 1.1554 0.1221 1.3136 0.0725 259.0720 189.9179
36944 GOODS-N 189.170378 62.181960 0.8353 0.8353 0.0102 3DHST 1.1200 0.0980 1.2618 0.0480 424.1331 424.1331
36989 GOODS-N 189.169769 62.180372 0.8590 0.8590 0.0518 3DHST 1.6170 0.3655 1.7871 0.1992 83.0586 83.0586
37044 GOODS-N 189.213646 62.181116 1.2282 1.2136 0.0136 3DHST 1.6496 0.3124 1.7586 0.1738 112.2067 110.4367
37225 GOODS-N 189.208158 62.183079 0.6620 0.5778 0.0112 3DHST 1.4766 0.1779 2.0091 0.1641 206.0924 117.7628
37495 GOODS-N 189.150181 62.183491 0.9366 0.7187 0.0330 3DHST 1.4216 0.2573 1.5432 0.1332 312.7909 105.9121
37672 GOODS-N 189.226684 62.181894 0.6839 0.5214 0.1118 3DHST nan nan nan nan 108.5233 67.8810
37982 GOODS-N 189.192270 62.183938 0.8979 0.8979 0.0601 3DHST 1.2617 0.3473 1.6333 0.2304 70.6579 70.6579
38120 GOODS-N 189.208629 62.183774 0.9311 0.8809 0.0197 3DHST 1.2937 0.2207 1.3521 0.1224 94.6643 81.5367
38212 GOODS-N 189.216902 62.183186 0.9278 1.0153 0.0195 3DHST 1.3077 0.1701 1.4629 0.0952 220.6382 152.1188
39311 GOODS-N 189.208590 62.185205 0.6496 0.6279 0.0203 3DHST 1.1459 0.3682 1.2469 0.1941 76.8666 73.9941
39438 GOODS-N 189.138653 62.185378 0.8069 0.7950 0.0742 3DHST 0.9446 0.1644 1.1718 0.1036 228.8256 226.8036
39455 GOODS-N 189.160724 62.186624 0.9311 0.9360 0.0091 3DHST 1.4111 0.2952 1.6494 0.1760 102.5128 101.3881
39487 GOODS-N 189.207262 62.185314 0.9627 0.9497 0.0154 3DHST 1.2462 0.1694 1.3876 0.0958 152.4233 150.9302
39728 GOODS-N 189.170018 62.185910 0.7729 0.7611 0.0207 3DHST 1.5231 0.2191 1.4336 0.0990 89.7918 84.5672
39801 GOODS-N 189.221731 62.188091 0.9577 1.0028 0.0155 3DHST 1.1651 0.0864 1.3374 0.0495 314.8131 269.8290
39842 GOODS-N 189.183181 62.185382 0.8770 0.7932 0.0068 3DHST 1.0513 0.0972 1.1314 0.0522 574.8269 378.0853
40991 GOODS-N 189.184961 62.192638 0.9880 1.0182 0.0076 3DHST 1.3878 0.0931 1.7312 0.0569 278.1021 190.3372
40998 GOODS-N 189.158359 62.188197 1.0453 1.2089 0.0739 3DHST 1.3745 0.3164 1.6530 0.1898 148.4982 76.0614
41064 GOODS-N 189.187316 62.187767 0.7937 0.6207 0.0527 3DHST 0.9912 0.3967 1.2121 0.2182 110.3518 75.0475
