# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
# pearsid field ra dec old_z new_z new_z_err source dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
9378 GOODS-S 53.179339 -27.923595 0.6740 0.6742 0.0067 CANDELS 0.9218 0.0968 1.2070 0.0653 173.6239 170.3290
12062 GOODS-S 53.158840 -27.925242 1.0390 1.0390 0.0158 CANDELS 1.0091 0.1032 1.1948 0.0634 287.7985 287.7985
12378 GOODS-S 53.137956 -27.923834 0.6380 0.6419 0.0052 CANDELS 1.3893 0.1074 1.6590 0.0644 190.0466 166.6654
13499 GOODS-S 53.169843 -27.918154 0.9230 0.9580 0.0336 CANDELS 0.9733 0.0687 1.4277 0.0444 546.1488 479.1877
13856 GOODS-S 53.184806 -27.920428 0.9060 0.9101 0.0075 CANDELS 1.4226 0.1280 1.4332 0.0604 289.7877 280.4924
14215 GOODS-S 53.145639 -27.919770 0.9340 0.6962 0.0290 CANDELS 0.9682 0.0863 1.5359 0.0663 956.5633 185.7487
14386 GOODS-S 53.139745 -27.920454 0.6190 0.6190 0.0085 CANDELS 1.2028 0.1831 1.3712 0.1043 77.0322 77.0322
14663 GOODS-S 53.193954 -27.918887 1.1146 1.1216 0.0169 3DHST 1.1692 0.1901 1.2908 0.1002 186.5661 184.2545
16131 GOODS-S 53.192549 -27.915824 0.6030 0.5613 0.0097 CANDELS 0.9983 0.1120 2.1401 0.1856 115.2244 81.9854
16290 GOODS-S 53.188921 -27.914171 0.6550 0.6332 0.0323 CANDELS 1.0613 0.2343 1.1086 0.1141 92.8049 91.4221
17022 GOODS-S 53.191877 -27.912430 0.6860 0.7271 0.0094 CANDELS 0.9293 0.0631 1.1688 0.0410 968.9828 915.4364
17704 GOODS-S 53.184784 -27.913397 0.6540 0.7203 0.0239 CANDELS 1.1214 0.1784 1.3506 0.1107 100.7481 82.1033
21592 GOODS-S 53.145924 -27.901462 0.6450 0.6572 0.0043 CANDELS 1.3587 0.1170 1.4764 0.0592 217.2256 178.5943
22402 GOODS-S 53.141867 -27.901909 0.7770 0.7197 0.0136 CANDELS 0.9167 0.0803 1.3403 0.0572 164.1932 115.0221
22708 GOODS-S 53.142595 -27.899975 0.6750 0.6750 0.0069 CANDELS 0.9535 0.0830 1.2583 0.0560 68.9472 68.9472
22917 GOODS-S 53.170918 -27.900476 0.6410 0.6440 0.0070 CANDELS 1.3990 0.2216 1.9491 0.1454 83.8511 77.3556
23142 GOODS-S 53.160673 -27.897112 0.6480 0.6480 0.0047 CANDELS 1.3777 0.0829 1.5992 0.0467 96.2879 96.2879
23172 GOODS-S 53.145209 -27.897243 0.6790 0.6679 0.0050 CANDELS 1.4545 0.1194 1.9101 0.0739 119.1670 119.0468
