# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
# pearsid field ra dec old_z new_z new_z_err source dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
9343 GOODS-S 53.172900 -27.928908 0.6417 0.5584 0.0142 3DHST 1.1378 0.1998 2.7993 0.3979 125.5048 69.0788
9378 GOODS-S 53.179339 -27.923595 0.6947 0.6724 0.0078 3DHST 0.9968 0.0794 1.2476 0.0520 305.2201 297.4786
9382 GOODS-S 53.144008 -27.928778 0.9816 0.9685 0.0109 3DHST 1.2138 0.1395 1.3320 0.0800 114.9272 110.9773
11507 GOODS-S 53.182752 -27.925014 0.6890 0.5734 0.0227 3DHST 1.2091 0.2759 1.8372 0.2449 178.3243 79.5903
12062 GOODS-S 53.158840 -27.925242 1.0427 1.0158 0.0172 3DHST 1.4197 0.1382 1.3240 0.0695 267.8958 254.8829
12378 GOODS-S 53.137956 -27.923834 0.6742 0.6742 0.0053 3DHST 1.0875 0.0740 1.4491 0.0503 153.0992 153.0992
13499 GOODS-S 53.169843 -27.918154 1.0053 0.9789 0.0104 3DHST 1.2477 0.0812 1.3933 0.0452 435.9987 399.9910
13856 GOODS-S 53.184806 -27.920428 0.9531 0.9023 0.0079 3DHST 0.9250 0.0816 1.2806 0.0515 360.3587 271.6248
13986 GOODS-S 53.172094 -27.920529 0.6124 0.6267 0.0131 3DHST 1.4569 0.3252 1.7331 0.1778 76.1958 72.7837
14215 GOODS-S 53.145639 -27.919770 0.8531 0.7703 0.0109 3DHST 1.1206 0.1131 1.3262 0.0574 354.5488 183.3958
14386 GOODS-S 53.139745 -27.920454 0.6661 0.6228 0.0095 3DHST 1.1970 0.1835 1.2351 0.0899 106.8103 86.0214
14555 GOODS-S 53.177962 -27.917693 0.6283 0.6175 0.0040 3DHST 1.4480 0.0989 1.7170 0.0572 110.5723 102.5693
14663 GOODS-S 53.193954 -27.918887 1.1146 1.1146 0.0279 3DHST 1.1860 0.1913 1.2438 0.0948 197.1439 197.1439
15005 GOODS-S 53.128251 -27.915264 0.6736 0.5887 0.0157 3DHST 1.1405 0.2017 1.5931 0.1492 191.2305 140.6862
16131 GOODS-S 53.192549 -27.915824 0.6353 0.5426 0.0108 3DHST 1.5698 0.2629 3.4386 0.5092 254.1011 90.5905
16290 GOODS-S 53.188921 -27.914171 0.7225 0.6887 0.0334 3DHST 1.5947 0.2908 1.3916 0.1404 98.1011 84.5961
17022 GOODS-S 53.191877 -27.912430 0.7286 0.8003 0.0195 3DHST 1.1092 0.0836 1.3186 0.0431 964.9904 808.4152
17024 GOODS-S 53.153370 -27.913962 0.6513 0.5577 0.0141 3DHST 1.1812 0.1337 2.8942 0.2663 400.3953 113.4727
17414 GOODS-S 53.205598 -27.907577 0.6446 0.6446 0.0100 3DHST 1.0847 0.0928 1.1159 0.0436 272.7282 272.7282
17704 GOODS-S 53.184784 -27.913397 0.7287 0.7060 0.0123 3DHST 1.2199 0.1925 1.4599 0.1068 69.9856 67.3065
18260 GOODS-S 53.193371 -27.903872 0.6637 0.6526 0.0061 3DHST 1.2342 0.0737 1.3997 0.0404 736.9036 726.6374
19226 GOODS-S 53.141256 -27.907070 0.6603 0.6493 0.0137 3DHST 1.1752 0.1488 1.6454 0.0965 1144.7695 1142.5760
19683 GOODS-S 53.148499 -27.908316 1.0252 0.6595 0.1857 3DHST 1.2121 0.2085 1.2155 0.1060 433.5350 216.7175
19774 GOODS-S 53.201988 -27.904447 0.8508 1.0031 0.0395 3DHST 1.1336 0.1305 1.3505 0.0852 1711.6876 1416.2994
21592 GOODS-S 53.145924 -27.901462 0.6773 0.6773 0.0051 3DHST 1.3191 0.1199 1.3561 0.0562 204.7636 204.7636
21612 GOODS-S 53.175819 -27.903717 0.7295 0.6213 0.0608 3DHST 1.1842 0.1542 1.3515 0.0764 438.7539 186.9169
22402 GOODS-S 53.141867 -27.901909 0.8215 0.7292 0.0074 3DHST 1.4952 0.1316 1.3889 0.0594 358.9005 121.8713
22708 GOODS-S 53.142595 -27.899975 0.6868 0.6429 0.0116 3DHST 1.1639 0.1149 1.1943 0.0550 139.0947 106.5959
22917 GOODS-S 53.170918 -27.900476 0.6721 0.6611 0.0063 3DHST 1.6831 0.2381 1.7278 0.1303 83.3357 83.1580
23142 GOODS-S 53.160673 -27.897112 0.6634 0.6523 0.0024 3DHST 1.3668 0.0812 1.6267 0.0475 127.4831 108.7920
23172 GOODS-S 53.145209 -27.897243 0.6746 0.6746 0.0026 3DHST 1.1219 0.0783 1.4799 0.0538 101.2099 101.2099
23407 GOODS-S 53.159475 -27.898455 0.6824 0.6712 0.0112 3DHST 1.6229 0.1517 1.5270 0.0745 151.2019 151.0501
24480 GOODS-S 53.156308 -27.897404 0.9522 0.9392 0.0100 3DHST 1.1173 0.1447 1.3059 0.0885 89.3927 85.3191
24521 GOODS-S 53.175351 -27.896841 0.6785 0.5833 0.0444 3DHST 1.2655 0.3158 1.7939 0.2479 159.1093 109.4203
25184 GOODS-S 53.142600 -27.895068 0.6629 0.6411 0.0088 3DHST 1.6012 0.5454 1.7401 0.3006 83.9901 76.2333
25205 GOODS-S 53.170033 -27.895421 0.9686 0.9426 0.0104 3DHST 1.1417 0.0788 1.1482 0.0419 444.2459 419.9739
25390 GOODS-S 53.130708 -27.888658 1.1336 1.3499 0.0371 3DHST 1.2780 0.1589 0.9437 0.0731 224.0625 91.3286
26158 GOODS-S 53.178564 -27.890211 0.6612 0.6612 0.0052 3DHST 1.4835 0.0964 1.9553 0.0593 100.9362 100.9362
26160 GOODS-S 53.179315 -27.892036 0.6771 0.6549 0.0236 3DHST 1.1647 0.2942 1.1986 0.1374 80.3463 78.8802
26891 GOODS-S 53.144178 -27.890151 1.0875 0.9944 0.0115 3DHST 1.1277 0.1001 1.2963 0.0569 662.5987 454.7659
