# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
# pearsid field ra dec old_z new_z new_z_err source dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
9343 GOODS-S 53.172900 -27.928908 0.6417 0.5988 0.0117 3DHST 1.2336 0.2024 1.5593 0.1217 62.3038 42.6983
9378 GOODS-S 53.179339 -27.923595 0.6947 0.6947 0.0064 3DHST 0.9739 0.0753 1.2200 0.0495 248.7360 248.7360
9382 GOODS-S 53.144008 -27.928778 0.9816 0.9685 0.0105 3DHST 1.2180 0.1432 1.3232 0.0798 88.5846 82.8789
11507 GOODS-S 53.182752 -27.925014 0.6890 0.6034 0.0188 3DHST 1.2199 0.2648 1.4666 0.1518 104.1202 49.7033
12062 GOODS-S 53.158840 -27.925242 1.0427 1.0026 0.0158 3DHST 1.3650 0.1307 1.2842 0.0679 277.2609 245.9411
12378 GOODS-S 53.137956 -27.923834 0.6742 0.6742 0.0045 3DHST 1.0648 0.0730 1.4471 0.0507 226.9718 226.9718
13499 GOODS-S 53.169843 -27.918154 1.0053 0.9532 0.0086 3DHST 1.2386 0.0802 1.4268 0.0459 529.8385 443.9482
13856 GOODS-S 53.184806 -27.920428 0.9531 0.9023 0.0082 3DHST 0.8933 0.0823 1.2643 0.0517 308.5798 250.0853
13986 GOODS-S 53.172094 -27.920529 0.6124 0.6124 0.0131 3DHST 1.4002 0.3359 1.8719 0.2130 35.0106 35.0106
14215 GOODS-S 53.145639 -27.919770 0.8531 0.7703 0.0101 3DHST 1.1371 0.1159 1.3340 0.0592 345.8296 171.9150
14386 GOODS-S 53.139745 -27.920454 0.6661 0.6442 0.0107 3DHST 1.2017 0.1687 1.2492 0.0821 50.4574 35.2563
14555 GOODS-S 53.177962 -27.917693 0.6283 0.6175 0.0047 3DHST 1.3786 0.0922 1.6563 0.0546 251.5175 226.0467
14663 GOODS-S 53.193954 -27.918887 1.1146 1.0867 0.0202 3DHST 1.1784 0.1921 1.2807 0.0970 140.1816 129.3321
15005 GOODS-S 53.128251 -27.915264 0.6736 0.5989 0.0149 3DHST 1.1457 0.1948 1.3713 0.1144 122.4433 82.9403
