# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
# pearsid field ra dec old_z new_z new_z_err source dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
8051 GOODS-S 53.156380 -27.931625 1.0882 0.9823 0.0161 3DHST 1.2410 0.1762 1.2425 0.0941 269.8646 144.2564
9343 GOODS-S 53.172900 -27.928908 0.6417 0.5485 0.0127 3DHST 1.5350 0.3405 3.7711 0.7375 156.1818 87.3240
9378 GOODS-S 53.179339 -27.923595 0.6947 0.6947 0.0085 3DHST 0.9316 0.0718 1.1941 0.0479 308.1361 308.1361
9382 GOODS-S 53.144008 -27.928778 0.9816 0.9816 0.0098 3DHST 1.1958 0.1413 1.3314 0.0807 129.0673 129.0673
11507 GOODS-S 53.182752 -27.925014 0.6890 0.6034 0.0237 3DHST 1.2269 0.2832 1.4714 0.1545 123.6099 79.5827
12062 GOODS-S 53.158840 -27.925242 1.0427 1.0158 0.0160 3DHST 1.4214 0.1356 1.3513 0.0700 266.9366 258.2201
12128 GOODS-S 53.128051 -27.925502 0.6806 0.4740 0.0194 3DHST nan nan nan nan 160.7871 95.3817
12378 GOODS-S 53.137956 -27.923834 0.6742 0.6630 0.0050 3DHST 1.1253 0.0788 1.5095 0.0552 147.0410 142.2850
12457 GOODS-S 53.170518 -27.924233 0.6790 0.6352 0.1247 3DHST 1.0021 0.2745 1.4397 0.1904 134.6370 119.8848
13283 GOODS-S 53.160557 -27.923022 0.8031 0.7793 0.0445 3DHST 1.4853 0.5561 1.4698 0.2349 68.5334 66.0763
13425 GOODS-S 53.151226 -27.923327 1.1451 1.3379 0.0974 3DHST nan nan nan nan 6250.0094 4140.0889
13499 GOODS-S 53.169843 -27.918154 1.0053 0.9789 0.0104 3DHST 1.1977 0.0776 1.3818 0.0449 479.9324 440.8296
13543 GOODS-S 53.131480 -27.921453 1.1854 1.1012 0.0437 3DHST 1.1830 0.2586 1.4078 0.1449 99.3362 85.8352
13856 GOODS-S 53.184806 -27.920428 0.9531 0.9023 0.0083 3DHST 0.8892 0.0815 1.2499 0.0507 368.7275 267.3751
13986 GOODS-S 53.172094 -27.920529 0.6124 0.6124 0.0140 3DHST 1.4174 0.3277 1.7741 0.1896 74.3229 74.3229
14093 GOODS-S 53.171685 -27.921843 0.7990 0.6656 0.0666 3DHST 1.1015 0.3945 1.5063 0.3007 109.9889 77.1006
14215 GOODS-S 53.145639 -27.919770 0.8531 0.7481 0.0115 3DHST 1.1283 0.1134 1.3254 0.0601 388.0233 180.6459
14386 GOODS-S 53.139745 -27.920454 0.6661 0.6334 0.0095 3DHST 1.2424 0.1873 1.2494 0.0872 100.0771 82.3935
14555 GOODS-S 53.177962 -27.917693 0.6283 0.6175 0.0043 3DHST 1.3839 0.0934 1.6605 0.0554 125.1222 120.7177
14663 GOODS-S 53.193954 -27.918887 1.1146 1.0867 0.0251 3DHST 1.0899 0.1691 1.2032 0.0904 202.6675 185.2788
15005 GOODS-S 53.128251 -27.915264 0.6736 0.5989 0.0156 3DHST 1.2968 0.2296 1.3147 0.1104 171.2754 126.9608
15093 GOODS-S 53.184772 -27.918456 1.2034 1.1323 0.0296 3DHST 0.9004 0.3099 1.1009 0.2095 94.3523 83.1843
15912 GOODS-S 53.129841 -27.915079 0.6888 0.5076 0.2137 3DHST nan nan nan nan 144.5147 99.8049
16131 GOODS-S 53.192549 -27.915824 0.6353 0.5723 0.0102 3DHST 1.1776 0.1424 1.7326 0.1257 225.5293 100.3980
16151 GOODS-S 53.131806 -27.917095 1.0489 1.0354 0.0318 3DHST 1.0707 0.2011 1.3129 0.1341 105.4450 101.9240
16290 GOODS-S 53.188921 -27.914171 0.7225 0.6456 0.0346 3DHST 1.5419 0.3326 1.4487 0.1700 88.4642 80.0943
16371 GOODS-S 53.160616 -27.916860 1.1787 1.0815 0.0244 3DHST 1.2217 0.3756 1.3157 0.2090 121.8222 74.9358
16596 GOODS-S 53.130366 -27.915512 0.6709 0.3921 0.0558 3DHST nan nan nan nan 335.1764 138.4128
16836 GOODS-S 53.138123 -27.910514 0.9249 0.9121 0.0105 3DHST 1.1074 0.1286 1.4058 0.0895 122.6108 119.0135
17022 GOODS-S 53.191877 -27.912430 0.7286 0.7286 0.0187 3DHST 1.2209 0.0961 1.3989 0.0482 829.3258 829.3258
17024 GOODS-S 53.153370 -27.913962 0.6513 0.5384 0.0151 3DHST 2.3581 0.4748 5.6148 1.0661 448.8473 103.3147
17092 GOODS-S 53.175998 -27.914579 0.7808 0.7809 0.0125 3DHST 1.5779 0.3345 1.1736 0.1308 83.7236 83.0906
17163 GOODS-S 53.183307 -27.915043 0.9140 0.5106 0.2776 3DHST nan nan nan nan 521.8316 271.0047
17414 GOODS-S 53.205598 -27.907577 0.6446 0.6458 0.0087 3DHST 1.1482 0.0948 1.1279 0.0431 311.0410 310.9097
17495 GOODS-S 53.130366 -27.913615 0.7809 0.8051 0.0266 3DHST 1.7409 0.4315 1.3460 0.1619 96.8976 83.9290
17704 GOODS-S 53.184784 -27.913397 0.7287 0.7400 0.0106 3DHST 1.2170 0.1738 1.4093 0.0932 70.3647 68.6904
18260 GOODS-S 53.193371 -27.903872 0.6637 0.6526 0.0058 3DHST 1.1990 0.0712 1.3817 0.0400 725.0467 718.2362
18882 GOODS-S 53.161364 -27.910446 0.6640 0.4680 0.2253 3DHST nan nan nan nan 276.1192 179.2646
18972 GOODS-S 53.171617 -27.910572 0.9221 0.6567 0.1030 3DHST 1.4575 0.5518 1.4214 0.3084 108.5300 82.0148
19226 GOODS-S 53.141256 -27.907070 0.6603 0.6384 0.0147 3DHST 1.2856 0.1680 1.6817 0.1039 1138.6294 1133.3492
19435 GOODS-S 53.142984 -27.909361 0.6791 0.6145 0.0240 3DHST 1.2059 0.3542 1.5951 0.2251 138.0225 107.5141
19585 GOODS-S 53.196591 -27.908622 0.6809 0.5957 0.0376 3DHST 1.4249 0.4804 1.4976 0.2636 92.8967 76.0197
19683 GOODS-S 53.148499 -27.908316 1.0252 0.6416 0.1892 3DHST 1.0478 0.1786 1.1735 0.1030 352.5793 218.3653
19774 GOODS-S 53.201988 -27.904447 0.8508 0.8808 0.0110 3DHST 1.0881 0.1278 1.3173 0.0849 1614.8619 1537.0055
20072 GOODS-S 53.168695 -27.907433 1.1371 1.0287 0.2208 3DHST 1.1209 0.3384 1.2586 0.1942 136.9577 95.7918
20901 GOODS-S 53.144242 -27.905625 1.1508 1.0417 0.0534 3DHST 0.9942 0.2489 1.2160 0.1640 147.2776 92.9222
20957 GOODS-S 53.134580 -27.905617 0.6695 0.6260 0.0178 3DHST 1.2346 0.2661 1.5381 0.1613 107.5948 90.9284
21592 GOODS-S 53.145924 -27.901462 0.6773 0.6773 0.0058 3DHST 1.3449 0.1203 1.3817 0.0579 213.9987 213.9987
21612 GOODS-S 53.175819 -27.903717 0.7295 0.6112 0.0557 3DHST 1.1717 0.1553 1.3105 0.0763 425.4415 147.2029
21647 GOODS-S 53.154657 -27.903758 0.7755 0.6337 0.0344 3DHST 0.8897 0.2367 1.2747 0.1560 148.1261 94.9360
21730 GOODS-S 53.183049 -27.903219 0.8345 0.5996 0.2535 3DHST 1.2967 0.5167 1.3530 0.2109 207.4397 107.0907
21741 GOODS-S 53.211895 -27.903781 0.7363 0.5593 0.2020 3DHST 1.3069 0.4606 3.2556 0.9778 202.2170 104.0726
22259 GOODS-S 53.208274 -27.901509 0.9368 0.8504 0.0164 3DHST 1.3616 0.2405 1.2696 0.1072 160.4168 100.3042
22402 GOODS-S 53.141867 -27.901909 0.8215 0.7292 0.0078 3DHST 1.5131 0.1351 1.3751 0.0589 316.2447 101.6323
22708 GOODS-S 53.142595 -27.899975 0.6868 0.6646 0.0105 3DHST 1.2062 0.1168 1.2250 0.0543 117.5219 103.5101
22784 GOODS-S 53.179390 -27.901761 0.7510 0.6622 0.0511 3DHST 1.2175 0.3622 1.2365 0.1823 95.4196 78.5728
22917 GOODS-S 53.170918 -27.900476 0.6721 0.6721 0.0055 3DHST 1.7502 0.2376 1.7125 0.1272 76.3002 76.3002
23142 GOODS-S 53.160673 -27.897112 0.6634 0.6523 0.0033 3DHST 1.3788 0.0828 1.6280 0.0479 156.5432 107.4734
23172 GOODS-S 53.145209 -27.897243 0.6746 0.6746 0.0026 3DHST 1.1342 0.0800 1.5026 0.0553 95.4132 95.4132
23215 GOODS-S 53.147745 -27.900513 1.0772 1.1624 0.0282 3DHST 1.2006 0.2931 1.3948 0.1798 95.4478 74.0117
23407 GOODS-S 53.159475 -27.898455 0.6824 0.6824 0.0091 3DHST 1.6758 0.1540 1.4852 0.0727 149.4768 149.4768
23511 GOODS-S 53.141203 -27.899534 1.2189 1.1612 0.0403 3DHST 1.5251 0.4875 1.3313 0.2316 83.3197 73.6891
23595 GOODS-S 53.210659 -27.899203 0.9613 0.9104 0.0207 3DHST 1.0934 0.1680 1.2888 0.1032 126.0782 101.4036
23775 GOODS-S 53.132941 -27.898279 0.9539 0.9607 0.0285 3DHST 0.9199 0.2123 1.3653 0.1444 98.7741 96.3850
24480 GOODS-S 53.156308 -27.897404 0.9522 0.9264 0.0110 3DHST 1.1283 0.1494 1.2590 0.0847 129.7604 112.5424
24521 GOODS-S 53.175351 -27.896841 0.6785 0.5540 0.0186 3DHST 1.3399 0.3902 3.2330 0.8082 172.2044 104.8116
24707 GOODS-S 53.181230 -27.894515 0.9405 1.0218 0.0417 3DHST 1.2697 0.2330 1.3120 0.1269 103.4816 78.6632
25184 GOODS-S 53.142600 -27.895068 0.6629 0.6679 0.0092 3DHST 1.4980 0.4170 1.6517 0.2258 72.5085 72.2812
25205 GOODS-S 53.170033 -27.895421 0.9686 0.9300 0.0098 3DHST 1.1336 0.0770 1.1420 0.0414 478.2114 408.5770
25390 GOODS-S 53.130708 -27.888658 1.1336 1.2827 0.0338 3DHST 1.2304 0.1464 1.5055 0.0850 210.8155 95.2365
25474 GOODS-S 53.165212 -27.895714 0.8322 0.7961 0.0239 3DHST 1.4336 0.3998 1.4388 0.2007 111.5335 107.4548
26158 GOODS-S 53.178564 -27.890211 0.6612 0.6612 0.0054 3DHST 1.4182 0.0919 1.8974 0.0568 100.8069 100.8069
26160 GOODS-S 53.179315 -27.892036 0.6771 0.6022 0.0250 3DHST 1.0574 0.2958 1.1974 0.1611 100.9330 84.0997
26450 GOODS-S 53.183476 -27.893893 0.6753 0.5510 0.1326 3DHST 1.3925 0.4624 2.7667 0.8127 150.2128 84.7506
26475 GOODS-S 53.131815 -27.893586 0.9620 1.0613 0.1231 3DHST 1.2244 0.3272 1.4287 0.1994 105.9468 104.0181
26891 GOODS-S 53.144178 -27.890151 1.0875 0.9944 0.0116 3DHST 1.1363 0.0980 1.2661 0.0558 671.8222 434.3803
26909 GOODS-S 53.139012 -27.892632 1.0676 1.1282 0.0057 3DHST 0.7518 0.0677 0.4504 0.0374 3680.3393 3508.6757
27304 GOODS-S 53.166069 -27.891976 0.7430 0.6978 0.0149 3DHST 1.3186 0.3369 1.4562 0.1932 100.5808 86.2359
27562 GOODS-S 53.146168 -27.891951 0.8920 0.7094 0.0601 3DHST 1.3242 0.3278 1.5225 0.2028 151.2116 88.1430
27974 GOODS-S 53.146612 -27.889677 0.6778 0.6667 0.0059 3DHST 1.3648 0.1840 1.7077 0.1138 119.1021 118.0075
27994 GOODS-S 53.133533 -27.890769 0.9497 0.9716 0.1066 3DHST 1.1503 0.2318 1.2460 0.1350 115.0952 111.0487
28000 GOODS-S 53.186295 -27.890121 0.6771 0.6022 0.0311 3DHST 0.9176 0.2855 1.1465 0.1677 84.2080 73.4687
28310 GOODS-S 53.164997 -27.890183 0.7434 0.8871 0.0805 3DHST 1.3144 0.3059 1.3212 0.1491 185.0518 136.7493
28588 GOODS-S 53.176896 -27.889314 0.6619 0.6399 0.0159 3DHST 1.4835 0.3439 1.6419 0.1985 71.1244 69.9107
29322 GOODS-S 53.135877 -27.887968 0.9635 0.8406 0.0195 3DHST 1.0243 0.1517 1.4977 0.1000 227.2258 119.4422
29515 GOODS-S 53.182039 -27.887975 0.7113 1.1878 0.3269 3DHST 1.4003 0.4301 1.3220 0.2186 129.8184 101.9865
29626 GOODS-S 53.168528 -27.887806 1.0043 1.3244 0.4454 3DHST 1.6844 0.7979 2.7585 0.5473 423.5792 251.8130
29789 GOODS-S 53.134525 -27.887360 1.1464 1.1464 0.1560 3DHST 1.2068 0.4435 1.2342 0.2264 95.7662 95.7662
29794 GOODS-S 53.138950 -27.886919 0.6940 0.6940 0.0117 3DHST 1.2389 0.2043 1.4143 0.1167 71.1122 71.1122
30010 GOODS-S 53.164521 -27.883791 0.6785 0.6884 0.0077 3DHST 1.4861 0.2042 2.0667 0.1370 132.7182 131.2736
30107 GOODS-S 53.133932 -27.886666 0.9140 0.9142 0.0107 3DHST 0.8263 0.0927 1.2643 0.0680 123.8725 114.1521
30286 GOODS-S 53.195926 -27.885478 0.6798 0.6256 0.0104 3DHST 1.1873 0.1766 1.5255 0.1096 117.9652 81.9553
