# The 3DHST ID is specific to its north or south catalog. Currently using 3DHST v4.1.5 catalog.
# pears_id threed_south_idv415 pears_ra pears_dec threed_ra threed_dec
126570 44933 53.020662 -27.700813 53.020664 -27.700830
127114 44779 53.021293 -27.700948 53.021317 -27.700945
126406 44874 53.022116 -27.701411 53.022118 -27.701410
126627 44591 53.022833 -27.701822 53.022831 -27.701855
119439 41958 53.023645 -27.714864 53.023647 -27.714870
127681 45103 53.023802 -27.699486 53.023804 -27.699482
126585 44530 53.024636 -27.701992 53.024647 -27.702007
124804 43756 53.025656 -27.705476 53.025661 -27.705469
121941 42458 53.025991 -27.711940 53.025993 -27.711941
128294 45448 53.026630 -27.697756 53.026615 -27.697748
119029 41478 53.027233 -27.716426 53.027157 -27.716425
127442 45006 53.027443 -27.699805 53.027439 -27.699816
122729 42772 53.027535 -27.710433 53.027565 -27.710428
118874 41164 53.027557 -27.717879 53.027584 -27.717857
125585 44501 53.027813 -27.702675 53.027779 -27.702623
128114 45499 53.027959 -27.697882 53.027962 -27.697874
128916 45665 53.028510 -27.696745 53.028507 -27.696737
124377 44371 53.028650 -27.702103 53.028648 -27.702106
121073 42047 53.028843 -27.713744 53.028851 -27.713737
119941 41681 53.028954 -27.715549 53.028927 -27.715549
122023 42688 53.029666 -27.711064 53.029655 -27.711065
123466 43359 53.029770 -27.708067 53.029770 -27.708069
127411 45190 53.029786 -27.699426 53.029785 -27.699425
119158 41466 53.029993 -27.716438 53.029995 -27.716429
125637 44182 53.030203 -27.703839 53.030220 -27.703850
128422 45826 53.030315 -27.696597 53.030296 -27.696613
123270 43036 53.030712 -27.708926 53.030697 -27.708916
129355 46162 53.030771 -27.694952 53.030769 -27.694956
115946 40237 53.030776 -27.722735 53.030781 -27.722733
127227 45126 53.031080 -27.699947 53.031086 -27.699961
128937 45799 53.031085 -27.696560 53.031052 -27.696564
125235 43868 53.031141 -27.704860 53.031147 -27.704864
122485 42943 53.031159 -27.710040 53.031166 -27.710039
126285 44762 53.031247 -27.701507 53.031246 -27.701508
127433 45274 53.031356 -27.699164 53.031349 -27.699160
118339 41037 53.031546 -27.718565 53.031544 -27.718567
127783 45400 53.031575 -27.698526 53.031567 -27.698521
123517 43577 53.031588 -27.707238 53.031590 -27.707237
124826 43977 53.031786 -27.705306 53.031776 -27.705324
118407 40883 53.032042 -27.718933 53.032047 -27.718922
126821 44569 53.032348 -27.701693 53.032360 -27.701696
125629 44129 53.032460 -27.703665 53.032486 -27.703627
128537 45602 53.032464 -27.697082 53.032459 -27.697073
123958 43333 53.032634 -27.707521 53.032650 -27.707544
118892 41810 53.032812 -27.715417 53.032803 -27.715412
115733 40105 53.032938 -27.723352 53.032932 -27.723345
118984 41275 53.033091 -27.717330 53.033073 -27.717352
125687 44366 53.033122 -27.703374 53.033119 -27.703369
121081 42186 53.033138 -27.713424 53.033127 -27.713400
126270 44381 53.033235 -27.702720 53.033237 -27.702719
117674 41913 53.033256 -27.710969 53.033249 -27.710972
122669 43629 53.033499 -27.705838 53.033501 -27.705837
125952 44882 53.033512 -27.701204 53.033504 -27.701216
117954 40931 53.033614 -27.719297 53.033615 -27.719267
122700 42743 53.033664 -27.710485 53.033661 -27.710484
119216 41368 53.033695 -27.716973 53.033699 -27.716974
124628 44084 53.033701 -27.705066 53.033710 -27.705072
119535 41414 53.033723 -27.716575 53.033745 -27.716570
122795 42999 53.033814 -27.709877 53.033794 -27.709883
126894 45737 53.033847 -27.694556 53.033855 -27.694565
124217 43470 53.033909 -27.706979 53.033920 -27.706964
121434 42617 53.033961 -27.711766 53.033966 -27.711761
121816 42789 53.034045 -27.711273 53.034054 -27.711266
122434 42656 53.034112 -27.710955 53.034069 -27.710979
122408 42728 53.034334 -27.710606 53.034332 -27.710609
124882 44089 53.034396 -27.704673 53.034397 -27.704674
128281 45350 53.034442 -27.698214 53.034443 -27.698210
125493 44231 53.034473 -27.703264 53.034477 -27.703268
125142 44059 53.034813 -27.704721 53.034824 -27.704723
