# col1     col2         col3          col4     delta_ra                 delta_dec                col5     col6      col7      id        field     ra            dec            x          y          z_spec   z_peak   faper_F140W   eaper_F140W   faper_F160W   eaper_F160W   f_F606W    e_F606W    f_F814W   e_F814W    f_F125W   e_F125W    f_F140W   e_F140W    f_F160W   e_F160W    tot_cor   kron_radius   a_image   b_image   flux_radius   fwhm_image   flags   f140w_flag   star_flag   use_phot   near_star   nexp_f125w   nexp_f140w   nexp_f160w   lmass   Av    Separation             
  126570   53.0206622   -27.7008129   23.422   -2.02000000371072E-6     1.755999999986102E-5     0.019    12.1      12.1      44933.0   GOODS-S   53.02066422   -27.70083046   15723.64   16853.8    -1.0     2.1335   4.2762        0.071024      5.1588        0.028492      2.0915     0.054426   3.4816    0.071857   11.202    0.2048     13.948    0.23       16.706    0.20504    1.0222    3.54          7.887     6.724     8.15          0.0          0       0            0           1          0           5            32           5            10.81   1.1   0.06354303561721951    
  127114   53.0212931   -27.7009476   25.742   -2.3429999998825224E-5   -2.69999999957804E-6     0.065    78.3      78.3      44779.0   GOODS-S   53.02131653   -27.7009449    15688.93   16846.99   -1.0     2.5759   0.64406       0.072972      0.66142       0.03068       0.51848    0.026569   0.5185    0.039186   0.84343   0.11015    1.1407    0.12832    1.1631    0.1337     1.058     5.46          3.772     2.613     4.69          0.0          2       0            0           1          0           5            32           5            9.34    0.3   0.07531042796161527    
  126406   53.0221164   -27.7014108   23.754   -1.210000000639866E-6    -5.100000031177387E-7    0.018    119.0     83.2      44874.0   GOODS-S   53.02211761   -27.70141029   15646.39   16818.98   0.8608   0.8482   3.6937        0.072265      4.2487        0.024563      1.0893     0.029874   3.1694    0.043765   6.578     0.097788   7.348     0.14273    8.3917    0.10061    1.0629    3.5           6.869     3.155     5.44          0.0          0       0            0           1          0           7            32           7            9.44    1.6   0.0042714426267022034  
  126627   53.0228329   -27.7018223   25.949   1.9399999970914905E-6    3.2409999999316597E-5    0.08     89.5      82.1      44591.0   GOODS-S   53.02283096   -27.70185471   15608.61   16792.45   -1.0     3.0963   0.35841       0.072702      0.57278       0.024273      0.32169    0.024941   0.37801   0.036981   0.53861   0.081923   0.59938   0.12071    0.95103   0.063504   1.1036    3.5           4.07      2.541     4.56          0.0          0       0            2           1          0           7            32           7            9.39    0.1   0.11683973835913956    
  119439   53.0236447   -27.7148641   23.095   -2.6100000027895476E-6   6.349999999599731E-6     0.014    73.8      69.8      41958.0   GOODS-S   53.02364731   -27.71487045   15564.56   16011.45   1.296    1.2922   8.6953        0.087693      10.335        0.022154      2.8946     0.040506   6.3068    0.055807   18.25     0.12006    23.436    0.23466    27.656    0.1513     1.0255    3.5           8.097     6.157     7.22          0.0          2       0            0           1          0           8            4            8            10.37   1.4   0.02432630548070988    
  127681   53.0238019   -27.6994861   25.184   -1.810000000546097E-6    -4.140000001484623E-6    0.039    133.0     133.0     45103.0   GOODS-S   53.02380371   -27.69948196   15556.92   16934.8    -1.0     1.2361   2.109         0.072573      2.4411        0.030785      0.54684    0.02088    1.1493    0.029087   2.5954    0.087631   2.9294    0.10008    3.3664    0.082128   1.1006    3.5           3.561     3.004     3.45          0.0          0       0            0           1          0           5            32           5            9.31    0.5   0.015981660943339755   
  126585   53.0246365   -27.7019923   25.929   -1.0260000003370351E-5   1.4990000000381087E-5    0.065    64.4      64.4      44530.0   GOODS-S   53.02464676   -27.70200729   15512.15   16783.29   -1.0     2.6554   0.4268        0.07347       0.56175       0.024499      0.51121    0.021107   0.5026    0.028169   0.53003   0.072337   0.60343   0.10313    0.78855   0.056301   1.1229    3.6           3.453     2.263     3.55          0.0          0       0            2           1          0           8            32           8            8.62    0.0   0.06309955388142122    
  124804   53.0256559   -27.7054757   24.678   -5.570000006116516E-6    -6.570000000039045E-6    0.026    29.2      29.2      43756.0   GOODS-S   53.02566147   -27.70546913   15458.08   16575.63   -1.0     0.7428   1.1217        0.06841       1.1184        0.024158      1.0588     0.021142   1.3958    0.028219   1.5318    0.064906   1.5771    0.095497   1.5612    0.060517   1.1102    3.5           3.388     2.831     3.36          0.0          0       0            0           1          0           8            36           8            8.32    0.0   0.029573415711703476   
  121941   53.0259906   -27.7119402   23.931   -2.750000000162345E-6    5.6999999742402E-7       0.02     41.5      41.5      42458.0   GOODS-S   53.02599335   -27.71194077   15440.11   16187.42   -1.0     0.5216   1.0838        0.086208      1.1718        0.022226      1.6442     0.039609   2.4075    0.050438   2.8103    0.12035    2.8115    0.22204    3.0182    0.1028     1.0527    3.65          7.898     3.081     6.95          0.0          0       0            0           1          0           8            4            8            8.4     0.1   0.009001448308775238   
  128294   53.0266301   -27.6977562   24.562   1.496000000145159E-5     -8.019999999220317E-6    0.03     171.0     171.0     45448.0   GOODS-S   53.02661514   -27.69774818   15407.58   17038.94   -1.0     0.7565   1.2643        0.075955      1.1843        0.036709      0.76114    0.029949   1.6244    0.036363   2.2782    0.14226    2.5275    0.15076    2.3506    0.14667    1.0647    4.0           5.335     2.987     5.47          0.0          0       0            0           1          0           3            32           3            8.68    0.6   0.05574429953032783    
