# col1_1   col2_1       col3_1        col4_1   delta_ra                 delta_dec                col5_1   col6_1    col7_1    col1_2   col2_2       col3_2        col4_2   col5_2    col6_2   col7_2   col8   col9   col10    col11    col12   col13   col14   col15   col16   col17   col18   col19   col20           col21           col22           col23           col24   col25   col26   col27   col28   col29   col30   col31   col32   col33   col34   col35   col36   col37   col38   col39   col40   col41   col42   Separation             
  126570   53.0206622   -27.7008129   23.422   -2.0000000020559128E-6   1.759999999961792E-5     0.019    12.1      12.1      26496    53.0206642   -27.7008305   21.99    130.17    0        0        0.0    0      2.097    -99.0    -99     -99     2.097   2.02    2.18    1.94    2.27    -99.0   3.9400002E10    1.04999997E10   2.5200001E10    5.8700001E9     0.406   10.7    10.76   10.58   10.65   10.29   10.62   10.68   10.49   10.61   10.44   10.43   10.43   10.63   10.57   10.41   10.4    10.47   10.49   0.06367988299359871    
  127114   53.0212931   -27.7009476   25.742   -3.869999999750462E-5    2.9999999995311555E-6    0.065    78.3      78.3      26184    53.0213318   -27.7009506   24.97    17.85     0        0        0.07   0      0.213    -99.0    -99     -99     0.213   0.1     0.34    0.05    0.47    -99.0   8790000.0       2520000.0       1.03E7          3680000.0       0.843   6.9     7.27    7.01    6.95    7.15    6.88    6.87    6.82    6.9     7.01    7.11    6.98    7.1     6.87    6.83    6.82    6.78    6.81    0.12382385796383816    
  126406   53.0221164   -27.7014108   23.754   -8.799999996256247E-6    -2.400000003177638E-6    0.018    119.0     83.2      26239    53.0221252   -27.7014084   22.79    107.93    0        0        0.0    0      0.858    0.8608   2       1       0.858   0.8     0.91    0.74    0.96    -99.0   2.95000013E9    4.61E8          2.92E9          1.78E8          0.256   9.48    9.62    9.52    9.39    9.46    9.35    9.57    9.44    9.47    9.49    9.49    9.61    9.43    9.27    9.43    9.42    9.46    9.44    0.0293494604006077     
  126627   53.0228329   -27.7018223   25.949   1.900000000887303E-6     2.2900000001158105E-5    0.08     89.5      82.1      26076    53.022831    -27.7018452   25.21    19.4      0        0        0.37   0      3.027    -99.0    -99     -99     3.027   2.87    3.23    2.6     3.67    -99.0   1.75E9          7.99E8          1.07E9          8.62E8          0.349   9.3     9.7     9.33    9.35    8.48    9.21    9.27    9.03    9.45    9.31    9.38    9.31    9.35    9.06    9.14    9.03    9.04    9.16    0.08266213536584298    
  119439   53.0236447   -27.7148641   23.095   1.1999999998124622E-6    1.780000000195514E-5     0.014    73.8      69.8      23856    53.0236435   -27.7148819   21.46    254.81    0        0        0.0    0      1.296    1.296    1       30      1.212   1.16    1.27    1.1     1.33    -99.0   2.50999992E10   4.72E9          2.41999995E10   1.65E9          0.379   10.47   10.46   10.45   10.36   10.35   10.29   10.5    10.36   10.32   10.4    10.52   10.27   10.46   10.39   -99.0   10.38   10.39   10.36   0.06419402056474803    
  127681   53.0238019   -27.6994861   25.184   -5.599999994387872E-6    -2.2000000008404186E-6   0.039    133.0     133.0     26266    53.0238075   -27.6994839   23.81    51.23     0        0        0.01   0      1.316    -99.0    -99     -99     1.316   1.24    1.39    1.15    1.46    -99.0   2.54E9          4.91E8          2.31000013E9    2.63E8          0.353   9.47    9.41    9.44    9.31    9.32    9.23    9.49    9.36    9.41    9.42    9.44    9.49    9.44    9.22    9.35    9.34    9.39    9.36    0.01952780898521642    
  126585   53.0246365   -27.7019923   25.929   -1.0299999999574538E-5   2.449999999853958E-5     0.065    64.4      64.4      23011    53.0246468   -27.7020168   25.38    19.61     0        0        0.03   0      2.682    -99.0    -99     -99     2.682   2.61    2.76    2.53    2.86    -99.0   8.14E8          1.36E8          8.05E8          8.98E7          0.545   8.92    9.12    8.83    8.88    8.85    8.9     9.01    8.95    8.8     8.91    8.84    8.81    8.85    8.81    8.98    9.04    8.99    8.95    0.09411182327153067    
  124804   53.0256559   -27.7054757   24.678   -1.7999999997186933E-6   -4.700000001633953E-6    0.026    29.2      29.2      26812    53.0256577   -27.705471    24.65    34.96     0        0        0.0    0      0.666    -99.0    -99     -99     0.666   0.61    0.72    0.55    0.78    -99.0   1.25E8          1.6E7           1.14E8          1.61E7          0.253   8.12    8.39    8.11    8.21    8.03    8.11    8.15    7.99    8.04    8.11    8.12    8.14    8.03    8.1     7.99    7.99    7.98    7.98    0.01786617729234368    
  121941   53.0259906   -27.7119402   23.931   1.0999999986438525E-6    5.999999999062311E-7     0.02     41.5      41.5      23405    53.0259895   -27.7119408   23.91    46.92     0        0        0.0    0      0.52     1.0287   2       42      0.52    0.47    0.57    0.42    0.62    -99.0   1.88E8          3.05E7          1.73E8          1.03E7          0.585   8.33    8.41    8.3     8.38    8.26    8.13    8.36    8.24    8.25    8.21    8.27    8.26    8.38    8.24    8.27    8.28    8.26    8.24    0.004117773510598928   
  128294   53.0266301   -27.6977562   24.562   3.499999998268777E-6     -8.000000001118224E-6    0.03     171.0     171.0     26205    53.0266266   -27.6977482   24.09    29.72     0        0        0.0    0      0.68     -99.0    -99     -99     0.68    0.62    0.74    0.57    0.8     -99.0   4.04E8          7.59E7          3.84E8          3.36E7          0.544   8.69    9.06    8.51    8.5     8.59    8.51    8.7     8.62    8.53    8.55    8.54    8.52    8.58    8.52    8.6     8.6     8.64    8.62    0.030885280688463513   
  119029   53.0272326   -27.7164259   24.586   1.4700000001255376E-5    -1.2399999999246347E-5   0.035    21.9      21.6      22772    53.0272179   -27.7164135   24.79    25.9      0        0        0.35   0      3.569    3.605    2       100     3.569   3.47    3.68    3.39    3.82    -99.0   4.5699999E9     7.5E8           5.48E9          4.39E8          0.263   9.74    9.7     9.55    9.87    9.71    9.64    9.72    9.71    9.59    9.77    9.61    9.73    9.54    9.66    9.69    9.71    9.69    9.68    0.06471060767987488    
  127442   53.0274432   -27.6998047   25.041   3.0000000350582923E-7    1.2999999999152578E-5    0.039    52.5      52.5      26199    53.0274429   -27.6998177   24.96    18.84     0        0        0.0    0      3.782    -99.0    -99     -99     3.782   3.65    3.91    3.51    4.02    -99.0   3.6E9           1.2E9           2.5E9           7.99E8          0.546   9.7     9.78    9.4     9.8     9.34    9.4     9.69    9.57    9.63    9.4     9.44    9.38    9.51    9.38    9.58    9.57    9.55    9.56    0.04680976787781885    
  122729   53.0275348   -27.7104334   24.987   -3.02000000047542E-5     -7.099999997706163E-6    0.036    31.4      31.3      23285    53.027565    -27.7104263   24.86    24.66     0        0        0.36   0      0.837    -99.0    -99     -99     0.837   0.76    0.92    0.68    0.98    -99.0   2.35E8          5.4E7           2.39E8          9320000.0       0.333   8.49    8.46    8.33    8.46    8.36    8.23    8.49    8.38    8.28    8.4     8.36    8.35    8.43    8.3     8.38    8.38    8.4     8.38    0.09958679081272762    
  118874   53.027557    -27.7178795   25.728   -3.84999999951674E-5     -1.069999999714355E-5    0.071    10.8      10.5      22572    53.0275955   -27.7178688   25.11    18.75     0        0        0.35   0      0.797    -99.0    -99     -99     0.797   0.69    0.91    0.57    1.08    -99.0   1.91E8          2.22E7          1.94E8          2.64E7          0.406   8.31    8.71    8.26    8.29    -99.0   8.26    8.34    8.24    8.19    8.33    8.33    8.23    8.3     8.33    8.26    8.26    8.27    8.24    0.12860001658747316    
  125585   53.0278132   -27.7026751   25.122   2.689999999461179E-5     -5.550000000198452E-5    0.071    234.0     138.0     26487    53.0277863   -27.7026196   24.4     18.94     0        0        0.35   0      0.09     -99.0    -99     -99     0.09    0.05    0.13    0.02    0.3     -99.0   3260000.0       3220000.0       7170000.0       4950000.0       0.951   6.41    6.45    6.6     6.45    7.03    6.43    6.38    -99.0   6.45    6.56    6.69    6.59    6.52    6.41    -99.0   -99.0   -99.0   -99.0   0.21741962042272636    
  128114   53.0279589   -27.6978824   23.53    -1.0500000001911758E-5   -2.600000001962144E-6    0.015    86.0      35.6      25874    53.0279694   -27.6978798   23.33    62.68     0        0        0.0    0      0.3331   0.3331   1       1       0.383   0.33    0.44    0.28    0.49    -99.0   1.62E8          1.39E7          1.55E8          2270000.0       0.248   8.21    8.58    8.26    8.12    8.2     8.21    8.28    8.18    8.2     8.19    8.33    8.21    8.15    8.2     -99.0   8.25    8.19    8.18    0.034752726848803914   
  128916   53.02851     -27.696745    25.338   -8.700000002193065E-6    -3.899999999390502E-6    0.043    47.9      47.9      25913    53.0285187   -27.6967411   24.62    26.16     0        0        0.01   0      1.412    -99.0    -99     -99     1.412   1.35    1.93    1.16    2.43    -99.0   2.36E8          1.11E8          1.56E8          5.58E7          0.568   8.65    8.28    8.35    8.65    8.31    8.37    8.65    8.3     8.4     8.02    8.37    8.34    8.56    8.33    8.39    8.3     8.3     8.4     0.031082948715903405   
  124377   53.0286496   -27.7021026   20.804   -6.3999999966313226E-6   3.899999999390502E-6     0.0040   556.0     256.0     26313    53.028656    -27.7021065   19.98    608.77    0        0        0.03   0      0.286    0.286    1       2       0.298   0.24    0.35    0.19    0.41    -99.0   5.0099999E9     1.46E9          6.3900001E9     2.24E9          0.141   9.68    10.21   9.91    9.64    9.72    9.63    9.76    9.63    9.57    9.93    9.93    9.81    9.64    9.71    -99.0   9.85    9.64    9.63    0.024763761630960383   
  121073   53.0288432   -27.713744    24.93    -1.1200000002986599E-5   -8.399999998687235E-6    0.036    23.4      22.5      23644    53.0288544   -27.7137356   23.83    64.41     0        0        0.0    0      2.03     -99.0    -99     -99     2.03    1.97    2.09    1.88    2.15    -99.0   4.8099999E9     1.51E9          4.8700001E9     2.43000013E9    0.205   9.74    9.46    9.84    9.63    9.39    9.56    9.78    9.63    9.67    9.86    9.81    9.92    9.61    9.49    9.55    9.55    9.61    9.63    0.046782051211443104   
  119941   53.0289544   -27.7155491   24.668   2.7600000002792058E-5    4.199999999343618E-6     0.036    23.2      22.9      24132    53.0289268   -27.7155533   24.12    40.77     0        0        0.0    0      0.517    -99.0    -99     -99     0.517   0.46    0.57    0.39    0.63    -99.0   2.66E8          3.74E7          2.58E8          3.54E7          0.716   8.42    8.62    8.53    8.25    8.47    8.37    8.43    8.42    8.36    8.35    8.67    8.34    8.25    8.28    8.43    8.47    8.43    8.42    0.08925024460404989    
  122023   53.0296665   -27.7110636   25.099   1.100000000064938E-5     -2.099999999671809E-6    0.044    29.1      27.8      23276    53.0296555   -27.7110615   24.47    39.46     0        0        0.0    0      1.037    -99.0    -99     -99     1.037   0.97    1.11    0.89    1.18    -99.0   6.14E8          9.44E7          5.88E8          9.36E7          0.273   8.8     8.92    8.84    8.74    8.72    8.78    8.9     8.75    8.74    8.85    8.89    8.85    8.72    8.72    8.75    8.77    8.73    8.71    0.03586389918523943    
  123466   53.0297698   -27.7080668   22.417   -3.900000002943216E-6    9.999999761589606E-8     0.0080   324.0     323.0     23198    53.0297737   -27.7080669   22.3     192.78    0        0        0.03   0      0.298    0.2151   2       41      0.298   0.25    0.35    0.21    0.4     -99.0   2.79E8          2.64E7          2.76E8          2.85E7          0.435   8.47    8.59    8.41    8.53    8.38    8.47    8.5     8.44    8.42    8.47    8.51    8.46    8.52    8.46    8.51    8.56    8.46    8.44    0.012435219627292477   
  127411   53.0297859   -27.6994257   22.846   -1.069999999714355E-5    -9.999999974752427E-7    0.011    295.0     295.0     26182    53.0297966   -27.6994247   22.52    113.93    0        0        0.0    0      0.4195   0.4195   1       112     0.428   0.38    0.48    0.32    0.52    -99.0   6.64E8          7.26E7          6.65E8          1.34E8          0.243   8.87    9.16    8.77    8.69    8.84    8.77    8.88    8.81    8.78    8.64    9.0     8.76    8.79    8.81    -99.0   8.83    8.82    8.81    0.03429501423443325    
  119158   53.0299931   -27.7164382   25.039   -5.700000002661909E-6    -9.399999999715192E-6    0.039    28.2      27.1      22768    53.0299988   -27.7164288   24.39    41.73     0        0        0.0    0      2.309    -99.0    -99     -99     2.309   2.22    2.4     2.09    2.49    -99.0   1.84E9          3.98E8          1.63E9          1.88E8          0.321   9.33    8.96    9.27    9.27    9.26    9.15    9.41    9.16    9.29    9.19    9.35    9.36    9.24    9.28    9.17    9.17    9.17    9.16    0.038407453261484356   
  125637   53.030203    -27.7038386   23.927   -2.4699999997324085E-5   1.1199999999433885E-5    0.016    51.2      51.2      22903    53.0302277   -27.7038498   22.98    155.04    0        0        0.89   0      0.467    -99.0    -99     -99     0.467   0.39    5.51    0.05    9.06    -99.0   2.07E9          5.03E8          2.22E9          5.36E8          0.41    9.04    9.44    9.35    9.62    9.43    9.32    9.33    9.21    9.32    9.35    9.34    8.3     9.73    9.31    9.14    9.03    9.21    9.2     0.08845084979223913    
  128422   53.030315    -27.6965966   24.686   1.8699999998261774E-5    5.300000001540184E-6     0.044    227.0     226.0     25902    53.0302963   -27.6966019   24.24    24.13     0        0        0.22   0      1.078    -99.0    -99     -99     1.078   1.02    1.14    0.95    1.2     -99.0   7.94E8          1.83E8          7.31E8          8.0E7           0.384   8.97    8.98    8.96    8.94    8.82    8.69    9.0     8.84    8.88    8.91    8.9     8.93    8.95    8.81    8.84    8.82    8.84    8.84    0.06258584454511093    
  123270   53.0307125   -27.708926    25.727   2.330000000227983E-5     -1.6000000002236447E-5   0.06     22.7      19.7      23302    53.0306892   -27.70891     25.97    13.33     0        0        0.35   0      0.984    -99.0    -99     -99     0.984   0.88    1.09    0.76    1.2     -99.0   9.77E7          1.65E7          7.88E7          1.8E7           0.357   7.99    8.36    8.05    8.09    7.9     8.05    8.07    7.89    7.97    8.04    7.98    8.06    7.99    7.98    7.89    7.89    7.87    7.86    0.09398094821977494    
  129355   53.0307714   -27.6949522   23.492   -5.600000001493299E-6    3.5999999994373866E-6    0.015    24.6      24.5      25659    53.030777    -27.6949558   23.0     53.47     0        0        0.01   0      0.883    0.8611   2       1       0.883   0.83    0.94    0.77    0.99    -99.0   1.43E9          2.82E8          1.4E9           3.73E7          0.315   9.28    9.36    9.13    9.16    9.13    9.03    9.25    9.15    9.16    9.15    9.08    9.07    9.15    9.07    9.13    9.11    9.18    9.15    0.02205894327932122    
  115946   53.0307761   -27.7227346   23.243   -4.700000005186666E-6    -2.099999999671809E-6    0.014    49.9      47.1      22073    53.0307808   -27.7227325   23.12    82.87     0        0        0.0    0      0.312    0.669    2       101     0.312   0.26    0.36    0.21    0.42    -99.0   1.67E8          2.49E7          1.71E8          1.41E7          0.262   8.24    8.96    8.32    8.15    8.25    8.14    8.28    8.2     8.16    8.27    8.31    8.26    8.15    8.22    8.27    8.33    8.21    8.2     0.016777551807187124   
  127227   53.0310801   -27.6999472   24.278   -2.1100000004992125E-5   5.899999997893701E-6     0.03     37.7      37.1      26051    53.0311012   -27.6999531   24.23    28.76     0        0        0.31   0      0.744    -99.0    -99     -99     0.744   0.69    0.8     0.64    0.87    -99.0   3.1E8           4.62E7          3.27E8          2.11E7          0.255   8.53    8.51    8.52    8.42    8.49    8.39    8.56    8.5     8.39    8.54    8.49    8.48    8.42    8.48    8.51    8.53    8.51    8.5     0.07052878475317097    
