# These galaxies are in the GOODS-S field.
# pearsid pearsra pearsdec matchid matchra matchdec source zphot zphot_l68 zphot_u68
126570 53.020662 -27.700813 26496 53.020664 -27.700830 CANDELS 2.0970 2.0200 2.1800
127114 53.021293 -27.700948 26184 53.021332 -27.700951 CANDELS 0.2130 0.1000 0.3400
126406 53.022116 -27.701411 26239 53.022125 -27.701408 CANDELS 0.8580 0.8000 0.9100
126627 53.022833 -27.701822 26076 53.022831 -27.701845 CANDELS 3.0270 2.8700 3.2300
119439 53.023645 -27.714864 23856 53.023643 -27.714882 CANDELS 1.2120 1.1600 1.2700
127681 53.023802 -27.699486 26266 53.023807 -27.699484 CANDELS 1.3160 1.2400 1.3900
126585 53.024636 -27.701992 23011 53.024647 -27.702017 CANDELS 2.6820 2.6100 2.7600
124804 53.025656 -27.705476 26812 53.025658 -27.705471 CANDELS 0.6660 0.6100 0.7200
121941 53.025991 -27.711940 23405 53.025990 -27.711941 CANDELS 0.5200 0.4700 0.5700
128294 53.026630 -27.697756 26205 53.026627 -27.697748 CANDELS 0.6800 0.6200 0.7400
119029 53.027233 -27.716426 22772 53.027218 -27.716414 CANDELS 3.5690 3.4700 3.6800
127442 53.027443 -27.699805 26199 53.027443 -27.699818 CANDELS 3.7820 3.6500 3.9100
122729 53.027535 -27.710433 23285 53.027565 -27.710426 CANDELS 0.8370 0.7600 0.9200
118874 53.027557 -27.717879 22572 53.027595 -27.717869 CANDELS 0.7970 0.6900 0.9100
125585 53.027813 -27.702675 26487 53.027786 -27.702620 CANDELS 0.0900 0.0500 0.1300
128114 53.027959 -27.697882 25874 53.027969 -27.697880 CANDELS 0.3830 0.3300 0.4400
128916 53.028510 -27.696745 25913 53.028519 -27.696741 CANDELS 1.4120 1.3500 1.9300
124377 53.028650 -27.702103 26313 53.028656 -27.702106 CANDELS 0.2980 0.2400 0.3500
121073 53.028843 -27.713744 23644 53.028854 -27.713736 CANDELS 2.0300 1.9700 2.0900
119941 53.028954 -27.715549 24132 53.028927 -27.715553 CANDELS 0.5170 0.4600 0.5700
122023 53.029666 -27.711064 23276 53.029655 -27.711061 CANDELS 1.0370 0.9700 1.1100
123466 53.029770 -27.708067 23198 53.029774 -27.708067 CANDELS 0.2980 0.2500 0.3500
127411 53.029786 -27.699426 26182 53.029797 -27.699425 CANDELS 0.4280 0.3800 0.4800
119158 53.029993 -27.716438 22768 53.029999 -27.716429 CANDELS 2.3090 2.2200 2.4000
125637 53.030203 -27.703839 22903 53.030228 -27.703850 CANDELS 0.4670 0.3900 5.5100
128422 53.030315 -27.696597 25902 53.030296 -27.696602 CANDELS 1.0780 1.0200 1.1400
123270 53.030712 -27.708926 23302 53.030689 -27.708910 CANDELS 0.9840 0.8800 1.0900
129355 53.030771 -27.694952 25659 53.030777 -27.694956 CANDELS 0.8830 0.8300 0.9400
115946 53.030776 -27.722735 22073 53.030781 -27.722732 CANDELS 0.3120 0.2600 0.3600
127227 53.031080 -27.699947 26051 53.031101 -27.699953 CANDELS 0.7440 0.6900 0.8000
128937 53.031085 -27.696560 26021 53.031056 -27.696569 CANDELS 0.6400 0.5600 0.7100
125235 53.031141 -27.704860 26696 53.031143 -27.704872 CANDELS 0.5590 0.4300 0.6900
122485 53.031159 -27.710040 23381 53.031158 -27.710031 CANDELS 2.0260 1.9500 2.1000
126285 53.031247 -27.701507 26293 53.031254 -27.701511 CANDELS 1.4640 1.3500 1.5700
127433 53.031356 -27.699164 26269 53.031357 -27.699161 CANDELS 0.2800 0.2000 0.3600
118339 53.031546 -27.718565 22496 53.031548 -27.718561 CANDELS 0.6050 0.5300 0.6800
127783 53.031575 -27.698526 26090 53.031574 -27.698523 CANDELS 0.5980 0.5300 0.6600
123517 53.031588 -27.707238 22917 53.031548 -27.707273 CANDELS 2.0250 1.9700 2.0700
124826 53.031786 -27.705306 26831 53.031780 -27.705324 CANDELS 1.3010 1.2200 1.3800
118407 53.032042 -27.718933 22415 53.032051 -27.718918 CANDELS 0.2880 0.2100 0.3600
126821 53.032348 -27.701693 26282 53.032368 -27.701694 CANDELS 0.6620 0.5300 0.7300
128537 53.032464 -27.697082 26528 53.032467 -27.697071 CANDELS 0.6860 0.6200 0.7500
123958 53.032634 -27.707521 23144 53.032650 -27.707539 CANDELS 2.2240 2.0100 2.3500
118892 53.032812 -27.715417 23817 53.032803 -27.715408 CANDELS 0.9710 0.9200 1.0300
115733 53.032938 -27.723352 21982 53.032936 -27.723341 CANDELS 0.3550 0.2400 0.4600
118984 53.033091 -27.717330 22652 53.033081 -27.717339 CANDELS 3.8710 0.5500 4.0100
125687 53.033122 -27.703374 26446 53.033127 -27.703369 CANDELS 0.6540 0.5900 0.7200
121081 53.033138 -27.713424 23791 53.033127 -27.713394 CANDELS 2.2690 2.1500 2.4000
126270 53.033235 -27.702720 26445 53.033241 -27.702724 CANDELS 2.8110 2.7300 2.9100
117674 53.033256 -27.710969 23189 53.033253 -27.710966 CANDELS 0.5890 0.5500 0.6500
122669 53.033499 -27.705838 26534 53.033501 -27.705837 CANDELS 0.7220 0.6800 0.7700
125952 53.033512 -27.701204 26345 53.033504 -27.701220 CANDELS 1.0770 1.0300 1.1300
117954 53.033614 -27.719297 22443 53.033619 -27.719257 CANDELS 1.5840 1.4900 1.7000
122700 53.033664 -27.710485 23241 53.033657 -27.710484 CANDELS 0.6740 0.6400 4.9300
119216 53.033695 -27.716973 22706 53.033707 -27.716972 CANDELS 0.4570 0.3900 0.5300
124628 53.033701 -27.705066 26474 53.033714 -27.705071 CANDELS 2.0350 2.0000 2.0700
119535 53.033723 -27.716575 22747 53.033745 -27.716570 CANDELS 2.0130 1.9200 2.1000
122795 53.033814 -27.709877 23431 53.033806 -27.709879 CANDELS 0.6260 0.5600 0.6900
126894 53.033847 -27.694556 25612 53.033863 -27.694567 CANDELS 0.2800 0.2300 3.9800
124217 53.033909 -27.706979 25977 53.033928 -27.706963 CANDELS 1.9830 1.9000 2.0700
121434 53.033961 -27.711766 23360 53.033970 -27.711760 CANDELS 1.1860 0.1000 1.2500
121816 53.034045 -27.711273 23465 53.034046 -27.711243 CANDELS 2.2520 2.1700 2.3300
122434 53.034112 -27.710955 42656 53.034072 -27.710980  3DHST  0.0680 -99.0000 -99.0000
122408 53.034334 -27.710606 23231 53.034359 -27.710615 CANDELS 1.2040 1.1400 2.0800
124882 53.034396 -27.704673 26692 53.034397 -27.704674 CANDELS 0.6250 0.5600 0.6900
128281 53.034442 -27.698214 25879 53.034447 -27.698210 CANDELS 2.4030 2.2500 2.5600
125493 53.034473 -27.703264 26355 53.034485 -27.703274 CANDELS 1.7650 1.6900 1.8400
125142 53.034813 -27.704721 26492 53.034836 -27.704722 CANDELS 0.0520 0.0300 0.0900
116983 53.034850 -27.719461 22492 53.034866 -27.719465 CANDELS 1.2310 1.1700 1.2900
122362 53.035060 -27.708701 23016 53.035061 -27.708702 CANDELS 0.5120 0.4600 0.5600
124506 53.035090 -27.705992 26494 53.035111 -27.705973 CANDELS 0.0490 0.0300 0.0700
119996 53.035127 -27.713101 23657 53.035118 -27.713112 CANDELS 0.1170 0.0900 0.1500
120895 53.035146 -27.712073 23641 53.035141 -27.712072 CANDELS 0.4200 0.3600 0.4800
126478 53.035188 -27.696088 25761 53.035187 -27.696085 CANDELS 0.6970 0.6500 0.7400
126846 53.035355 -27.701451 26250 53.035370 -27.701448 CANDELS 0.6360 0.5400 0.7300
125595 53.035390 -27.703926 22886 53.035370 -27.703930 CANDELS 0.0420 0.0300 2.0700
122722 53.035556 -27.704930 26500 53.035557 -27.704929 CANDELS 0.6790 0.6300 0.7300
122743 53.035629 -27.708642 23106 53.035633 -27.708639 CANDELS 0.0630 0.0200 0.1600
125464 53.035748 -27.703782 44240 53.035744 -27.703781  3DHST  2.2102 -99.0000 -99.0000
124451 53.036007 -27.705853 26484 53.036018 -27.705889 CANDELS 0.0590 0.0400 0.0800
124807 53.036023 -27.704059 26580 53.036030 -27.704060 CANDELS 0.6630 0.5800 0.7400
123369 53.036093 -27.707798 22994 53.036133 -27.707771 CANDELS 0.7930 0.7200 0.8600
120554 53.036102 -27.713931 23565 53.036099 -27.713938 CANDELS 1.9870 1.9200 2.0500
119094 53.036180 -27.716682 22790 53.036179 -27.716688 CANDELS 1.3620 1.2700 1.4600
120561 53.036229 -27.713473 23477 53.036232 -27.713484 CANDELS 2.1440 2.0700 2.5600
117690 53.036332 -27.719377 22395 53.036339 -27.719379 CANDELS 0.3780 0.2900 0.4500
121102 53.036371 -27.712981 23893 53.036320 -27.713043 CANDELS 2.3730 2.2500 2.4900
118863 53.036431 -27.717624 22591 53.036430 -27.717634 CANDELS 0.7690 0.7000 0.8400
120279 53.036498 -27.714966 24043 53.036491 -27.714970 CANDELS 2.7600 2.6700 2.8400
120461 53.036704 -27.713730 23551 53.036766 -27.713781 CANDELS 2.4650 2.3900 2.5300
120836 53.036825 -27.713841 23551 53.036766 -27.713781 CANDELS 2.4650 2.3900 2.5300
128544 53.036907 -27.697083 26201 53.036884 -27.697104 CANDELS 0.6080 0.5400 0.6800
123294 53.037080 -27.706200 23093 53.037087 -27.706209 CANDELS 0.6220 0.5700 0.6800
112715 53.037086 -27.728979 21323 53.037094 -27.728979 CANDELS 0.2990 0.2200 0.3700
128012 53.037191 -27.698803 26619 53.037209 -27.698805 CANDELS 0.8040 0.7200 0.8900
124288 53.037192 -27.706771 26752 53.037182 -27.706776 CANDELS 0.7230 0.6400 0.8100
129089 53.037436 -27.696296 25798 53.037441 -27.696295 CANDELS 0.0890 0.0500 0.1300
113492 53.037611 -27.727232 21499 53.037647 -27.727240 CANDELS 2.5570 2.4700 2.6400
123430 53.037697 -27.708600 23214 53.037682 -27.708551 CANDELS 1.1330 1.0400 1.2300
