# pearsid field imag netsig specz specz_source specz_qual
74236 GOODS-N 24.2990 41.50 0.627 Barger_ACS Z
75943 GOODS-N 23.0460 70.60 0.794 Barger_ACS Z
75762 GOODS-N 21.1100 443.00 0.794 Barger_ACS Z
70857 GOODS-N 21.3260 397.00 0.680 Barger_K Z
53606 GOODS-N 23.9500 140.00 0.879 Barger_K Z
73058 GOODS-N 22.5250 234.00 0.761 Wirth_2004 4
75413 GOODS-N 23.3420 156.00 0.864 Barger_K Z
54282 GOODS-N 23.0900 157.00 1.016 Barger_ACS Z
72938 GOODS-N 23.9880 113.00 0.679 Barger_ACS Z
82177 GOODS-N 23.1260 278.00 0.682 Wirth_2004 4
87000 GOODS-N 22.2520 246.00 0.853 Barger_K Z
53362 GOODS-N 23.3420 132.00 1.141 Barger_K Z
52829 GOODS-N 23.6260 105.00 1.143 Barger_K Z
84978 GOODS-N 22.7670 213.00 0.836 Barger_UV Z
36708 GOODS-N 21.6190 243.00 0.764 Barger_UV Z
35853 GOODS-N 23.2250 87.50 1.011 Barger_K Z
47126 GOODS-N 23.8430 106.00 0.912 Barger_K Z
46564 GOODS-N 24.6610 60.60 1.223 Barger_ACS Z
78475 GOODS-N 23.3350 187.00 0.854 Barger_K Z
37495 GOODS-N 23.7310 117.00 0.934 Barger_K Z
60092 GOODS-N 22.3710 282.00 0.680 Wirth_2015 4
52998 GOODS-N 22.5720 245.00 0.962 Barger_ACS Z
43204 GOODS-N 23.5050 95.80 1.014 Barger_K Z
63227 GOODS-N 21.7200 282.00 0.846 Barger_UV Z
33414 GOODS-N 23.4280 69.70 1.016 Barger_ACS Z
47355 GOODS-N 21.5590 409.00 0.779 Barger_K Z
41759 GOODS-N 25.9170 15.40 0.840 Barger_ACS Z
53711 GOODS-N 24.0130 68.30 1.011 Barger_K Z
41982 GOODS-N 25.4830 20.20 0.840 Barger_ACS Z
64339 GOODS-N 24.3440 87.00 0.960 Barger_K Z
91073 GOODS-N 21.6930 589.00 0.852 Barger_K Z
92291 GOODS-N 21.8840 383.00 0.943 Barger_ACS Z
86203 GOODS-N 22.3240 266.00 0.841 Barger_ACS Z
79351 GOODS-N 23.8210 96.20 1.221 Barger_UV Z
40998 GOODS-N 23.0170 135.00 1.017 Barger_ACS Z
84520 GOODS-N 21.7550 463.00 0.857 Barger_ACS Z
58856 GOODS-N 22.4080 288.00 0.635 Barger_K Z
75653 GOODS-N 23.2810 187.00 0.849 Barger_K Z
80348 GOODS-N 23.2050 190.00 0.632 Barger_ACS Z
70156 GOODS-N 23.0290 145.00 0.966 Barger_ACS Z
94812 GOODS-N 21.6590 364.00 0.682 Barger_UV Z
83237 GOODS-N 22.1900 405.00 0.904 Barger_K Z
42430 GOODS-N 23.4480 131.00 1.005 Barger_ACS Z
56019 GOODS-N 22.2990 233.00 1.144 Barger_24m Z
41540 GOODS-N 23.4690 84.90 0.934 Barger_UV Z
61291 GOODS-N 23.0050 264.00 1.011 Barger_K Z
50670 GOODS-N 22.2330 320.00 0.608 Barger_K Z
28271 GOODS-N 21.5090 326.00 0.636 Barger_K Z
88679 GOODS-N 22.5080 277.00 0.849 Barger_ACS Z
94941 GOODS-N 25.2630 40.80 0.849 Barger_ACS Z
79185 GOODS-N 21.3650 551.00 0.848 Barger_ACS Z
85073 GOODS-N 23.1430 186.00 0.843 Barger_K Z
32497 GOODS-N 22.2040 297.00 0.935 Barger_K Z
48189 GOODS-N 22.3880 358.00 1.017 Barger_K Z
91947 GOODS-N 23.9490 122.00 0.849 Barger_ACS Z
28029 GOODS-N 22.3210 73.70 0.748 Barger_K Z
39728 GOODS-N 23.4290 142.00 0.765 Barger_K Z
48216 GOODS-N 23.2070 128.00 1.009 Barger_ACS Z
36944 GOODS-N 22.4890 317.00 0.874 Barger_UV Z
63419 GOODS-N 23.0820 177.00 1.016 Barger_ACS Z
63526 GOODS-N 23.4440 214.00 1.016 Barger_ACS Z
88566 GOODS-N 23.1890 233.00 0.850 Barger_ACS Z
36639 GOODS-N 22.8250 181.00 0.937 Barger_ACS Z
72986 GOODS-N 23.6840 102.00 0.939 Barger_UV Z
94262 GOODS-N 23.5790 144.00 0.851 Barger_ACS Z
61065 GOODS-N 23.8280 131.00 0.846 Barger_K Z
88858 GOODS-N 23.2780 132.00 0.854 Barger_K Z
42014 GOODS-N 22.8790 204.00 0.845 Barger_UV Z
76405 GOODS-N 23.1130 136.00 0.697 Barger_K Z
89993 GOODS-N 22.3660 247.00 0.870 Barger_K Z
53471 GOODS-N 21.8090 498.00 0.846 Barger_ACS Z
87585 GOODS-N 21.2110 492.00 0.851 Barger_K Z
45026 GOODS-N 22.5760 233.00 1.007 Wirth_2004 3
62376 GOODS-N 23.4070 158.00 0.904 Barger_K Z
89514 GOODS-N 22.6460 219.00 0.851 Barger_ACS Z
79928 GOODS-N 22.6350 238.00 0.847 Barger_K Z
50422 GOODS-N 22.6900 232.00 0.751 Barger_K Z
43618 GOODS-N 20.9040 880.00 0.768 Barger_K Z
87911 GOODS-N 23.2440 114.00 1.014 Barger_ACS Z
39842 GOODS-N 22.9330 211.00 0.845 Barger_UV Z
54327 GOODS-N 23.3380 125.00 0.874 Barger_K Z
40991 GOODS-N 21.4790 556.00 1.013 Barger_ACS Z
87433 GOODS-N 22.1670 321.00 0.747 Barger_K Z
46766 GOODS-N 23.3150 149.00 0.968 Barger_ACS Z
79903 GOODS-N 22.2720 313.00 0.682 Barger_K Z
72684 GOODS-N 23.4470 113.00 1.224 Barger_ACS Z
36105 GOODS-N 22.3960 273.00 0.931 Barger_ACS Z
48229 GOODS-N 23.6740 88.40 0.679 Barger_K Z
44562 GOODS-N 21.5040 303.00 1.016 Barger_K Z
77715 GOODS-N 21.9910 311.00 0.851 Wirth_2004 4
80411 GOODS-N 22.6730 259.00 0.850 Barger_ACS Z
36418 GOODS-N 23.1110 163.00 0.940 Barger_K Z
68612 GOODS-N 23.6220 192.00 0.610 Barger_K Z
62388 GOODS-N 23.7580 108.00 0.964 Barger_ACS Z
46914 GOODS-N 24.0390 74.10 0.912 Barger_ACS Z
56190 GOODS-N 23.9420 85.80 0.681 Barger_ACS Z
84626 GOODS-N 23.2940 102.00 0.849 Barger_UV Z
35156 GOODS-N 22.6200 198.00 1.223 Barger_24m Z
76098 GOODS-N 22.1020 493.00 0.938 Barger_ACS Z
50518 GOODS-N 24.5990 58.80 1.066 Barger_ACS Z
54992 GOODS-N 23.5640 111.00 0.682 Wirth_2015 1
51003 GOODS-N 22.4630 264.00 0.954 Barger_ACS Z
47252 GOODS-N 23.3840 199.00 0.963 Barger_K Z
66753 GOODS-N 21.8680 567.00 0.752 Barger_UV Z
51485 GOODS-N 24.3780 58.90 0.961 Barger_ACS Z
83432 GOODS-N 23.7910 67.20 0.941 Barger_ACS Z
82267 GOODS-N 22.8330 197.00 0.942 Barger_K Z
52241 GOODS-N 24.2960 79.30 1.204 Barger_ACS Z
48650 GOODS-N 22.5690 287.00 0.906 Barger_ACS Z
69850 GOODS-N 23.2100 125.00 0.818 Barger_UV Z
59723 GOODS-N 22.7240 143.00 0.849 Barger_K Z
37044 GOODS-N 24.0140 87.40 1.226 Barger_ACS Z
94851 GOODS-N 23.4280 57.60 0.955 Barger_ACS Z
52097 GOODS-N 24.3000 71.00 1.224 Barger_ACS Z
80966 GOODS-N 23.8460 137.00 1.013 Barger_K Z
94097 GOODS-N 23.7860 69.00 0.761 Barger_UV Z
41093 GOODS-N 23.1280 134.00 0.889 Barger_UV Z
54598 GOODS-N 20.9830 787.00 0.642 Wirth_2015 4
78300 GOODS-N 22.7740 234.00 0.849 Barger_K Z
91800 GOODS-N 22.3880 189.00 0.942 Wirth_2004 4
47110 GOODS-N 24.3060 87.40 1.020 Barger_UV Z
42509 GOODS-N 23.7510 82.90 0.680 Barger_ACS Z
58084 GOODS-N 23.7820 140.00 0.955 Barger_ACS Z
97070 GOODS-N 23.5850 86.70 0.941 Barger_K Z
57792 GOODS-N 22.4130 310.00 0.955 Barger_ACS Z
52460 GOODS-N 21.9920 356.00 0.791 Barger_UV Z
55011 GOODS-N 23.3640 82.60 0.953 Barger_K Z
79945 GOODS-N 23.7010 105.00 0.749 Barger_K Z
81513 GOODS-N 24.0230 93.30 0.850 Barger_K Z
50799 GOODS-N 22.6800 240.00 0.954 Barger_ACS Z
47814 GOODS-N 21.2050 737.00 0.670 Wirth_2015 1
44286 GOODS-N 23.2410 170.00 1.013 Barger_K Z
95017 GOODS-N 23.7010 121.00 0.836 Barger_ACS Z
74987 GOODS-N 22.1180 304.00 0.849 Barger_K Z
44746 GOODS-N 23.1060 220.00 0.680 Barger_UV Z
90536 GOODS-N 22.5730 195.00 1.017 Barger_ACS Z
50196 GOODS-N 23.3250 169.00 1.019 Barger_K Z
51587 GOODS-N 23.3710 167.00 0.682 Barger_ACS Z
105095 GOODS-N 23.1540 103.00 0.943 Barger_K Z
47561 GOODS-N 21.9530 345.00 0.852 Barger_K Z
46351 GOODS-N 22.8520 223.00 1.021 Barger_K Z
99452 GOODS-N 21.6160 597.00 0.660 Barger_K Z
85920 GOODS-N 22.3310 186.00 1.014 Barger_K Z
86967 GOODS-N 22.7600 140.00 0.913 Barger_ACS Z
88211 GOODS-N 22.4710 176.00 0.914 Barger_K Z
86439 GOODS-N 23.9130 51.10 0.941 Barger_ACS Z
70833 GOODS-N 23.3350 72.90 0.899 Barger_K Z
71893 GOODS-N 23.7500 51.30 0.839 Barger_UV Z
107010 GOODS-N 22.4170 177.00 0.942 Barger_K Z
52146 GOODS-N 24.0110 67.30 0.971 Barger_UV Z
51834 GOODS-N 24.2380 71.20 1.190 Barger_ACS Z
77103 GOODS-N 22.0020 180.00 0.938 Barger_UV Z
106551 GOODS-N 23.6350 138.00 0.840 Barger_K Z
106585 GOODS-N 24.2140 72.00 0.840 Barger_UV Z
92467 GOODS-N 23.4360 145.00 0.744 Barger_K Z
93907 GOODS-N 23.1710 230.00 1.019 Barger_ACS Z
90320 GOODS-N 21.9230 482.00 0.745 Barger_K Z
92570 GOODS-N 22.4220 351.00 0.744 Barger_UV Z
102886 GOODS-N 23.3200 110.00 0.639 Barger_ACS Z
92250 GOODS-N 23.4600 186.00 0.604 Barger_ACS Z
89655 GOODS-N 23.3560 149.00 1.121 Barger_K Z
109851 GOODS-N 23.2910 139.00 0.875 Barger_ACS Z
100703 GOODS-N 23.2060 203.00 0.789 Barger_UV Z
112339 GOODS-N 23.4410 76.80 0.856 Barger_ACS Z
112002 GOODS-N 23.6550 147.00 0.857 Barger_K Z
106613 GOODS-N 23.5160 101.00 0.855 Barger_UV Z
105048 GOODS-N 22.8760 248.00 0.856 Barger_ACS Z
99579 GOODS-N 22.7450 202.00 1.144 Barger_K Z
88929 GOODS-N 22.8170 217.00 0.943 Barger_ACS Z
117418 GOODS-N 23.2240 52.70 0.677 Barger_UV Z
117360 GOODS-N 23.1630 87.00 0.944 Barger_ACS Z
91474 GOODS-N 23.5870 95.60 1.222 Barger_K Z
82254 GOODS-N 23.3140 65.00 0.691 Barger_UV Z
109801 GOODS-N 23.2560 170.00 0.851 Barger_K Z
105902 GOODS-N 23.0830 296.00 0.697 Barger_K Z
84974 GOODS-N 23.5610 76.30 0.935 Barger_ACS Z
117828 GOODS-N 21.9960 262.00 1.145 Barger_UV Z
83170 GOODS-N 23.5070 77.60 0.935 Barger_K Z
94085 GOODS-N 22.7730 318.00 1.142 Barger_K Z
97904 GOODS-N 21.6850 484.00 0.681 Barger_K Z
82986 GOODS-N 22.1120 337.00 0.936 Barger_ACS Z
105709 GOODS-N 23.3070 147.00 1.082 Barger_UV Z
79939 GOODS-N 23.2920 45.30 0.768 Barger_K Z
121439 GOODS-N 22.6420 650.00 0.888 Barger_K Z
79587 GOODS-N 22.2600 189.00 0.857 Wirth_2004 4
117385 GOODS-N 23.9540 143.00 1.224 Barger_ACS Z
114275 GOODS-N 23.4810 223.00 1.027 Barger_ACS Z
100198 GOODS-N 23.5280 90.90 0.942 Barger_UV Z
103094 GOODS-N 22.6080 206.00 0.972 Barger_UV Z
112486 GOODS-N 23.6620 174.00 0.835 Barger_K Z
95449 GOODS-N 23.2370 109.00 0.935 MOSDEF 4
98420 GOODS-N 23.8480 127.00 1.200 Barger_K Z
92316 GOODS-N 23.9930 51.00 0.942 Barger_K Z
124459 GOODS-N 23.5900 128.00 1.020 Barger_ACS Z
81269 GOODS-N 23.3470 99.70 0.842 Barger_ACS Z
93569 GOODS-N 23.6240 57.10 0.858 Barger_UV Z
