# pearsid field imag netsig specz specz_source specz_qual
126406 GOODS-S 23.7540 83.20 0.861 VVDS B
121941 GOODS-S 23.9310 41.50 1.029 VIMOS_10_M B
129355 GOODS-S 23.4920 24.50 0.861 VVDS B
133564 GOODS-S 24.1740 22.40 0.655 VIMOS_10_M A
125952 GOODS-S 23.3610 164.00 1.042 VVDS D
126478 GOODS-S 21.9380 526.00 0.730 PEARS_ETGs Z
131317 GOODS-S 23.4340 82.60 0.969 VVDS B
129741 GOODS-S 22.3610 214.00 0.734 VLT_2008 A
112617 GOODS-S 23.3740 62.90 1.023 VLT_2008 A
113298 GOODS-S 22.1620 320.00 1.010 PEARS_ETGs Z
111030 GOODS-S 24.6580 32.80 1.058 VLT_2008 A
119585 GOODS-S 23.9400 54.10 0.739 VLT_2008 A
111741 GOODS-S 21.6110 343.00 0.998 VLT_2008 A
129968 GOODS-S 23.4970 130.00 0.603 ePEARS_CDF Z
118434 GOODS-S 24.3830 50.70 1.108 VLT_2008 A
118772 GOODS-S 24.9740 27.00 0.884 Morris_201 1
126094 GOODS-S 21.8960 299.00 1.018 VVDS B
119489 GOODS-S 19.8780 1770.00 0.605 CXO-CDFS A
117002 GOODS-S 24.6090 39.30 1.044 VUDS_2015 4
117070 GOODS-S 23.4160 91.30 0.681 VVDS D
132104 GOODS-S 22.7990 178.00 0.818 VVDS B
127226 GOODS-S 22.3500 383.00 0.680 PEARS_ETGs Z
110801 GOODS-S 24.4990 56.60 1.109 VLT_2008 A
124152 GOODS-S 23.6380 106.00 0.846 VVDS C
131716 GOODS-S 23.5980 97.70 1.044 VLT_2008 C
119341 GOODS-S 25.0930 44.40 0.691 ePEARS_CDF Z
118100 GOODS-S 23.1570 171.00 0.644 VVDS B
122766 GOODS-S 23.0090 129.00 0.605 VVDS B
126365 GOODS-S 23.3390 112.00 0.643 VVDS D
134044 GOODS-S 24.1620 57.80 1.127 VLT_2008 A
116653 GOODS-S 23.0770 140.00 0.734 VVDS D
133802 GOODS-S 23.3680 93.30 0.710 VVDS D
108892 GOODS-S 22.6140 138.00 0.958 CXO-CDFS A
123543 GOODS-S 23.1180 137.00 1.087 Morris_201 2
126790 GOODS-S 21.9390 442.00 0.978 Morris_201 3
123802 GOODS-S 24.8410 56.20 1.217 Morris_201 2
135087 GOODS-S 21.0650 666.00 0.682 VVDS B
126762 GOODS-S 24.2020 83.00 1.044 VLT_2008 A
134389 GOODS-S 22.3600 135.00 0.895 VIMOS_10_M A
104774 GOODS-S 21.9540 287.00 0.726 K20 A
132474 GOODS-S 22.7350 192.00 0.683 VVDS B
111108 GOODS-S 25.7840 24.40 0.734 Kurk_2012 A
99452 GOODS-S 25.3840 19.10 0.741 VLT_2008 A
118459 GOODS-S 23.3460 134.00 0.671 VVDS B
106859 GOODS-S 22.2760 330.00 0.738 K20 A
121817 GOODS-S 24.4820 53.60 0.671 ePEARS_CDF Z
115462 GOODS-S 20.7940 1280.00 0.615 VLT_2008 A
93102 GOODS-S 23.8090 66.10 1.225 VLT_2008 A
108145 GOODS-S 24.7530 44.80 1.015 MASTER C
108336 GOODS-S 24.8500 56.90 1.220 VLT_2008 A
123843 GOODS-S 22.4070 293.00 0.613 VVDS D
99490 GOODS-S 24.4280 66.80 0.667 VLT_2008 A
93984 GOODS-S 23.2580 153.00 1.032 Morris_201 3
120898 GOODS-S 24.0970 76.10 1.183 VVDS D
113895 GOODS-S 24.4920 36.00 1.218 VLT_2008 C
116349 GOODS-S 23.8890 102.00 1.215 VLT_2008 A
87259 GOODS-S 22.8250 42.20 0.738 K20 A
125248 GOODS-S 22.7320 23.00 0.936 Morris_201 4
98698 GOODS-S 22.3280 248.00 0.831 K20 A
109073 GOODS-S 22.8710 180.00 1.129 VLT_2008 A
113361 GOODS-S 22.4640 218.00 0.668 VIMOS_10_M A
93370 GOODS-S 22.6630 219.00 0.668 K20 A
95800 GOODS-S 22.9990 181.00 0.724 Morris_201 2
104868 GOODS-S 25.1880 30.60 1.016 VLT_2008 C
90791 GOODS-S 20.7780 505.00 0.670 K20 A
111151 GOODS-S 22.8760 208.00 0.621 VVDS B
100951 GOODS-S 25.3270 25.20 0.738 Kurk_2012 A
108779 GOODS-S 23.3730 53.50 1.135 VLT_2008 A
88671 GOODS-S 21.5950 295.00 0.735 K20 A
115816 GOODS-S 22.9940 85.90 0.951 VLT_2008 C
115794 GOODS-S 22.7380 209.00 1.036 VLT_2008 A
104516 GOODS-S 24.1420 88.50 1.222 VLT_2008 A
101091 GOODS-S 23.9320 77.20 1.084 Morris_201 2
117865 GOODS-S 24.7300 69.40 1.022 VUDS_2015 3
72524 GOODS-S 23.7250 125.00 1.173 VLT_2008 A
29095 GOODS-S 22.3220 111.00 0.641 VVDS B
102547 GOODS-S 23.7180 96.30 1.098 VLT_2008 A
71071 GOODS-S 24.6890 52.00 0.996 K20 A
27994 GOODS-S 24.1440 70.60 0.988 VLT_2008 A
91095 GOODS-S 21.4320 485.00 0.955 K20 A
100572 GOODS-S 22.7870 182.00 0.765 K20 A
72082 GOODS-S 23.0080 288.00 0.664 VLT_2008 A
74166 GOODS-S 24.8470 72.30 0.896 VLT_2008 A
24770 GOODS-S 25.2310 36.40 0.685 MASTER D
14386 GOODS-S 22.9900 113.00 0.658 VVDS B
25184 GOODS-S 23.4850 106.00 0.685 VLT_2008 A
22349 GOODS-S 23.1340 166.00 1.048 VVDS D
66934 GOODS-S 24.3760 69.10 1.036 VVDS D
62440 GOODS-S 24.0960 63.70 1.223 VLT_2008 A
56801 GOODS-S 23.9290 108.00 0.653 ePEARS_CDF Z
105980 GOODS-S 23.1260 166.00 0.677 K20 A
60481 GOODS-S 24.5170 43.50 1.096 VLT_2008 A
109389 GOODS-S 23.6550 102.00 0.839 K20 A
29922 GOODS-S 25.0060 47.10 1.182 VLT_2008 A
34457 GOODS-S 22.6950 132.00 0.782 VVDS B
27974 GOODS-S 22.7520 261.00 0.670 VLT_2008 A
48311 GOODS-S 24.8440 37.70 0.981 VLT_2008 B
109962 GOODS-S 25.6290 17.70 0.839 MASTER D
91228 GOODS-S 24.7330 177.00 1.030 VLT_2008 C
23215 GOODS-S 24.4040 77.70 1.089 VLT_2008 A
48917 GOODS-S 24.7410 32.90 0.734 VUDS_2015 1
88069 GOODS-S 21.6810 988.00 0.764 VLT_IMAG C
57446 GOODS-S 21.5900 536.00 0.989 VIMOS_10_M A
103146 GOODS-S 24.2150 70.40 1.019 K20 A
114267 GOODS-S 25.0730 19.20 0.959 VUDS_2015 1
95997 GOODS-S 25.1260 85.70 0.765 VUDS_2015 2
58346 GOODS-S 25.1310 38.90 1.139 VLT_2008 A
79895 GOODS-S 23.7240 214.00 0.671 VLT_2008 A
43170 GOODS-S 24.0160 82.20 0.693 Morris_201 3
35134 GOODS-S 24.6450 58.70 1.073 VLT_2008 C
78224 GOODS-S 24.8260 86.80 0.663 VLT_2008 A
22153 GOODS-S 24.1480 82.70 0.890 VVDS B
34128 GOODS-S 22.8300 243.00 0.734 VVDS B
56565 GOODS-S 25.0660 37.70 1.188 VLT_2008 C
92376 GOODS-S 24.5230 132.00 0.940 GRAPES_HUD Z
81011 GOODS-S 21.9220 814.00 0.954 FW_7 A
50298 GOODS-S 24.7590 61.70 1.177 VUDS_2015 3
43997 GOODS-S 23.4450 143.00 0.754 VVDS B
47740 GOODS-S 21.7950 351.00 1.015 VLT_2008 A
106652 GOODS-S 25.4600 23.30 0.679 CXO-CDFS A
91382 GOODS-S 24.6420 117.00 1.038 VUDS_2015 2
74060 GOODS-S 21.0520 1950.00 0.650 PEARS_ETGs Z
46284 GOODS-S 23.1250 228.00 0.687 Morris_201 2
46994 GOODS-S 24.2850 74.10 0.668 ePEARS_CDF Z
105820 GOODS-S 23.3140 55.40 0.677 Morris_201 3
44204 GOODS-S 24.3830 46.10 1.036 VLT_2008 A
75971 GOODS-S 25.5790 60.80 0.850 GRAPES_HUD Z
39235 GOODS-S 25.6050 17.70 0.649 VLT_2008 A
29626 GOODS-S 24.8350 59.00 0.853 VLT_2008 A
78415 GOODS-S 21.6820 1360.00 0.667 COMBO-17 A
13499 GOODS-S 21.5350 531.00 0.978 VLT_2008 A
28593 GOODS-S 25.7520 28.60 0.660 MASTER D
36110 GOODS-S 23.2160 149.00 0.611 VVDS B
33986 GOODS-S 24.2600 55.90 0.754 VLT_2008 C
24521 GOODS-S 23.4700 116.00 0.688 VVDS B
15921 GOODS-S 25.4070 23.30 1.208 VLT_2008 B
99727 GOODS-S 24.4020 86.20 0.996 VUDS_2015 3
53237 GOODS-S 23.9660 138.00 0.905 VIMOS_10_M A
72905 GOODS-S 21.0160 1490.00 0.666 VVDS B
41078 GOODS-S 24.2520 99.30 0.866 ePEARS_CDF Z
31362 GOODS-S 24.1690 150.00 0.665 ePEARS_CDF Z
100157 GOODS-S 24.3110 46.30 1.221 VLT_2008 A
79488 GOODS-S 24.0260 169.00 1.220 VLT_2008 A
51522 GOODS-S 25.0180 53.80 1.122 VLT_2008 B
17704 GOODS-S 23.2840 148.00 0.732 VVDS B
16788 GOODS-S 25.3770 37.60 0.659 ePEARS_CDF Z
38417 GOODS-S 23.9040 112.00 0.782 VLT_2008 C
38577 GOODS-S 22.9550 157.00 0.721 VVDS D
61598 GOODS-S 23.4760 146.00 0.782 VVDS B
54977 GOODS-S 23.5530 134.00 1.176 Morris_201 2
62122 GOODS-S 24.2840 89.40 0.627 VIMOS_10_M A
94544 GOODS-S 24.2120 60.30 1.095 VLT_2008 A
69234 GOODS-S 24.4840 50.60 1.016 VLT_2008 A
28694 GOODS-S 23.3880 80.10 0.671 VIMOS_10_M B
45223 GOODS-S 24.4600 84.90 0.668 ePEARS_CDF Z
81470 GOODS-S 24.5400 96.80 1.098 VLT_2008 A
47029 GOODS-S 23.5350 101.00 0.848 Morris_201 1
47101 GOODS-S 22.0740 355.00 0.783 VIMOS_10_M A
22259 GOODS-S 23.2640 62.00 0.971 Morris_201 2
58222 GOODS-S 23.5450 132.00 0.713 VIMOS_10_M A
23595 GOODS-S 23.7130 65.30 0.976 VLT_2008 A
40779 GOODS-S 23.1930 49.30 0.706 VVDS B
60398 GOODS-S 24.3070 74.70 0.858 VUDS_2015 4
63477 GOODS-S 24.3260 11.60 0.832 VLT_2008 A
