# pearsid field ra dec zspec zspec_source zspec_qual netsig d4000 d4000_err
75943 GOODS-N 189.111687 62.249965 0.7938 Barger_ACS Z 110.86 1.68 0.18
75762 GOODS-N 189.112734 62.252615 0.7938 Barger_ACS Z 643.12 1.75 0.06
55923 GOODS-N 189.113842 62.216061 1.2230 Barger_K Z 328.03 1.19 0.06
70857 GOODS-N 189.116152 62.246957 0.6802 Barger_K Z 547.56 1.39 0.05
47115 GOODS-N 189.123579 62.200005 1.0153 Barger_ACS Z 163.08 1.48 0.12
73058 GOODS-N 189.124581 62.244721 0.7610 Wirth_2004 4 259.31 1.37 0.06
84259 GOODS-N 189.131874 62.267803 0.7837 Barger_K Z 663.46 1.29 0.04
77555 GOODS-N 189.135301 62.253679 0.6827 Wirth_2004 4 352.75 1.38 0.05
87000 GOODS-N 189.137595 62.271215 0.8526 Barger_K Z 284.67 1.43 0.06
72730 GOODS-N 189.137972 62.243688 1.2245 Barger_K Z 83.29 1.24 0.19
53362 GOODS-N 189.138379 62.209994 1.1415 Barger_K Z 150.60 1.24 0.11
58703 GOODS-N 189.139962 62.222202 0.8446 Wirth_2004 3 494.69 1.31 0.04
50214 GOODS-N 189.141333 62.204732 1.0160 Barger_ACS Z 476.25 1.53 0.09
36708 GOODS-N 189.141708 62.181841 0.7636 Barger_UV Z 356.96 1.22 0.04
35853 GOODS-N 189.142124 62.179438 1.0110 Barger_K Z 129.19 1.26 0.09
59024 GOODS-N 189.143125 62.220131 0.8450 Barger_24m Z 179.28 1.27 0.07
52440 GOODS-N 189.143881 62.211395 1.2242 Barger_24m Z 213.30 1.26 0.07
83106 GOODS-N 189.145509 62.263566 0.8540 Barger_24m Z 267.69 1.42 0.06
78475 GOODS-N 189.149125 62.253905 0.8536 Barger_K Z 165.46 1.61 0.10
72646 GOODS-N 189.149535 62.243344 1.0180 Barger_24m Z 68.78 1.31 0.18
37495 GOODS-N 189.150181 62.183402 0.9341 Barger_K Z 118.26 1.19 0.08
60092 GOODS-N 189.151200 62.222202 0.6800 Wirth_2015 4 243.99 1.26 0.06
89790 GOODS-N 189.151472 62.273922 0.8520 Barger_K Z 131.01 1.44 0.10
52998 GOODS-N 189.151611 62.210383 0.9617 Barger_ACS Z 220.56 1.50 0.07
86173 GOODS-N 189.153241 62.267988 0.8430 Barger_24m Z 199.97 1.54 0.08
47065 GOODS-N 189.153336 62.203663 0.8477 Wirth_2004 4 718.63 1.41 0.04
94177 GOODS-N 189.153442 62.282258 1.0135 Barger_ACS Z 99.68 1.20 0.10
63227 GOODS-N 189.153547 62.229405 0.8460 Barger_UV Z 417.67 1.31 0.04
33414 GOODS-N 189.154065 62.175396 1.0160 Barger_ACS Z 89.50 1.62 0.25
47355 GOODS-N 189.154232 62.199884 0.7793 Barger_K Z 361.90 1.27 0.04
41759 GOODS-N 189.154433 62.187921 0.8396 Barger_ACS Z 18.04 1.93 1.21
88020 GOODS-N 189.154438 62.270859 0.8518 Barger_ACS Z 128.18 1.32 0.08
86203 GOODS-N 189.157273 62.268766 0.8411 Barger_ACS Z 271.28 1.69 0.08
79351 GOODS-N 189.157435 62.256407 1.2210 Barger_UV Z 96.38 1.22 0.16
37181 GOODS-N 189.159123 62.181325 0.7661 Barger_K Z 75.12 1.18 0.13
84520 GOODS-N 189.159206 62.268062 0.8565 Barger_ACS Z 444.25 1.75 0.06
45451 GOODS-N 189.159565 62.197454 0.8413 Barger_K Z 257.71 1.42 0.06
58856 GOODS-N 189.160277 62.220296 0.6350 Barger_K Z 287.12 1.20 0.05
62107 GOODS-N 189.160379 62.227500 1.0182 Barger_K Z 177.73 1.66 0.09
75653 GOODS-N 189.160583 62.248679 0.8490 Barger_K Z 166.10 1.47 0.08
80348 GOODS-N 189.161035 62.257246 0.6325 Barger_ACS Z 189.66 1.28 0.08
70156 GOODS-N 189.161450 62.239445 0.9660 Barger_ACS Z 161.50 1.34 0.10
94812 GOODS-N 189.161451 62.285139 0.6821 Barger_UV Z 526.09 1.25 0.04
83237 GOODS-N 189.161676 62.263124 0.9039 Barger_K Z 382.63 1.27 0.04
42430 GOODS-N 189.161688 62.189869 1.0050 Barger_ACS Z 118.87 1.17 0.08
86357 GOODS-N 189.161729 62.268264 0.8540 Barger_K Z 317.54 1.74 0.07
61291 GOODS-N 189.162352 62.224831 1.0108 Barger_K Z 241.50 1.67 0.07
50670 GOODS-N 189.162428 62.205493 0.6082 Wirth_2004 4 302.61 1.34 0.06
28271 GOODS-N 189.162696 62.168415 0.6358 Barger_K Z 479.15 1.33 0.05
79185 GOODS-N 189.165655 62.263279 0.8480 Barger_ACS Z 528.87 1.65 0.05
54405 GOODS-N 189.166361 62.213902 0.8460 Barger_24m Z 575.11 1.35 0.04
32497 GOODS-N 189.166581 62.174797 0.9350 Barger_K Z 315.51 1.53 0.06
48189 GOODS-N 189.166745 62.202052 1.0166 Barger_K Z 326.23 1.60 0.06
91148 GOODS-N 189.167207 62.276870 0.8490 Barger_K Z 134.89 1.39 0.09
93602 GOODS-N 189.167298 62.282149 0.9426 Barger_K Z 471.82 1.65 0.05
91947 GOODS-N 189.168573 62.278265 0.8486 Barger_ACS Z 120.13 1.18 0.09
28029 GOODS-N 189.168829 62.167595 0.7480 Barger_K Z 111.46 1.26 0.11
36989 GOODS-N 189.169769 62.180284 1.0060 Barger_24m Z 82.90 1.31 0.13
39728 GOODS-N 189.170018 62.185821 0.7654 Barger_K Z 124.88 1.36 0.09
36944 GOODS-N 189.170378 62.181871 0.8736 Barger_UV Z 280.71 1.20 0.04
59375 GOODS-N 189.171367 62.220700 1.0162 Wirth_2004 4 211.11 1.34 0.06
41388 GOODS-N 189.171411 62.190279 1.0202 Barger_K Z 147.07 1.77 0.11
88566 GOODS-N 189.172075 62.271681 0.8500 Barger_ACS Z 202.17 1.69 0.09
36639 GOODS-N 189.172688 62.180919 0.9367 Barger_ACS Z 160.27 1.37 0.08
94262 GOODS-N 189.174482 62.282598 0.8505 Barger_ACS Z 165.17 1.30 0.07
74641 GOODS-N 189.174731 62.249069 0.8500 Barger_24m Z 176.49 1.41 0.08
81749 GOODS-N 189.175851 62.262638 0.8575 Barger_24m Z 514.03 1.36 0.04
71198 GOODS-N 189.176221 62.241568 0.8490 Barger_K Z 110.54 1.13 0.08
88858 GOODS-N 189.176557 62.272816 0.8541 Barger_K Z 133.03 1.39 0.09
92535 GOODS-N 189.176764 62.279170 0.8356 Barger_K Z 234.15 1.36 0.05
42014 GOODS-N 189.177334 62.189407 0.8450 Barger_UV Z 186.01 1.14 0.06
76405 GOODS-N 189.178046 62.250802 0.6973 Barger_K Z 119.74 1.22 0.10
89993 GOODS-N 189.179370 62.275523 0.8699 Barger_K Z 248.84 1.25 0.05
53471 GOODS-N 189.179822 62.211731 0.8457 Barger_ACS Z 485.24 1.72 0.06
87585 GOODS-N 189.179891 62.273634 0.8509 Barger_K Z 564.01 1.71 0.08
45026 GOODS-N 189.179994 62.196666 1.0074 Wirth_2004 3 228.58 1.64 0.08
62376 GOODS-N 189.180433 62.225739 0.9040 Barger_K Z 116.69 1.35 0.10
92378 GOODS-N 189.180581 62.281280 0.9438 GOODS-N-AL A 288.62 1.39 0.06
79928 GOODS-N 189.181350 62.258988 0.8474 Barger_K Z 213.68 1.20 0.05
