# pearsid field ra dec specz specz_source specz_qual imag
74236 GOODS-N 189.110859 62.245530 0.6270 Barger_ACS Z 24.30
75943 GOODS-N 189.111687 62.249965 0.7938 Barger_ACS Z 23.05
75762 GOODS-N 189.112734 62.252615 0.7938 Barger_ACS Z 21.11
55923 GOODS-N 189.113842 62.216061 1.2230 Barger_K Z 22.76
70857 GOODS-N 189.116152 62.246957 0.6802 Barger_K Z 21.33
53606 GOODS-N 189.119958 62.210945 0.8795 Barger_K Z 23.95
47115 GOODS-N 189.123579 62.200005 1.0153 Barger_ACS Z 23.68
73058 GOODS-N 189.124581 62.244721 0.7610 Wirth_2004 4 22.52
75413 GOODS-N 189.128494 62.248214 0.8641 Barger_K Z 23.34
86135 GOODS-N 189.130198 62.267402 0.7840 Barger_ACS Z 24.36
54282 GOODS-N 189.131823 62.212030 1.0160 Barger_ACS Z 23.09
84259 GOODS-N 189.131874 62.267803 0.7837 Barger_K Z 21.40
72938 GOODS-N 189.133416 62.243512 0.6789 Barger_ACS Z 23.99
77555 GOODS-N 189.135301 62.253679 0.6827 Wirth_2004 4 21.92
82177 GOODS-N 189.137595 62.260438 0.6816 Wirth_2004 4 23.13
87000 GOODS-N 189.137595 62.271215 0.8526 Barger_K Z 22.25
72730 GOODS-N 189.137972 62.243688 1.2245 Barger_K Z 23.85
53362 GOODS-N 189.138379 62.209994 1.1415 Barger_K Z 23.34
55880 GOODS-N 189.139008 62.214018 1.0128 Barger_K Z 24.22
71601 GOODS-N 189.139185 62.242357 0.7478 Cooper_201 3 22.57
58703 GOODS-N 189.139962 62.222202 0.8446 Wirth_2004 3 21.53
52829 GOODS-N 189.140780 62.209556 1.1434 Barger_K Z 23.63
50214 GOODS-N 189.141333 62.204732 1.0160 Barger_ACS Z 22.80
36708 GOODS-N 189.141708 62.181841 0.7636 Barger_UV Z 21.62
35853 GOODS-N 189.142124 62.179438 1.0110 Barger_K Z 23.23
56432 GOODS-N 189.142324 62.218281 0.8470 Barger_24m Z 23.68
47126 GOODS-N 189.143115 62.197997 0.9123 Barger_K Z 23.84
59024 GOODS-N 189.143125 62.220131 0.8450 Barger_24m Z 22.85
52440 GOODS-N 189.143881 62.211395 1.2242 Barger_24m Z 22.64
83106 GOODS-N 189.145509 62.263566 0.8540 Barger_24m Z 22.18
46564 GOODS-N 189.147012 62.197748 1.2230 Barger_ACS Z 24.66
78475 GOODS-N 189.149125 62.253905 0.8536 Barger_K Z 23.34
72646 GOODS-N 189.149535 62.243344 1.0180 Barger_24m Z 23.78
37495 GOODS-N 189.150181 62.183402 0.9341 Barger_K Z 23.73
60092 GOODS-N 189.151200 62.222202 0.6800 Wirth_2015 4 22.37
89790 GOODS-N 189.151472 62.273922 0.8520 Barger_K Z 23.59
41572 GOODS-N 189.151553 62.187814 0.9366 Barger_UV Z 24.28
52998 GOODS-N 189.151611 62.210383 0.9617 Barger_ACS Z 22.57
80141 GOODS-N 189.152509 62.256812 0.7431 Wirth_2004 4 24.14
64828 GOODS-N 189.152645 62.229665 0.9590 Barger_24m Z 21.35
40498 GOODS-N 189.152799 62.186514 0.8453 Barger_K Z 23.23
86173 GOODS-N 189.153241 62.267988 0.8430 Barger_24m Z 22.85
47065 GOODS-N 189.153336 62.203663 0.8477 Wirth_2004 4 20.56
94177 GOODS-N 189.153442 62.282258 1.0135 Barger_ACS Z 23.93
63227 GOODS-N 189.153547 62.229405 0.8460 Barger_UV Z 21.72
90805 GOODS-N 189.153808 62.275934 0.8509 Barger_K Z 23.90
33414 GOODS-N 189.154065 62.175396 1.0160 Barger_ACS Z 23.43
47355 GOODS-N 189.154232 62.199884 0.7793 Barger_K Z 21.56
41759 GOODS-N 189.154433 62.187921 0.8396 Barger_ACS Z 25.92
88020 GOODS-N 189.154438 62.270859 0.8518 Barger_ACS Z 23.38
53711 GOODS-N 189.154859 62.210294 1.0112 Barger_K Z 24.01
41982 GOODS-N 189.154924 62.188281 0.8396 Barger_ACS Z 25.48
64339 GOODS-N 189.154929 62.228130 0.9598 Barger_K Z 24.34
91073 GOODS-N 189.155052 62.279438 0.8523 Barger_K Z 21.69
62128 GOODS-N 189.155168 62.226272 0.8465 GOODS-N-AL A 23.37
92291 GOODS-N 189.155606 62.279951 0.9431 Barger_ACS Z 21.88
85335 GOODS-N 189.156048 62.266283 0.8321 Barger_K Z 24.08
86203 GOODS-N 189.157273 62.268766 0.8411 Barger_ACS Z 22.32
79351 GOODS-N 189.157435 62.256407 1.2210 Barger_UV Z 23.82
82737 GOODS-N 189.157839 62.261142 0.8645 Barger_K Z 23.43
40998 GOODS-N 189.158359 62.188108 1.0167 Barger_ACS Z 23.02
37181 GOODS-N 189.159123 62.181325 0.7661 Barger_K Z 23.73
84520 GOODS-N 189.159206 62.268062 0.8565 Barger_ACS Z 21.75
45451 GOODS-N 189.159565 62.197454 0.8413 Barger_K Z 22.39
58856 GOODS-N 189.160277 62.220296 0.6350 Barger_K Z 22.41
62107 GOODS-N 189.160379 62.227500 1.0182 Barger_K Z 22.97
75653 GOODS-N 189.160583 62.248679 0.8490 Barger_K Z 23.28
39455 GOODS-N 189.160724 62.186535 0.9360 Barger_K Z 23.00
80348 GOODS-N 189.161035 62.257246 0.6325 Barger_ACS Z 23.20
70156 GOODS-N 189.161450 62.239445 0.9660 Barger_ACS Z 23.03
94812 GOODS-N 189.161451 62.285139 0.6821 Barger_UV Z 21.66
83237 GOODS-N 189.161676 62.263124 0.9039 Barger_K Z 22.19
42430 GOODS-N 189.161688 62.189869 1.0050 Barger_ACS Z 23.45
86357 GOODS-N 189.161729 62.268264 0.8540 Barger_K Z 22.68
56019 GOODS-N 189.161955 62.215944 1.1440 Barger_24m Z 22.30
41540 GOODS-N 189.162210 62.188314 0.9340 Barger_UV Z 23.47
61291 GOODS-N 189.162352 62.224831 1.0108 Barger_K Z 23.00
50670 GOODS-N 189.162428 62.205493 0.6082 Wirth_2004 4 22.23
28271 GOODS-N 189.162696 62.168415 0.6358 Barger_K Z 21.51
88679 GOODS-N 189.163354 62.273376 0.8493 Barger_ACS Z 22.51
87368 GOODS-N 189.163692 62.272982 0.8501 Wirth_2004 4 22.47
94941 GOODS-N 189.164536 62.283298 0.8494 Barger_ACS Z 25.26
79185 GOODS-N 189.165655 62.263279 0.8480 Barger_ACS Z 21.36
85073 GOODS-N 189.165950 62.267053 0.8430 Barger_K Z 23.14
54405 GOODS-N 189.166361 62.213902 0.8460 Barger_24m Z 21.32
32497 GOODS-N 189.166581 62.174797 0.9350 Barger_K Z 22.20
48189 GOODS-N 189.166745 62.202052 1.0166 Barger_K Z 22.39
92859 GOODS-N 189.166959 62.281250 0.9410 Barger_K Z 23.78
91148 GOODS-N 189.167207 62.276870 0.8490 Barger_K Z 23.38
93602 GOODS-N 189.167298 62.282149 0.9426 Barger_K Z 22.18
91947 GOODS-N 189.168573 62.278265 0.8486 Barger_ACS Z 23.95
28029 GOODS-N 189.168829 62.167595 0.7480 Barger_K Z 22.32
36989 GOODS-N 189.169769 62.180284 1.0060 Barger_24m Z 24.01
39728 GOODS-N 189.170018 62.185821 0.7654 Barger_K Z 23.43
48216 GOODS-N 189.170196 62.200850 1.0091 Barger_ACS Z 23.21
36944 GOODS-N 189.170378 62.181871 0.8736 Barger_UV Z 22.49
63419 GOODS-N 189.170656 62.228186 1.0163 Barger_ACS Z 23.08
63526 GOODS-N 189.171079 62.227721 1.0158 Barger_ACS Z 23.44
59375 GOODS-N 189.171367 62.220700 1.0162 Wirth_2004 4 22.83
41388 GOODS-N 189.171411 62.190279 1.0202 Barger_K Z 23.32
88566 GOODS-N 189.172075 62.271681 0.8500 Barger_ACS Z 23.19
36639 GOODS-N 189.172688 62.180919 0.9367 Barger_ACS Z 22.82
72986 GOODS-N 189.173811 62.243790 0.9389 Barger_UV Z 23.68
94262 GOODS-N 189.174482 62.282598 0.8505 Barger_ACS Z 23.58
74641 GOODS-N 189.174731 62.249069 0.8500 Barger_24m Z 22.97
61065 GOODS-N 189.175163 62.222600 0.8460 Barger_K Z 23.83
81749 GOODS-N 189.175851 62.262638 0.8575 Barger_24m Z 21.39
71198 GOODS-N 189.176221 62.241568 0.8490 Barger_K Z 23.77
88858 GOODS-N 189.176557 62.272816 0.8541 Barger_K Z 23.28
92535 GOODS-N 189.176764 62.279170 0.8356 Barger_K Z 22.85
42014 GOODS-N 189.177334 62.189407 0.8450 Barger_UV Z 22.88
76405 GOODS-N 189.178046 62.250802 0.6973 Barger_K Z 23.11
89993 GOODS-N 189.179370 62.275523 0.8699 Barger_K Z 22.37
53471 GOODS-N 189.179822 62.211731 0.8457 Barger_ACS Z 21.81
87585 GOODS-N 189.179891 62.273634 0.8509 Barger_K Z 21.21
45026 GOODS-N 189.179994 62.196666 1.0074 Wirth_2004 3 22.58
62376 GOODS-N 189.180433 62.225739 0.9040 Barger_K Z 23.41
89514 GOODS-N 189.180486 62.274130 0.8511 Barger_ACS Z 22.65
92378 GOODS-N 189.180581 62.281280 0.9438 GOODS-N-AL A 22.06
79928 GOODS-N 189.181350 62.258988 0.8474 Barger_K Z 22.64
76917 GOODS-N 189.181488 62.251585 0.8480 Barger_K Z 23.02
50422 GOODS-N 189.181790 62.205071 0.7507 Barger_K Z 22.69
43618 GOODS-N 189.182566 62.195238 0.7685 Barger_K Z 20.90
87911 GOODS-N 189.182591 62.271908 1.0142 Barger_ACS Z 23.24
