# ID  Field  RA  DEC  zspec  zphot  low_zphot_err  high_zphot_err  zg  low_zgrism_err  high_zgrism_err  zspz  low_zspz_err  high_zspz_err  NetSig  D4000  D4000_err  iABmag
78475     GOODS-N    189.1491249    62.253905    0.854    0.84    0.00    0.01    0.85    0.01    0.01    0.85    0.01    0.00    165.46    1.61    0.10    23.34
72646     GOODS-N    189.1495348    62.243344    1.018    1.23    0.01    0.01    1.22    0.35    0.27    1.07    0.02    0.01    68.78     1.31    0.18    23.78
37495     GOODS-N    189.1501810    62.183402    0.934    0.88    0.04    0.03    0.37    0.07    1.12    0.82    0.01    0.06    118.26    1.19    0.08    23.73
60092     GOODS-N    189.1512002    62.222202    0.680    0.68    0.00    0.00    0.48    0.02    0.00    0.64    0.01    0.00    243.99    1.26    0.06    22.37
89790     GOODS-N    189.1514720    62.273922    0.852    0.92    0.01    0.00    0.82    0.02    0.03    0.82    0.01    0.06    131.01    1.44    0.10    23.59
52998     GOODS-N    189.1516111    62.210383    0.962    0.97    0.01    0.00    0.99    0.03    0.13    0.97    0.01    0.01    220.56    1.50    0.07    22.57
86173     GOODS-N    189.1532405    62.267988    0.843    0.88    0.05    0.00    0.86    0.00    0.22    0.87    0.04    0.00    199.97    1.54    0.08    22.85
47065     GOODS-N    189.1533358    62.203663    0.848    0.84    0.00    0.00    1.07    0.02    0.01    0.84    0.01    0.00    718.63    1.41    0.04    20.56
94177     GOODS-N    189.1534424    62.282258    1.014    0.97    0.01    0.02    0.97    0.00    0.02    0.99    0.02    0.01    99.68     1.20    0.10    23.93
63227     GOODS-N    189.1535471    62.229405    0.846    0.85    0.03    0.01    0.32    0.02    0.03    0.85    0.04    0.01    417.67    1.31    0.04    21.72
33414     GOODS-N    189.1540648    62.175396    1.016    0.97    0.01    0.02    0.71    0.03    0.71    1.00    0.06    0.01    89.50     1.62    0.25    23.43
47355     GOODS-N    189.1542324    62.199884    0.779    0.80    0.02    0.00    0.30    0.00    0.05    0.77    0.02    0.00    361.90    1.27    0.04    21.56
88020     GOODS-N    189.1544383    62.270859    0.852    0.83    0.01    0.02    0.63    0.02    0.06    0.74    0.01    0.09    128.18    1.32    0.08    23.38
86203     GOODS-N    189.1572727    62.268766    0.841    0.81    0.02    0.01    0.84    0.01    0.00    0.80    0.00    0.03    271.28    1.69    0.08    22.32
79351     GOODS-N    189.1574350    62.256407    1.221    1.13    0.00    0.06    1.15    0.02    0.06    1.14    0.00    0.04    96.38     1.22    0.16    23.82
37181     GOODS-N    189.1591231    62.181325    0.766    0.74    0.05    0.06    0.62    0.27    0.09    0.70    0.02    0.07    75.12     1.18    0.13    23.73
84520     GOODS-N    189.1592064    62.268062    0.857    0.84    0.01    0.00    0.85    0.00    0.01    0.84    0.00    0.00    444.25    1.75    0.06    21.75
45451     GOODS-N    189.1595647    62.197454    0.841    0.94    0.06    0.00    0.85    0.03    0.01    0.94    0.07    0.01    257.71    1.42    0.06    22.39
58856     GOODS-N    189.1602768    62.220296    0.635    0.58    0.01    0.00    0.40    0.08    0.20    0.60    0.01    0.01    287.12    1.20    0.05    22.41
62107     GOODS-N    189.1603789    62.227500    1.018    1.03    0.00    0.00    0.95    0.00    0.00    1.03    0.00    0.00    177.73    1.66    0.09    22.97
75653     GOODS-N    189.1605828    62.248679    0.849    0.88    0.05    0.00    0.84    0.01    0.01    0.85    0.03    0.02    166.10    1.47    0.08    23.28
80348     GOODS-N    189.1610350    62.257246    0.632    0.57    0.01    0.01    0.46    0.14    0.32    0.60    0.00    0.01    189.66    1.28    0.08    23.20
70156     GOODS-N    189.1614500    62.239445    0.966    0.93    0.00    0.01    0.36    0.05    1.13    0.94    0.01    0.01    161.50    1.34    0.10    23.03
94812     GOODS-N    189.1614505    62.285139    0.682    0.59    0.00    0.05    0.42    0.01    0.01    0.65    0.00    0.00    526.09    1.25    0.04    21.66
83237     GOODS-N    189.1616765    62.263124    0.904    0.82    0.00    0.02    0.32    0.00    0.01    0.82    0.00    0.00    382.63    1.27    0.04    22.19
42430     GOODS-N    189.1616880    62.189869    1.005    0.97    0.01    0.01    0.96    0.59    0.01    0.96    0.01    0.01    118.87    1.17    0.08    23.45
86357     GOODS-N    189.1617285    62.268264    0.854    0.86    0.00    0.00    0.86    0.01    0.00    0.86    0.01    0.00    317.54    1.74    0.07    22.68
61291     GOODS-N    189.1623525    62.224831    1.011    1.00    0.00    0.00    1.00    0.00    0.01    1.00    0.00    0.00    241.50    1.67    0.07    23.00
50670     GOODS-N    189.1624276    62.205493    0.608    0.55    0.01    0.01    0.76    0.26    0.03    0.59    0.01    0.00    302.61    1.34    0.06    22.23
28271     GOODS-N    189.1626963    62.168415    0.636    0.85    0.00    0.00    0.46    0.02    0.13    0.69    0.00    0.01    479.15    1.33    0.05    21.51
79185     GOODS-N    189.1656552    62.263279    0.848    0.84    0.00    0.00    0.96    0.11    0.00    0.85    0.00    0.00    528.87    1.65    0.05    21.36
75943     GOODS-N    189.1116870    62.249965    0.794    0.81    0.01    0.01    0.80    0.01    0.03    0.80    0.00    0.02    110.86    1.68    0.18    23.05
70857     GOODS-N    189.1161525    62.246957    0.680    0.70    0.02    0.01    0.99    0.04    0.03    0.71    0.01    0.00    547.56    1.39    0.05    21.33
73058     GOODS-N    189.1245808    62.244721    0.761    0.73    0.00    0.06    0.80    0.01    0.01    0.76    0.03    0.00    259.31    1.37    0.06    22.52
84259     GOODS-N    189.1318744    62.267803    0.784    0.80    0.00    0.01    0.74    0.02    0.01    0.78    0.03    0.01    663.46    1.29    0.04    21.40
75762     GOODS-N    189.1127342    62.252615    0.794    0.79    0.00    0.00    0.80    0.00    0.00    0.79    0.00    0.00    643.12    1.75    0.06    21.11
55923     GOODS-N    189.1138417    62.216061    1.223    1.20    0.07    0.01    1.15    0.03    0.05    1.19    0.06    0.23    328.03    1.19    0.06    22.76
47115     GOODS-N    189.1235786    62.200005    1.015    1.28    0.01    0.02    1.10    0.64    0.08    1.10    0.01    0.01    163.08    1.48    0.12    23.68
77555     GOODS-N    189.1353010    62.253679    0.683    0.78    0.02    0.00    0.30    0.00    0.20    0.78    0.03    0.00    352.75    1.38    0.05    21.92
87000     GOODS-N    189.1375951    62.271215    0.853    0.83    0.00    0.00    0.90    0.01    0.01    0.83    0.01    0.00    284.67    1.43    0.06    22.25
72730     GOODS-N    189.1379719    62.243688    1.224    1.29    0.38    0.13    1.17    0.02    0.01    1.28    0.37    0.01    83.29     1.24    0.19    23.85
53362     GOODS-N    189.1383792    62.209994    1.141    1.03    0.02    0.02    1.49    1.04    0.00    1.10    0.01    0.01    150.60    1.24    0.11    23.34
58703     GOODS-N    189.1399619    62.222202    0.845    0.83    0.02    0.06    0.78    0.04    0.05    0.83    0.03    0.03    494.69    1.31    0.04    21.53
50214     GOODS-N    189.1413327    62.204732    1.016    1.01    0.07    0.01    1.26    0.00    0.00    1.08    0.01    0.03    476.25    1.53    0.09    22.80
36708     GOODS-N    189.1417078    62.181841    0.764    0.79    0.02    0.01    0.47    0.04    0.03    0.75    0.02    0.01    356.96    1.22    0.04    21.62
35853     GOODS-N    189.1421243    62.179438    1.011    0.94    0.01    0.01    0.38    0.02    0.02    0.93    0.01    0.00    129.19    1.26    0.09    23.23
59024     GOODS-N    189.1431247    62.220131    0.845    0.92    0.01    0.00    0.80    0.10    0.00    0.86    0.06    0.00    179.28    1.27    0.07    22.85
52440     GOODS-N    189.1438811    62.211395    1.224    1.40    0.04    0.00    1.20    0.02    0.00    1.42    0.01    0.07    213.30    1.26    0.07    22.64
83106     GOODS-N    189.1455086    62.263566    0.854    0.82    0.00    0.02    0.93    0.02    0.03    0.80    0.01    0.01    267.69    1.42    0.06    22.18
54405     GOODS-N    189.1663611    62.213902    0.846    0.82    0.00    0.00    0.84    0.01    0.01    0.82    0.01    0.00    575.11    1.35    0.04    21.32
32497     GOODS-N    189.1665811    62.174797    0.935    0.97    0.00    0.02    0.91    0.00    0.10    0.96    0.00    0.01    315.51    1.53    0.06    22.20
48189     GOODS-N    189.1667451    62.202052    1.017    0.97    0.00    0.00    1.02    0.00    0.00    0.99    0.00    0.00    326.23    1.60    0.06    22.39
91148     GOODS-N    189.1672069    62.276870    0.849    1.03    0.20    0.03    0.80    0.02    0.12    0.83    0.02    0.07    134.89    1.39    0.09    23.38
93602     GOODS-N    189.1672976    62.282149    0.943    0.93    0.00    0.00    0.94    0.00    0.00    0.93    0.00    0.00    471.82    1.65    0.05    22.18
91947     GOODS-N    189.1685725    62.278265    0.849    0.95    0.02    0.03    0.53    0.03    0.01    0.85    0.06    0.00    120.13    1.18    0.09    23.95
28029     GOODS-N    189.1688286    62.167595    0.748    0.90    0.06    0.01    0.61    0.29    0.14    0.88    0.06    0.03    111.46    1.26    0.11    22.32
36989     GOODS-N    189.1697691    62.180284    1.006    1.23    0.24    0.05    0.96    0.14    0.03    1.20    0.24    0.09    82.90     1.31    0.13    24.01
39728     GOODS-N    189.1700185    62.185821    0.765    0.80    0.02    0.03    0.51    0.02    0.00    0.76    0.00    0.02    124.88    1.36    0.09    23.43
36944     GOODS-N    189.1703780    62.181871    0.874    0.89    0.00    0.00    0.30    0.00    0.00    0.85    0.02    0.01    280.71    1.20    0.04    22.49
59375     GOODS-N    189.1713667    62.220700    1.016    0.98    0.00    0.00    1.04    0.06    0.00    0.98    0.01    0.00    211.11    1.34    0.06    22.83
41388     GOODS-N    189.1714112    62.190279    1.020    0.98    0.00    0.03    1.05    0.01    0.01    0.99    0.01    0.04    147.07    1.77    0.11    23.32
88566     GOODS-N    189.1720747    62.271681    0.850    0.86    0.01    0.00    0.85    0.00    0.00    0.85    0.00    0.00    202.17    1.69    0.09    23.19
36639     GOODS-N    189.1726884    62.180919    0.937    0.92    0.01    0.00    0.91    0.13    0.11    0.90    0.01    0.01    160.27    1.37    0.08    22.82
94262     GOODS-N    189.1744817    62.282598    0.851    0.85    0.02    0.04    0.83    0.01    0.01    0.84    0.00    0.00    165.17    1.30    0.07    23.58
74641     GOODS-N    189.1747314    62.249069    0.850    0.94    0.06    0.00    0.76    0.01    0.22    0.93    0.06    0.02    176.49    1.41    0.08    22.97
81749     GOODS-N    189.1758510    62.262638    0.858    1.20    0.00    0.00    1.01    0.02    0.01    1.19    0.00    0.00    514.03    1.36    0.04    21.39
71198     GOODS-N    189.1762207    62.241568    0.849    1.03    0.01    0.01    1.38    0.01    0.09    1.04    0.00    0.01    110.54    1.13    0.08    23.77
88858     GOODS-N    189.1765570    62.272816    0.854    0.94    0.01    0.01    0.38    0.07    0.34    0.92    0.02    0.03    133.03    1.39    0.09    23.28
92535     GOODS-N    189.1767644    62.279170    0.836    0.83    0.01    0.02    0.83    0.00    0.01    0.83    0.01    0.01    234.15    1.36    0.05    22.85
42014     GOODS-N    189.1773335    62.189407    0.845    0.91    0.02    0.01    0.78    0.02    0.00    0.80    0.01    0.00    186.01    1.14    0.06    22.88
76405     GOODS-N    189.1780463    62.250802    0.697    0.92    0.01    0.01    0.44    0.04    0.16    0.90    0.08    0.02    119.74    1.22    0.10    23.11
89993     GOODS-N    189.1793699    62.275523    0.870    0.88    0.01    0.01    0.41    0.03    0.24    0.81    0.00    0.01    248.84    1.25    0.05    22.37
53471     GOODS-N    189.1798216    62.211731    0.846    0.85    0.01    0.00    0.84    0.00    0.01    0.84    0.00    0.00    485.24    1.72    0.06    21.81
87585     GOODS-N    189.1798913    62.273634    0.851    0.85    0.01    0.00    0.85    0.01    0.00    0.85    0.01    0.00    564.01    1.71    0.08    21.21
45026     GOODS-N    189.1799942    62.196666    1.007    1.02    0.00    0.00    1.02    0.05    0.01    1.02    0.00    0.00    228.58    1.64    0.08    22.58
62376     GOODS-N    189.1804328    62.225739    0.904    0.83    0.01    0.01    0.34    0.02    0.56    0.89    0.00    0.01    116.69    1.35    0.10    23.41
