# Tex formatted table 3 for SPZ paper
Last login: Sun Jun 30 16:35:12 on ttys001
Bhavins-MBP:grismz_pipeline bhavinjoshi$ python make_paper_table.py  
ID       RA    DEC       Field      zspec    zphot    zg     zspz    NetSig    D4000    D4000_err    iABmag
57014    & GOODS-S   & 53.1845635   & $-$27.836041   & 1.038   & 1.02$\substack{+0.00 \\ -0.02}$   & 1.03$\substack{+0.00 \\ -0.00}$   & 1.02$\substack{+0.01 \\ -0.00}$   & 164.86   & 1.74   & 0.10   & 23.45 \\
132104   & GOODS-S   & 53.0610491   & $-$27.688081   & 0.818   & 0.82$\substack{+0.03 \\ -0.01}$   & 0.59$\substack{+0.01 \\ -0.00}$   & 0.79$\substack{+0.00 \\ -0.00}$   & 188.17   & 1.25   & 0.06   & 22.80 \\
89573    & GOODS-N   & 189.2496182   & 62.274447   & 1.012   & 0.95$\substack{+0.11 \\ -0.00}$   & 1.06$\substack{+0.00 \\ -0.02}$   & 0.95$\substack{+0.18 \\ -0.00}$   & 136.31   & 1.76   & 0.12   & 23.27 \\
109151   & GOODS-S   & 53.1409173   & $-$27.736119   & 0.667   & 0.64$\substack{+0.00 \\ -0.00}$   & 0.65$\substack{+0.14 \\ -0.00}$   & 0.64$\substack{+0.00 \\ -0.00}$   & 520.90   & 1.59   & 0.06   & 21.53 \\
32497    & GOODS-N   & 189.1665811   & 62.174797   & 0.935   & 0.97$\substack{+0.02 \\ -0.00}$   & 0.91$\substack{+0.10 \\ -0.00}$   & 0.96$\substack{+0.00 \\ -0.00}$   & 315.51   & 1.53   & 0.06   & 22.20 \\
36418    & GOODS-N   & 189.1941824   & 62.180293   & 0.940   & 0.93$\substack{+0.13 \\ -0.00}$   & 0.87$\substack{+0.01 \\ -0.01}$   & 0.94$\substack{+0.00 \\ -0.00}$   & 148.40   & 1.40   & 0.09   & 23.11 \\
126415   & GOODS-S   & 53.0474116   & $-$27.701823   & 0.733   & 0.93$\substack{+0.01 \\ -0.05}$   & 0.76$\substack{+0.00 \\ -0.03}$   & 0.81$\substack{+0.00 \\ -0.00}$   & 63.59    & 1.77   & 0.33   & 24.17 \\
94085    & GOODS-N   & 189.2999221   & 62.283150   & 1.142   & 1.03$\substack{+0.01 \\ -0.02}$   & 1.12$\substack{+0.00 \\ -0.01}$   & 1.04$\substack{+0.00 \\ -0.02}$   & 360.69   & 1.33   & 0.05   & 22.77 \\
132474   & GOODS-S   & 53.0865015   & $-$27.687486   & 0.683   & 0.64$\substack{+0.02 \\ -0.01}$   & 0.62$\substack{+0.00 \\ -0.00}$   & 0.66$\substack{+0.00 \\ -0.01}$   & 174.31   & 1.19   & 0.07   & 22.73 \\
33414    & GOODS-N   & 189.1540648   & 62.175396   & 1.016   & 0.97$\substack{+0.02 \\ -0.01}$   & 0.71$\substack{+0.65 \\ -0.01}$   & 1.00$\substack{+0.00 \\ -0.03}$   & 89.50    & 1.62   & 0.25   & 23.43 \\
